physical asset,location,ownership,commodity,Countries,USA states
DorÃÂ© Production Facilities,"Penasquito, Cerro Negro, Merian, Akyem, Lihir",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Minerals","Mexico, Brazil, Suriname, Ghana, Papua New Guinea",
equipment,"Penasquito, Canada, Phoenix, Cripple Creek Mine, Colorado, Peru, Australia, South America, Porcupine, Turquoise Ridge, Argentina, Papua New Guinea, Cerro Negro, Merian, Akyem, Lihir, Eleonore","Newmont Corporation, Ejido communities, NGM, CAT","Gold, Silver, Copper, Lead, Zinc, Metals","Mexico, Canada, USA, Peru, Australia, Dominican Republic, Papua New Guinea, Brazil, Argentina",Colorado
Flotation Plant,"Phoenix, Penasquito, Boddington, Red Chris, Cadia, Telfer, Pueblo Viejo Mine Site",Newmont Corporation,"Ore, Gold, Copper, Silver, Zinc","Mexico, Australia, Canada, USA, Dominican Republic",
Galore Creek Mine,Canada,"Newmont Corporation, NovaGold Resources Inc.",Copper,Canada,
heap leach pad,"Long Canyon, Cortez, Phoenix, Carlin, Turquoise Ridge",,Gold,USA,
heap leaching pads,"Red Chris, Penasquito, Boddington, Cadia, Telfer, Cortez, Carlin, Turquoise Ridge",Newmont Corporation,Gold,"Canada, Mexico, Australia, Australia, USA",
infrastructure,"NGM, Merian, Tanami Mine (Northern Territory, Australia), Cripple Creek Mine (Colorado, USA), Long Canyon, Red Chris Mine","Newmont Corporation, Buenaventura, NGM","Ore, Gold, Copper, Silver, Lead, Zinc, Energy","Australia, USA",Colorado
Inventories,,Newmont Corporation,"Gold, Silver, Copper",,
Kalgoorlie Consolidated Gold Mines Power Business,"Kalgoorlie, Australia",,"Gold, Electricity",Australia,
La Zanja mine,,,Gold,,
Leach Pad,"North America, South America, Australia, Africa, Nevada, Peru, Long Canyon",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead","USA, Peru, Australia",Nevada
Lihir Mine,"Papua New Guinea, Lihir Island, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo, Aniolam, PNG","Newmont Corporation, Barrick","Gold, Copper, Silver, Lead, Zinc, Metals","Papua New Guinea, USA, Canada, Brazil, Dominican Republic",
Lone Tree,"NGM, Lone Tree","Newmont Corporation, i-80 Gold Corp",Gold,USA,
Long Canyon Mine,"Long Canyon, Nevada","Newmont Corporation, Barrick",Gold,USA,Nevada
Facilities,,Newmont Corporation,,,
Maintenance And Storage Facilities,"Boddington Mine Site Property, Cadia","Newmont Corporation, Cadia Holdings","Gold, Silver, Copper, Zinc, Lead",Australia,
Merian Gold Mine,Suriname,"Newmont Corporation, Republic of Suriname, Newmont Suriname, Staatsolie","Gold, Metals, Minerals",Suriname,
Midnite Mine Site,"Midnite Mine Site, Spokane USAn Reservation, Washington","Newmont Corporation, Dawn, EPA","Minerals, Uranium",USA,Washington
Mill,"North America, South America, Australia, Africa, Nevada, Canada, Merian, Conga, Phoenix, Cortez, Turquoise Ridge, Pueblo Viejo, Carlin, Red Chris, Penasquito, Boddington, Cadia, Telfer, Red Chris","Newmont Corporation, Barrick","Gold,Silver,Copper,Zinc","USA, Canada, Australia, Dominican Republic, Brazil",Nevada
Milled Ore,"Red Chris, Boddington, Cadia, Telfer, Penasquito","Newcrest Mining, Newmont Corporation","Copper, Silver, Lead, Zinc, Gold","Canada, Australia, Mexico",
Mine Operations,"USA, Canada, Peru, Dominican Republic, Australia, Argentina, Suriname",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Metals","USA, Canada, Peru, Dominican Republic, Australia, Argentina, Suriname",
Mine Pits,"Boddington, Mine Site Property, North America, Usa, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo, Penasco, Mexico, Argentina, Dominican Republic","Newmont Corporation, Barrick","Gold, Silver, Copper, Zinc, Lead, Metals, Minerals","Australia, Canada, Peru, Mexico, Dominican Republic, USA",
Mine Sites,"Eleonore Mine, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Newmont Corporation, Barrick","Gold, Silver, Copper, Lead, Zinc, Metals","USA, Canada, Peru, Dominican Republic",
Mineral Properties,"Penasquito, Cerro Negro, Merian, Akyem, Lihir, Conga Project, Peru",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Minerals","Mexico, Brazil, Ghana, Papua New Guinea, Peru",
Mineral Resources,,,Gold,,
Mines,"Argentina, USA, Nevada, Australia, Peru, Ecuador, Canada, Mexico, Suriname","Newmont Corporation, Lundin Gold, Barrick","Gold, Silver, Copper, Zinc, Lead, Uranium, Metals","Argentina, USA, Australia, Peru, Ecuador, Canada, Mexico, Suriname",Nevada
Mining Facilities (Including Open Pit And Underground Mines),,,"Gold, Copper, Silver, Lead, Zinc",,
Mining Operations (Open Pit),"North America, South America, Australia, Africa, Nevada, Western Australia, Penasquito, Cerro Negro, Merian, Akyem, Lihir,  Argentina, Papua New Guinea, Canada",Newmont Corporation,"Gold, Copper, Silver, Zinc, Lead","USA, Mexico, Brazil, Australia, Papua New Guinea, Canada, Argentina",Nevada
Molybdenum Deposits,"NuevaUnion, Chile; Agua Rica, Argentina; Cadia, Australia","Newmont Corporation, NuevaUnion",Molybdenum,"Chile, Argentina, Australia",
Musselwhite Mine,"Canada, Musselwhite, Vancouver ",Newmont Corporation ,Gold,Canada,
Namosi Underground,"Fiji, North America, South America, Australia, Africa, Nevada",Newmont Corporation,"Copper, Gold","Fiji, Australia",Nevada
Norte Abierto mine,Chile,Newmont Corporation,"Silver, Copper",Chile,
NuevaUnion,"Chile, South America","Newmont Corporation, NuevaUnion","Silver, Copper, Molybdenum",Chile,
Open Pits And Underground,"Peru, Mexico, Argentina, Dominican Republic, Australia, Africa, Nevada",Newmont Corporation,"Copper, Gold, Lead, Silver, Minerals, Zinc","Peru, Mexico, Argentina, Dominican Republic, Australia",Nevada
Ore Body,,Newmont Corporation,"Gold, Silver, Lead, Zinc, Copper",,
Ore Leach Pads,"Chile, Cripple Creek & Victor Gold Mine Mine Site, Long Canyon",Newmont Corporation,"Gold, Copper, Silver, Zinc, Lead",Chile,
ore stockpiles,"Penasquito, Mexico, Red Chris",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead","Mexico, Canada",
Oxide Mill/Flotation Circuit,"Carlin, Phoenix, Cortez, Turquoise Ridge, Pueblo Viejo Mine Site",,"Gold, Silver, Copper, Zinc",,
Penasquito,"Penasquito, North America, Vancouver, Canada, Mexico, Zacatecas",Newmont Corporation,"Silver, Lead, Zinc, Gold, Copper, Minerals","Mexico, Canada",
Porcupine Mine,"Vancouver, Canada; Porcupine, Ontario; Timmins",,"Gold, Minerals",Canada,
Power Generation,,,,,
Process Plants,"Boddington, Red Chris, Penasquito, Cadia, Telfer, Pueblo Viejo Mine Site",,"Copper, Gold, Silver, Zinc","Canada, Mexico, Australia, Dominican Republic",
processing plant,"Zacatecas State, Mexico; Nevada; Suriname; Porcupine",,"Gold, Silver, Lead, Zinc, Copper","Mexico, USA, Suriname",Nevada
Production And Development Properties,,,,,
Pueblo Viejo Mine,"Dominican Republic, Peru","Newmont Corporation, Barrick","Silver, Gold","Dominican Republic, Peru",
Red Chris Mine,"Canada, Red Chris",Newmont Corporation,"Copper, Gold, Minerals",Canada,
Red Lake  Mining Complex,"Red Lake, Ontario, Canada","Northern Star Resources Limited, Evolution Mining Limited, Newmont Corporation",Gold,Canada,
Residue Disposal Area (RDA),"Boddington, Midnite Mine Site, Spokane Indian Reservation, Washington","Newmont Corporation, Dawn, EPA","Minerals, Uranium","Australia, USA",Washington
Roasters,"Carlin, Red Chris, Penasquito, Boddington, Cadia, Telfer ",,Gold,"USA, Canada, Mexico, Australia",
Solvent Extraction Electrowinning (SX/EW) Plant,Phoenix,,Gold,USA,
South Arturo Properties,"NGM, Nevada",Newmont Corporation,Gold,USA,Nevada
South Tailings Storage Facility (STSF),"Cadia, Boddington, Pueblo Viejo Mine Site, Porcupine","Newmont Corporation, Cadia Holdings","Minerals, Gold, Silver, Copper, Lead, Zinc","Australia, Dominican Republic, USA",
Tailings Storage Facilities (TSFs),"Boddington Mine, Eleonore Mine, Brazil, Cadia Valley Operations, Pueblo Viejo Mine Site, Porcupine Gold Mines","Newmont Corporation, Cadia Holdings","Gold, Silver, Copper, Lead, Zinc","Australia, Canada, Brazil, Dominican Republic",
Tanami Gold Mine,"Australia, Tanami",Newmont Corporation ,"Gold, Silver, Lead, Zinc",Australia,
Telfer Mine,"Telfer, Australia",Newmont Corporation,"Gold, Copper, Tungsten, Lead, Zinc",Australia,
TMAC Resources Inc.,,"Newmont Corporation, Agnico Eagle Mines Ltd",Gold,,
Trucks,Boddington,Newmont Corporation,,Australia,
Underground Mining Fleet,"North America, South America, Australia, Africa, Nevada, Pueblo Viejo Mine Site",Newmont Corporation,"Gold,Silver,Copper,Zinc","USA, Canada, Mexico, Brazil, Dominican Republic, Australia",Nevada
Wafi-Golpu Mining Operation,"Papua New Guinea, Morobe Province, PNG","Newmont Corporation, Newcrest Mining","Copper, Gold",Papua New Guinea,
water treatment plant,"Midnite Mine, Peru",Newmont Corporation,"Water, Gold",Peru,
Water Wells,"Penasquito, Penasquito Operation",,"Water, Groundwater",Mexico,
Eleonore Mine,"Eleonore, Vancouver, Canada, North America, Eeyou Istchee/James Bay in Northern Quebec, Quebec",,Gold,Canada,
Tailing Storage Facilities,"Boddington, Cadia",Newmont Corporation,"Copper, Gold, Lead, Silver, Zinc",Australia,
Water Supply,Penasquito,,,Mexico,
Penasco Open Pit Mine,"Zacatecas State, Mexico",Newmont Corporation,"Gold, Silver, Lead, Zinc",Mexico,
Chile Colorado Open Pit Mine,"Zacatecas State, Mexico",Newmont Corporation,"Gold, Silver, Lead, Zinc",Mexico,
Agitated Leaching Tank,Cerro Negro,Newmont Corporation,"Gold, Silver, Copper",Brazil,
Merrill Crowe Zinc Precipitation And Smelting  Facility,Cerro Negro,,"Gold,Silver",Brazil,
Twin Creeks Mines,Nevada,"Newmont Mining Corporation, Barrick",Gold,USA,Nevada
Phoenix Mine,"Nevada, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Newmont Goldcorp, Newmont Corporation, Barrick","Copper, Gold, Silver, Lead, Zinc, Metals","USA, Canada, Peru",Nevada
Kalgoorlie Mine,"Australia, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Newmont Corporation, Barrick ","Gold, Copper, Silver, Lead, Zinc, Metals","Australia, USA, Canada, Brazil, Dominican Republic, Peru",
Ore Blending,Carlin,"NGM, Newmont Corporation",Gold,USA,
Quecher Main Project,South America,,,,
Holt-McDermott Property,"Northeastern Ontario, Canada","Kirkland Lake Gold Ltd, Newmont Corporation, Royal Gold Inc.",Gold,Canada,
Mining Systems (All-Electric Autonomous),"Cripple Creek & Victor Mine, Colorado, USA","Newmont Corporation, Caterpillar Inc.",Minerals,USA,Colorado
Surface and Underground Mining Equipment,"Tanami Mine, Northern Territory, Australia",Newmont Corporation,"Minerals, Gold, Silver, Copper, Zinc, Lead",Australia,
pipeline,"Tanami, Australia",Newmont Corporation,Natural Gas,Australia,
Pump Back Systems,,,Water,,
Treatment Systems,,,Water,,
La Quinua Complex,Peru,Newmont Corporation,Gold,Peru,
One Limestone Processing Facility,Peru,Barrick,Gold,Peru,
The Maraba Open Pit,"Suriname, North America, South America, Australia, Africa, Nevada","Newmont Suriname, Staatsolie",Gold,"Suriname, Australia
",Nevada
Kupari Open Pit,"Suriname, North America, South America, Australia, Africa, Nevada, Canada",Newmont Corporation,"Gold, Silver, Lead, Zinc, Copper","Suriname, Canada, Australia",Nevada
Nocha Buena Mine,Mexico,,Gold,Mexico,
Porcupine Reporting Unit,"North America, South America",,Gold,"USA, Canada, Mexico, Brazil, Chile, Dominican Republic",
Buffalo Mountain Properties,,i-80 Gold Corp,Gold,,
Rodeo Creek Exploration Property,,NGM,Gold,,
Embankments,"Telfer, Western Australia",Newmont Corporation,,Australia,
Tailings,"Red Chris, Boddington, Cadia, Pueblo Viejo Mine Site, Porcupine","Newmont Corporation, Cadia Holding","Gold, Silver, Copper, Lead, Zinc","Canada, Australia, Dominican Republic, USA",
Mining Operations,"North America, Africa, Australia, South America",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead",,
crusher,Pueblo Viejo Mine Site,,"Gold, Silver, Copper, Zinc",Dominican Republic,
Power Plant,San Pedro De Macoris,Newmont Corporation,"Gold, Silver, Copper, Zinc",Dominican Republic,
transmission line,Between San Pedro De Macoris And Pueblo Viejo Mine Site,Newmont Corporation,"Gold, Silver, Copper, Zinc",Dominican Republic,
Fruta Del Norte Mine,"Fruta Del Norte, Ecuador",,Copper,Ecuador,
Pyrite Leach Plant,Penasquito,,,Mexico,
Carlton Tunnel,Colorado,,Gold,USA,Colorado
Uranium Exploration Project,"Labrador, Canada",NWG Investments Inc.,Uranium,Canada,
