physical asset,location,ownership,commodity,status,Countries
Residue Disposal Area (RDA),"Boddington, Midnite Mine Site, Spokane Indian Reservation, Washington","Newmont Corporation, Dawn, EPA","Minerals, Mining, Uranium",Operational,"Australia, USA"
Roasters,"Carlin, Red Chris, Penasquito, Boddington, Cadia, Telfer ",,Gold,Operational,"USA, Canada, Mexico, Australia"
Solvent Extraction Electrowinning (SX/EW) Plant,Phoenix,,Gold,Operational,USA
South Arturo Properties,"NGM, Nevada",Newmont Corporation,Gold,Operational,USA
South Tailings Storage Facility (STSF),"Cadia, Boddington, Pueblo Viejo Mine Site, Porcupine","Newmont Corporation, Cadia Holdings, Company","Minerals, Gold, Silver, Copper, Lead, Zinc","Operational, Under Construction","Australia, Dominican Republic, USA"
Tailings Storage Facilities (TSFs),"Boddington Mine, Eleonore Mine, Brazil, Cadia Valley Operations, Pueblo Viejo Mine Site, Porcupine Gold Mines","Newmont Corporation, Cadia Holdings","Gold, Silver, Copper, Lead, Zinc","Operational, Closed, Under Construction","Australia, Canada, Brazil, Dominican Republic"
Tanami Gold Mine,"Australia, Tanami",Newmont Corporation ,"Gold, Silver, Lead, Zinc",Operational,Australia
Telfer Mine,"Telfer, Australia",Newmont Corporation,"Gold, Copper, Tungsten, Lead, Zinc",Operational,Australia
"TMAC Resources, inc.",,"Newmont Corporation, Agnico Eagle Mines Ltd",Gold,End-Of-Life,
Trucks,Boddington,Newmont Corporation,,Disposal,Australia
Underground Mining Fleet,"North America, South America, Australia, Africa, Nevada, Pueblo Viejo Mine Site",Newmont Corporation,"Gold,Silver,Copper,Zinc",Operational,"USA, Canada, Mexico, Brazil, Dominican Republic, Australia"
Wafi-Golpu Mining Operation,"Papua New Guinea, Morobe Province, PNG","Newmont Corporation, Newcrest","Copper, Gold","Operational, Under Exploration",Papua New Guinea
water treatment plant,"Midnite Mine, Peru",Newmont Corporation,"Water, Gold","Operational, Under Construction",Peru
Water Wells,"Penasquito, Penasquito Operation",,"Water, Groundwater","End-Of-Life, Operational, Under Construction",Mexico
Eleonore Mine,"Eleonore, Vancouver, Canada, North America, Eeyou Istchee/James Bay in Northern Quebec, Quebec",,Gold,Operational,Canada
Tailing Storage Facilities,"Boddington, Cadia",Newmont Corporation,"Copper, Gold, Lead, Silver, Zinc","Operational, Under Construction",Australia
Water Supply,Penasquito,,,Operational,Mexico
Penasco Open Pit Mine,"Zacatecas State, Mexico",Newmont Corporation,"Gold, Silver, Lead, Zinc",Operational,Mexico
Chile Colorado Open Pit Mine,"Zacatecas State, Mexico",Newmont Corporation,"Gold, Silver, Lead, Zinc",Operational,Mexico
Agitated Leaching Tank,Cerro Negro,Newmont Corporation,"Gold, Silver, Copper",Operational,Brazil
Merrill Crowe Zinc Precipitation And Smelting  Facility,Cerro Negro,,"Gold,Silver",Operational,Brazil
Twin Creeks Mines,Nevada,"Newmont, Barrick",Gold,Operational,USA
Phoenix Mine,"Nevada, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Newmont Goldcorp, Newmont Corporation, Barrick","Copper, Gold, Silver, Lead, Zinc, Metals","Operational, Under Construction","USA, Canada, Peru"
Kalgoorlie Mine,"Australia, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Newmont Corporation, Barrick ","Gold, Copper, Silver, Lead, Zinc, Metals",Operational,"Australia, USA, Canada, Brazil, Dominican Republic, Peru"
Ore Blending,Carlin,"NGM, Newmont Corporation",Gold,Operational,USA
Quecher Main Project,South America,,,Operational,
Holt-McDermott Property,"Northeastern Ontario, Canada","Kirkland Lake Gold Ltd, Newmont Corporation, Royal Gold, Inc.","Gold, Mining And Mineral Rights",Suspended Operations,Canada
Mining Systems (All-Electric Autonomous),"Cripple Creek & Victor Mine, Colorado, USA","Newmont Corporation, Caterpillar Inc.",Minerals,Under Development,USA
Surface and Underground Mining Equipment,"Tanami Mine, Northern Territory, Australia",Newmont Corporation,"Minerals, Gold, Silver, Copper, Zinc, Lead",Operational,Australia
pipeline,"Tanami, Australia",Newmont Corporation,Natural Gas,"Operational, Under Construction",Australia
Pump Back Systems,,,Water,Under Construction,
Treatment Systems,,,Water,Operational,
La Quinua Complex,Peru,Newmont Corporation,Gold,In End-Of-Life,Peru
One Limestone Processing Facility,Peru,Barrick,Gold,Operational,Peru
The Maraba Open Pit,"Suriname, North America, South America, Australia, Africa, Nevada","Newmont Suriname, Staatsolie",Gold,Operational,"Suriname, Australia
"
Kupari Open Pit,"Suriname, North America, South America, Australia, Africa, Nevada, Canada",Newmont Corporation,"Gold, Silver, Lead, Zinc, Copper","Under Construction, Operational","Suriname, Canada, Australia"
Nocha Buena Mine,Mexico,,Gold,Operational,Mexico
Porcupine Reporting Unit,"North America, South America",,Gold,Operational,"USA, Canada, Mexico, Brazil, Chile, Dominican Republic"
Buffalo Mountain Properties,,i-80 Gold Corp,Gold,,
Rodeo Creek Exploration Property,,NGM,Gold,,
Embankments,"Telfer, Western Australia",Newmont Corporation,Mining,Potential Failure,Australia
Tailings,"Red Chris, Boddington, Cadia, Pueblo Viejo Mine Site, Porcupine","Newmont Corporation, Cadia Holding","Gold, Silver, Copper, Lead, Zinc","Operational, Under Construction","Canada, Australia, Dominican Republic, USA"
Mining Operations,"North America, Africa, Australia, South America",Newmont Corporation,"Mineral Resources, Gold, Silver, Copper, Zinc, Lead","Operational, Operational, Under Development, End Of Life, Under Construction, End Of Life",
crusher,Pueblo Viejo Mine Site,,"Gold, Silver, Copper, Zinc",Under Construction,Dominican Republic
Power Plant,San Pedro De Macoris,Newmont Corporation,"Gold, Silver, Copper, Zinc",Operational,Dominican Republic
transmission line,Between San Pedro De Macoris And Pueblo Viejo Mine Site,Newmont Corporation,"Gold, Silver, Copper, Zinc",Operational,Dominican Republic
Fruta Del Norte Mine,"Fruta Del Norte, Ecuador",,Copper,Operational,Ecuador
Pyrite Leach Plant,Penasquito,,,End Of Life,Mexico
Carlton Tunnel,Colorado,,"Gold,  Mining",Under Construction,USA
Uranium Exploration Project,"Labrador, Canada",NWG Investments Inc.,Uranium,Operational,Canada
