physical asset,location,ownership,commodity,Countries,USA states
mining claims,"Carpenter Snow Creek Superfund Site, Cascade County, Montana, Admiralty Island, Juneau, Alaska, Yukon Territory","Hecla Mining Company 

","Silver, Gold, Lead, Zinc","Canada, USA","Alaska, Montana"
mining operations,"Montana, Nevada, Yukon Territory, Fire Creek, Hollister, Midas, Sinter Zone, Heva, Hosco, Star Property, Bulldog, Equity, North Amethyst Veins, Monte Cristo, Rock Creek, Libby Exploration Project, Rackla-Tiger Project",Hecla Mining Company,"Silver, Gold, Zinc, Lead, Copper","USA, Canada","Montana, Nevada"
Montana Ore Mine,Montana,Hecla Mining Company,"Silver, Copper",USA,Montana
Monte Cristo Mine,Nevada,Hecla Mining Company,"Gold,Silver",USA,Nevada
Open Pits  (Principal and West Mine Crown Pillar),Casa Berardi,Hecla Mining Company,"Gold 


",Canada,
Ore Milled,Lucky Friday Mine,,"Silver, Lead, Zinc",USA,
ore processing facilities,Greens Creek,Hecla Mining Company,"Silver, Gold, Lead, Zinc",USA,
orebodies,,Hecla Mining Company,"Silver, Gold",,
Osiris Open Pit,"Ontario, Casa Berardi, Fire Creek",Hecla Mining Company,"Silver, Copper, Gold, Lead, Zinc",Canada,
Quartz Mineral Claims,Yukon,Hecla Mining Company,"Gold, Silver, Lead, Zinc",Canada,
Roaster And Autoclave Facility,Nevada,Hecla Mining Company,Gold Ore,USA,Nevada
Rock Creek,Rock Creek,Hecla Mining Company,"Gold,Silver,Copper",USA,
sag mill,"Casa Berardi, Lucky Friday Mine, Idaho, Yukon Territory",Hecla Mining Company,"Gold, Silver, Lead, Zinc","Canada, USA",Idaho
San Juan Silver Mine,"San Juan County, Colorado",Hecla Mining Company,"Silver, Lead, Zinc",USA,Colorado
San Sebastian Mine,"San Sebastian, Durango",Hecla Mining Company,"Silver, Gold, Copper, Lead, Zinc",Mexico,
Smelters,Of America,Hecla Mining Company,Metals Concentrates,USA,
Tailings Impoundment Areas,Casa Berardi,Hecla Quebec Inc.,Gold,Canada,
Tailings Storage Facilities,"Casa Berardi, Greens Creek, Lucky Friday, Admiralty Island, Southeast Alaska",Hecla Mining Company,"Gold, Silver, Lead, Zinc","Canada, USA",Alaska
stormwater management infrastructure,,Hecla Mining Company,Metals,,
Concentrates Production,,Hecla Mining Company,"Silver, Gold, Lead, Zinc",,
Waste Rock And Mine Water Management,"Hollister, Nevada",,,USA,Nevada
ore concentrating mill,"Admiralty Island, Southeast Alaska",Hecla Mining Company,"Silver, Zinc, Gold, Lead","USA, Canada",Alaska
ship-loading facility,"Admiralty Island, Southeast Alaska",Hecla Mining Company,"Silver, Zinc, Gold, Lead",USA,Alaska
Mine Waste Area and Tailings Storage Facility,"Admiralty Island, Southeast Alaska, Greens Creek, Lucky Friday",Hecla Mining Company,"Silver, Gold, Lead, Zinc",USA,Alaska
drill rigs,Greens Creek,,"Silver, Gold, Lead, Zinc",USA,
Mine and Mill Complex,Casa Berardi,Hecla Quebec Inc.,Gold,Canada,
Support Facilities And Infrastructure,Casa Berardi,Hecla Quebec Inc.,Gold,Canada,
high intensity leaching and electrowinning,Casa Berardi,Hecla Quebec Inc.,Gold,Canada,
Surface Drilling Equipment,"East Mine Areas, Casa Berardi",Hecla Mining Company,"Gold, Silver, Lead, Zinc",Canada,
Mineral Deposits,,Hecla Mining Company,Minerals,,
concentrate storage building,Greens Creek  Mine,Hecla Mining Company,Lead,USA,
On-Site Laboratories,Greens Creek  mine,Hecla Mining Company,,USA,
Facilities at various locations within the historical Keno Hill Site,Keno Hill,Hecla Mining Company,,Canada,
Former Troy Mine,"Montana, New Mexico, Troy",Hecla Mining Company,,USA,"Montana, New Mexico"
transportation infrastructure (marine),"Greens Creek, Keno Hill, Casa Berardi",Third Parties,Minerals,"USA, Canada, Canada",
Mining Facility,Alaska,Hecla Mining Company,Metals,USA,Alaska
Libby Exploration Site,"Montana, Libby",Hecla Mining Company,Silver,USA,Montana
Corporate Offices,"Coeur D'Alene, Idaho; Vancouver, British Columbia; Juneau, Alaska; Wallace, Idaho; Val d'or, Quebec; Durango, ; Whitehorse, Yukon",Hecla Mining Company,,"USA, Canada, Mexico","Alaska, Idaho"
Manway Raise,"Lucky Friday Mine, Idaho",Hecla Mining Company,Ore,USA,Idaho
Ventilation Raise,"Lucky Friday Mine, Idaho",Hecla Mining Company,Ore,USA,Idaho
Quartz Mining Leases,Yukon Territory,Hecla Mining Company,"Silver, Lead, Zinc","Canada, Mexico",
cyanidation processing mill,Casa Berardi  Mine,Hecla Quebec Inc.,Gold,Canada,
Secondary Crushing Circuit,Casa Berardi,Keno Hill,"Silver, Zinc, Lead, Gold",Canada,
Crusher Modifications,Keno Hill,,"Silver, Lead, Zinc",Canada,
Camp Upgrades,"Keno Hill, Admiralty Island, Southeast Alaska",Hecla Mining Company,"Silver, Lead, Zinc, Gold","Canada, USA",Alaska
"Secondary Egress 

",Lucky Friday,,"Silver, Lead, Zinc",USA,
La Choya Mine,,Hecla Mining Company,,Mexico,
Equipment  ,,Hecla Mining Company,,,
Tailings And Waste Disposal Areas,Alaska,Hecla Mining Company,,USA,Alaska
Concentrates,"Casa Berardi, San Sebastian",Hecla Mining Company,"Silver, Gold, Lead, Zinc","Canada, Mexico",
