physical asset,ownership,commodity,Countries
Ore Stockpiles,AWA Brasil,Bauxite,Brazil
railroad,AWA Brasil,Bauxite,Brazil
tailings thickening and settling ponds,"AWA Brasil, Alcoa Corporation","Bauxite 


Let me know if you have another cell value you'd like me to clean!",Brazil
Port,AWA Brasil,Bauxite,Brazil
Ship Loader,AWA Brasil,Bauxite,Brazil
aluminum manufacturing facilities,"Alcoa Corporation, PARTER Capital Group AG","Aluminum, Primary Aluminum","Australia, Brazil, Canada, Iceland, Norway, Spain, USA"
Ship Unloaders,Alcoa Corporation,Bauxite,Brazil
Becancour Smelter,Alcoa Corporation,Aluminum,Canada
Brazilian Hydroelectric Facilities,Alcoa Corporation,Electricity,Brazil
La Coruna Aluminum Facilities,"Alcoa Corporation, PARTER Capital Group AG",Aluminum,Spain
Coal Mine,Alcoa Corporation,Bauxite,Australia
Sherwin Alumina Refinery,"Copano Enterprises LLC, Ma'aden, Alcoa Corporation","Bauxite, Alumina","USA, Saudi Arabia"
Land And Buildings,ParentCo,,
Alumina Refinery,ParentCo,,
Vehicles,ParentCo,,
Dampier To Bunbury Natural Gas Pipeline,Alcoa Corporation,Gas Supply,Australia
Office Facilities,Alcoa Corporation,,
Production Sites,Alcoa Corporation,"Bauxite, Alumina, Aluminum","

"
"Refineries (Pinjarra, Kwinana, Wagerup)",Alcoa Corporation,Aluminum,Australia
Alcoa's Darling Range Mining Operations,Alcoa Corporation,Bauxite,Australia
Alcoa AlumÃ­nio S.A. Smelter,Alcoa Corporation,,Brazil
Smelter Sites at Fusina and Portovesme,Alcoa Trasformazioni S.r.l.,,Italy
Mining Areas And Refineries,Alcoa Corporation,,USA
