physical asset,location,ownership,commodity,status,Countries
Electric Shovels,"Morenci Mine Site, Cerro Verde, El Abra","Freeport-McMoran, Cerro Verde, CorporaciÃ³n Nacional del Cobre de Chile","Copper, Molybdenum",Operational,"Chile, USA"
Electrolytic Refinery,"El Paso, Texas; Greenlee County, Arizona; North America","PT Freeport Indonesia, Freeport-McMoran, Sumitomo Metal Mining","Copper, Molybdenum",Operational,USA
Embankments,"USA, Peru",,"Minerals, Copper, Gold",Operational,"USA, Peru"
Equipment,"Grasberg Minerals District, Indonesia; Cerro Verde; El Abra; Morenci; Safford/Lone Star; Central Papua; Offshore California; Gulf Of Mexico",PT Freeport Indonesia,"Minerals, Copper, Molybdenum, Gold, Cobalt","Operational, Under Construction","Indonesia,  USA, Chile, Peru
"
Flow Lines,Arizona,Freeport-McMoran,"Oil, Gas",Operational,USA
Freeport Cobalt Mine,"Kokkola, Finland","Freeport-McMoran, Koboltti Chemicals Holdings Limited (KCHL), Jervois Global Limited",Cobalt,Operational,Finland
Gas-Fired Combined Cycle Facility,"Grasberg Minerals District, Indonesia",PT Freeport Indonesia,Electricity,Under Construction,Indonesia
Grasberg Mine,"Grasberg Minerals District, Indonesia","PT Freeport Indonesia, Freeport-McMoran","Copper, Gold, Lead, Zinc ",Operational,Indonesia
Grasberg Mine,"Grasberg Minerals District, Papua","PT Freeport Indonesia, Freeport-McMoran","Copper, Gold, Silver, Molybdenum","Operational, Under Construction, Production Stage",Indonesia
Henderson Mine,"North America, Colorado, Henderson",Freeport-McMoran,"Copper, Gold, Molybdenum, Silver",Operational  Status,USA
historical smelter sites,"Arizona, Indiana, Kansas, Missouri, New Jersey, Oklahoma, Pennsylvania, USA",Freeport-McMoran,"Copper, Lead, Zinc",Various Stages Of Assessment And Remediation,USA
Indonesia Smelter,"Indonesia, Morenci, Arizona, Gresik, Miami, USA, El Paso, Texas, Carteret, New Jersey","Freeport-McMoran, PT Freeport Indonesia, Sumitomo Metal Mining Arizona Inc., SMM Morenci, PT Smelting, USA Metals Refining Company","Copper, Gold, Lead, Molybdenum, Silver","Under Construction, Operational, End Of Life","Indonesia, USA"
Industrial Facilities,"USA, California","Atlantic Copper, Freeport-McMoran","Copper,Molybdenum",Operational,USA
Inventories: Materials And Supplies,,Freeport-McMoran,Metals,Operational,N/A
Kucing Liar mine,"Indonesia, Grasberg Minerals District, Sudirman Mountain Range, Papua","Freeport-McMoran,PT Freeport Indonesia","Copper, Gold, Molybdenum, Silver","Development Stage, Under Construction, Operational, Pre-Production",Indonesia
Leach Pads,"USA, Peru",Freeport-McMoran,"Minerals, Copper, Gold",Operational,"USA, Peru"
Leaching Facility,"Morenci, Bagdad, Safford, Chino, Tyrone, Cochise, Bisbee, Sanchez, Tohono",Freeport-McMoran,"Copper, Gold, Molybdenum, Silver",Operational,USA
Levees,Lowlands,PT Freeport Indonesia,"Minerals,Ore","Under Construction, Operational",
Lone Star Copper Leach Project,"Safford Mine, Safford Operation, North America",Freeport-McMoran,Copper,Operational,USA
Facilities,,Freeport-McMoran,"Copper, Gold, Molybdenum","Operational, Under Construction, End Of Life",
Machines,,Freeport-McMoran,Metals,Operational,
Manyar Smelter,"Gresik, Indonesia; Morenci, Greenlee County, Arizona; Miami, USA; El Paso, Texas; Carteret Borough, New Jersey","PT Freeport Indonesia, Freeport-McMoran, Sumitomo Metal Mining Arizona, Inc., SMM Morenci, PT Smelting, USA Metals Refining Company","Copper, Molybdenum, Gold, Silver","Under Construction,Operational,End Of Life","Indonesia, USA"
Metals Inventory,,Freeport-McMoran,"Metals, Silver, Gold, Lead, Zinc",Operational,
Mill,"Indonesia, Morenci, El Abra, Bagdad, Safford, Sierrita, Chino, Tyrone, Henderson, Climax, Grasberg","Atlantic Copper, Freeport-McMoran, PT Freeport Indonesia","Copper,Silver,Gold,Molybdenum",Operational,"Indonesia, USA"
Mill Recovery Project,Grasberg Mining District,PT Freeport Indonesia,"Copper, Gold",Under Construction,Indonesia
Milling,"Morenci, Bagdad, Safford, Sierrita, Chino, Henderson, Climax, Ajo, Tohono, Twin Buttes, North America, Grasberg Minerals District, Central Papua, Indonesia, El Abra, South America","Freeport-McMoran, PT Freeport Indonesia","Copper, Gold, Molybdenum, Silver","Operational, Completed, Under Construction","USA, Indonesia, Chile"
Milling Facility,"Cerro Verde, Morenci, Arizona",Cerro Verde,"Copper, Molybdenum","Operational 


Let me know when you're ready for the next cell!","USA, Peru"
Mine,"Cerro Verde, Peru; Arizona, USA; Grant County, New Mexico, USA; Climax, Colorado, USA; Gila County, Arizona, USA; Morenci, Greenlee County, Arizona, USA; Safford, Arizona, USA; Sierrita, Pima County, Arizona, USA","Freeport-McMoran, Cerro Verde, El Abra, PT Freeport Indonesia, Sumitomo, SMM Morenci Inc., Sumitomo Metal Mining Arizona Inc.","Minerals, Copper, Molybdenum","Operational, Production Stage, Under Construction, End-Of-Life","Peru, USA"
Mine Development and Other,"Morenci Mine, North America",Freeport-McMoran,"Copper, Molybdenum, Metals","Operational, Under Construction, End Of Life",USA
Mine Features,"USA, New Mexico, Arizona, Colorado","BLM and U.S. Forest Service, Freeport-McMoran",Mining,"Operational, Under Construction, End Of Life",USA
Mining Area,Indonesia Lowlands,"Freeport-McMoran,PT Freeport Indonesia","Minerals,Mineral Processing Waste,Mineral Ore",Operational,Indonesia
Mining Machinery,Morenci Mine,Freeport-McMoran,"Copper, Metals, Molybdenum",Operational,USA
Mining Properties,"USA, Peru, Chile, Indonesia, North America","FMC, Freeport-McMoran","Minerals,Molybdenum","Operational, Under Construction, End Of Life","USA, Peru, Chile, Indonesia"
Molybdenum Pressure-Leach Plant,"Bagdad, Arizona","Freeport-McMoran, PT Freeport Indonesia","Molybdenum,Molybdenum Concentrate",Operational,USA
Molybdenum Roasters,"Greenlee County, Arizona; Sierrita, Arizona; Fort Madison, Iowa; Rotterdam, Netherlands","Freeport-McMoran, Sumitomo Metal Mining Arizona Inc., SMM Morenci, PT Freeport Indonesia","Copper, Molybdenum",Operational,"USA, Netherlands"
Morenci Mine,"Morenci, Arizona, USA","Freeport-McMoran, PT Freeport Indonesia","Copper, Gold, Molybdenum, Silver","Operational, Milling, Leaching",USA
Newtown Creek Site,"New York City, Arizona, Newtown Creek","Phelps Dodge Refining Corporation, Freeport-McMoran Miami Inc., PDRC",,"Remediation Work, Under Construction, Operational",USA
North America Copper Mines,"North America, South America, Arizona, New Mexico, Grasberg Minerals District, Peru, Chile",Freeport-McMoran,"Copper, Gold, Molybdenum, Silver",Active,"USA, Peru, Chile"
"Property, Plant, and Equipment",,Freeport-McMoran,"Copper, Gold, Molybdenum","Operational, Under Construction",
PT Freeport Indonesia's Operations  facility,"Indonesia, PT Freeport Indonesia's Remote Operating Site",PT Freeport Indonesia,"Copper, Gold, Silver",Operational,Indonesia
Refineries,"El Paso, Texas",Atlantic Copper,"Copper,Refined Copper",Operational,USA
Refinery,"North America, Indonesia","Freeport-McMoran, PT Freeport Indonesia, Atlantic Copper","Copper, Molybdenum","Operational,Under Construction","USA, Mexico, Indonesia"
Remediation Projects,USA,Freeport-McMoran,,"Active, Under Construction",USA
Rod & Smelting Facility,"North America, Arizona",Freeport-McMoran,"Copper, Molybdenum","Operational 


Let me know when you are ready for the next cell!",USA
Rod Mills,"Greenlee County, Arizona  North America","Freeport-McMoran, Sumitomo Metal Mining Arizona Inc., SMM Morenci, PT Freeport Indonesia","Copper, Molybdenum  


Let me know when you're ready for the next cell!",Operational,USA
Mining Facility,"Morenci, Bagdad, Chino, Tyrone, Cerro Verde","Freeport-McMoran,Cerro Verde","Copper, Gold, Molybdenum, Silver",Operational,"USA, Peru"
Safford Mine,"North America, Arizona, Safford, Gila River System",Freeport-McMoran,"Copper, Gold, Silver, Molybdenum","Operational, Production, Milling, Leaching",USA
Sanchez Mine,"USA, Arizona",Freeport-McMoran,Copper,Operational,USA
Sierrita Mining Complex,"North America, Arizona, Sierrita, Gila River System, Pima County","Freeport-McMoran, PT Freeport Indonesia","Copper, Gold, Molybdenum, Silver","Operational 


Let me know when you're ready for the next cell!",USA
Sierrita And Miami Facilities In Arizona,"Arizona, El Paso, Texas, Miami",Freeport-McMoran,"Copper, Copper Concentrate, Anode Slimes",Operational,USA
Smelter Projects,"Indonesia, Grasberg Minerals District, Morenci, Arizona, Gresik, Miami, USA, El Paso, Texas, Carteret Borough, New Jersey","PT Freeport Indonesia, Freeport-McMoran, Sumitomo Metal Mining Arizona, Inc., SMM Morenci, PT Smelting, USA Metals Refining Company","Minerals, Copper, Gold, Molybdenum","Under Construction,Operational,End Of Life","Indonesia, USA"
Smelters,"North America, South America, Indonesia",Freeport-McMoran,"Copper, Sulfur",Operational,"USA, Mexico, Indonesia"
Sulfide Processing Plant,"El Abra, Chile","Freeport-McMoran, El Abra mining operation","Minerals, Sulfide Processing ","Operational, Under Construction",Chile
"Sulfur Burners 


Let me know when you're ready for the next cell! Ã°ÂÂÂ",Safford Mine,Freeport-McMoran,"Sulphur,Acid",Operational,USA
SX/EW Facilities,"Greenlee County, Arizona, Cerro Verde, El Abra","Freeport-McMoran, Sumitomo Metal Mining Arizona, Inc., Cerro Verde, Corporacion Nacional Del Cobre De Chile, Morenci","Copper, Molybdenum",Operational,"USA, Peru, Chile"
Tailings Impoundments,"Grasberg Minerals District, Indonesia; Greenlee County, Arizona, USA; Peru",Freeport-McMoran,"Copper, Gold, Waste Rock, Silver","Operational,Inactive,Closed","Indonesia, USA, Peru"
Tailings Infrastructure,"North America, Arizona, Peru, Chile, Colorado, Spain, Indonesia",Freeport-McMoran,"Copper, Gold, Molybdenum","Under Construction, Planned Expansion, Operational","USA, Peru, Chile, Spain, Indonesia"
Tailings Storage Facilities,"Indonesia, Cerro Verde, El Abra, Greenlee County, Arizona, Peru"," Freeport-McMoran, Cerro Verde, PT Freeport Indonesia","Minerals,Copper,Copper Concentrate,Waste,Mining","Operational  



Please provide the next cell value and column name for me to process.","Indonesia, Peru, Chile, USA"
Tanks,New Mexico,Freeport-McMoran,"Oil, Gas",Operational,USA
Tohono Mine,"North America, Arizona",Freeport-McMoran,"Copper,Milling",Operational,USA
Transportation,,,"Silver, Gold, Lead, Zinc",,
Twin Buttes Mine,"North America, Arizona, Twin Buttes",Freeport-McMoran,"Copper, Milling",Operational Status,USA
Tyrone Mine,"North America, New Mexico, Tyrone, Grant County",Freeport-McMoran,"Copper, Gold, Molybdenum, Silver","Operational, Leaching, Milling, Production",USA
Underground Development Activities,Grasberg Minerals District,"PT Freeport Indonesia, Freeport-McMoran, PT Mineral Industri Indonesia","Minerals, Copper, Copper Concentrate, Gold, Molybdenum 


Let me know when you're ready for the next cell! ð","Operational, Under Construction",Indonesia
Uranium Mining Sites,"Western USA, Four Corners Region, Tribal Lands, Federal Lands","Freeport-McMoran, Navajo Nation, US Government","Uranium,Remediation Services ","Not Specified,Operational,Under Construction,In End Of Life,Remediation",USA
Wastewater Treatment Plant,Arequipa,Cerro Verde,"Wastewater Treatment, Potable Water",Operational,Peru
Wellbores,"Offshore California, Gulf Of Mexico",Freeport-McMoran,"Oil, Gas",Operational,USA
Wells,"San Pedro River Basin, Verde River Watershed, Gila River, Arizona, Federal Lands Throughout Arizona, Gulf of Mexico","Freeport-McMoran,FM O&G","Oil, Gas","Operational, Under Construction, End Of Life",USA
Hydraulic Shovels,Cerro Verde,Cerro Verde,Copper,"Operational 


Let me know when you're ready for the next cell!",Peru
rail facilities,Indonesia,PT Freeport Indonesia,Minerals,Under Construction,Indonesia
"Storage Reservoirs 


Let me know when you're ready for the next cell!",Cerro Verde,Freeport-McMoran,Water,Operational,Peru
"Salar De Atacama Aquifer 


Let me know when you'd like to process another cell!",El Abra,Freeport-McMoran,"Groundwater, Water",Operational,Chile
Mine Trucks,"North America, South America",Freeport-McMoran,Mining,Operational,
Drawbells,Grasberg Block Cave and DMLZ Underground Mines,PT Freeport Indonesia,Copper,Operational,Indonesia
Copper Conversion Facilities,"North America, United Kingdom",Freeport-McMoran,"Copper,Molybdenum",Operational,"USA,  United Kingdom"
Leaching System,"Morenci, Arizona",Freeport-McMoran,Copper,Operational,USA
SX Plants,"Morenci, Arizona, El Paso, Texas, Miami",Freeport-McMoran ,Copper,Operational,USA
New Tank Houses,"Morenci, Arizona",Freeport-McMoran,Copper,Operational,USA
Additional Domestic Smelting Capacity,Indonesia,"PT Freeport Indonesia, PT Smelting","Copper, Gold, Molybdenum, Concentrate",Under Construction,Indonesia
Power Generation,Indonesia,PT Freeport Indonesia,Electricity,Operational,Indonesia
Transmission Lines,"Indonesia, El Abra",PT Freeport Indonesia,Electricity,Operational,"Indonesia, Chile"
Coal Units,Indonesia,PT Freeport Indonesia,Coal,"Operational 


Let me know when you'd like to process another cell!  I'm ready for the next one.",Indonesia
Potable Water Treatment Plant,"Arequipa, Colorado, USA",Cerro Verde,Water,"Completed, Operational, Under Construction",USA
Precious Metal Refinery,"Indonesia, Gresik",PT Freeport Indonesia,"Gold, Silver",Under Construction,Indonesia
Solution Extraction/Electrowinning (SX/EW) Operations,North America,Freeport-McMoran,Copper,Operational,"USA, Mexico"
Refining Segment Facilities,North America,Freeport-McMoran,"Copper,Molybdenum ",Operational,"USA, Mexico"
Inventories,,Freeport-McMoran,"Copper,Molybdenum",Operational,
Wellsites,New Mexico,Freeport-McMoran,"Oil, Gas",EndOf Life,USA
Molybdenum Conversion Facilities,"USA, Europe",Freeport-McMoran,Molybdenum,Operational,USA
Sulfide Ore,North America,Freeport-McMoran,Copper,Operational,"USA, Mexico"
Ore Deposit,El Abra,PT Freeport Indonesia,Minerals,Operational,Chile
Water Wellfield And Pipeline,El Abra,PT Freeport Indonesia,Water,Operational,Chile
Conveyor Systems,Morenci,Freeport-McMoran,"Chemicals,Explosives,Other Materials",Operational,USA
Smelting and Refinery Facilities,"Indonesia, Gresik, El Paso, Texas, Greenlee County, Arizona, North America, USA",Freeport-McMoran,"Copper, Gold, Molybdenum",Operational,"Indonesia, USA"
Tailings Containment Structures (Levees Or Protection Structures),"Southern Portion Of Tailings Management Area, Central Papua, Indonesia",PT Freeport Indonesia,"Tailings,Minerals,Mineral Ore","Operational, Under Construction",Indonesia
"Equipment, Reliability Tools",Operational Sites,Freeport-McMoran,,Operational,
Mineral Extraction Equipment,Operational Sites,Freeport-McMoran,"Copper, Gold, Lead, Zinc",Operational,
Remote/Autonomous Operation Systems,Operational Sites,Freeport-McMoran,,Under Construction,
Manyar Smelter And Precious Metals Refinery (PMR),"Indonesia, Grasberg Minerals District","PT Freeport Indonesia, Freeport-McMoran","Copper, Gold, Molybdenum","Operational, Under Construction",Indonesia
Freeport-McMoran Mineral Assets,North America,Freeport-McMoran,Copper,Operational,"USA, Canada, Mexico"
"Copper Smelter Facility in Gresik, Indonesia","Gresik, Indonesia","PT Freeport Indonesia, MMC",Copper Concentrate,Operational,Indonesia
FCX's Operating and Non-Operating Sites,Arizona,Freeport-McMoran,,Operational,USA
