physical asset,location,ownership,commodity,Countries,USA states
Gas Delivery System,"Orange and Rockland Utilities's Service Area, New York State","Orange and Rockland Utilities, Consolidated Edison",Natural Gas,USA,New York
Copper Mountain Solar Project,"Nevada, Arizona, Virginia",Consolidated Edison,"Electricity, Solar Energy",USA,"Arizona, Nevada, Virginia"
"Ami Components, Smart Meters, Communication Network, Information Technology Systems And Business Applications",New York Service Areas,"Consolidated Edison, Orange and Rockland Utilities",,USA,New York
Newtown Creek ,"Brooklyn And Queens, New York",Consolidated Edison,Petroleum,USA,New York
Trucking ,Newtown Creek,Consolidated Edison,,USA,
Concrete Manufacture,Newtown Creek,Consolidated Edison,,USA,
Wastewater Treatment Plant,Newtown Creek,Consolidated Edison,,USA,
Feeder,"New Rochelle, New York",Consolidated Edison,,USA,New York
Pier,"Hudson River, New Jersey",,,USA,New Jersey
Rockland Utilities Inc.,Southeastern New York And Northern New Jersey,Consolidated Edison,,USA,"New Jersey, New York"
Adams Rose Wind Farm ,Minnesota,Consolidated Edison,Wind Energy,USA,Minnesota
Dairyland Other (Sd/Mt Nwe/Basin Electric),South Dakota/Montana,Consolidated Edison,Wind Energy,USA,"Montana, South Dakota"
Heat Pump Programs,,"Consolidated Edison,Orange and Rockland Utilities",Electricity,,
Repair Projects ,,Consolidated Edison,Electricity ,,
Upstate Nuclear Power Plants ,,NYSERDA,Electricity ,,
Alternate Fuel Tanks,,"Consolidated Edison,Orange and Rockland Utilities",,,
New York Energy Solution (NYES) Project,Between Upstate And Downstate,Consolidated Edison Transmission,Electricity,,
Generating Units,"Consolidated Edison Company of New York's Service Territory, Downstate",Consolidated Edison,Electricity,USA,
Peaker Plants,"Consolidated Edison Company of New York Service Territory, NYISO Territories",Consolidated Edison,Electricity,USA,
Transmission Projects (Reliable Clean City),"New York City, Queens",Consolidated Edison,Electricity,USA,New York
Brownsville Substation,Brownsville,Consolidated Edison,Electricity,USA,
Glendale Substation,Glendale,Consolidated Edison,Electricity,USA,
Transmission Feeder (Between Vernon And Newtown) ,Vernon And Newtown,Consolidated Edison,Electricity,USA,
Gateway Park Area Substation,Gateway Park Area,Consolidated Edison,Electricity,USA,
Liquefaction Facility,"Astoria, Queens, NY",Consolidated Edison,Natural Gas,USA,
Natural Gas Storage Capacity,Upstate New York,"Honeoye Storage Corporation,Consolidated Edison Transmission,Consolidated Edison",Natural Gas,USA,New York
Pipelines,"New York City, Upstate New York, Westchester County",Consolidated Edison,"Natural Gas, Oil",USA,New York
Transmission Upgrades,New York State,Consolidated Edison,Renewable Energy,USA,New York
regulated transmission projects,New York State,"Consolidated Edison,Consolidated Edison Transmission",Electricity,USA,New York
Propel NY Energy Project,New York State,Consolidated Edison,Offshore Wind Electricity,USA,New York
Co-generation Plants,NYISO Territories,Consolidated Edison,Electricity,USA,
Gas And Oil Pipelines,,Consolidated Edison,"Oil, Natural Gas ",,
Two Solar Projects (Physical Assets for producing renewable energy),Virginia,Consolidated Edison,Renewable Energy,USA,Virginia
