physical asset,location,ownership,commodity,status,Countries
Buenavista New Tailings Dam,"Mexico, Toquepala And Cuajone, Buenavista Mine","Southern Copper Corporation, SCC's Peruvian Branch, Buenavista del Cobre S.A. de C.V.","Tailings,Copper,Sulfuric Acid",Operational,"Mexico, Peru"
By-Product Plant,"Coahuila, Mexico  near Texas border",Southern Copper Corporation,"By-Products (Tar, Ammonium Sulfate, Light Crude Oil)",Closed Since 2017,Mexico
Calcine Processing Area,San Luis Potosi Zinc Refinery,Southern Copper Corporation,"Zinc, Gold, Lead, Copper, Silver",Operational,Mexico
Callazas Dam,"Candarave Province, Sonora River Basin",Southern Copper Corporation,"Irrigation, Water Management","Under Construction, In Progress",Peru
Casting Wheels,"Smelter, Ilo Smelter Plant",Southern Copper Corporation,"Copper, Lead, Zinc",Operational,Peru
cathode stripping machines,La Caridad Complex,"OMIMSA I, OMIMSA II, IMMSA",Copper,Operational,Cuba
Coal Washing Plant,"Coahuila, Mexico",Southern Copper Corporation,Coal,"Suspended 



Let me know when you're ready for the next cell!",Mexico
Concentrators,"Toquepala Mine, Buenavista Mining Unit, Cananea Mining District, Sonora, Mexico","Southern Copper Corporation, Toquepala Mine, SPCC Peru Branch, Minera Mexico, Grupo Mexico S.A.B. de C.V.","Copper, Molybdenum, Gold, Silver, Lead, Zinc",Operational,Mexico
Converters,"Smelter, Ilo",Southern Copper Corporation,Copper,Operational,
Copper Leaching Process Equipment,,Southern Copper Corporation,Copper,Operational,
Crushing Circuit,"Toquepala, La Caridad Mine, Buenavista",Southern Copper Corporation,"Copper, Ore, Molybdenum",Operational,"Peru, Mexico"
Cularjahuira Dam,"Candarave Province, Quebrada Honda, Sonora River Basin","Southern Copper Corporation, Highland Community Of Camilaca","Irrigation,Water Management","Operational, Completed, In Progress, Under Construction",Peru
Dams,"Buenavista, Peru","Buenavista Unit,Southern Copper Corporation,SCC's Peruvian Branch","Copper, Minerals, Tailings","Operational, Under Construction",Peru
Diamond Drilling Program,"Atacama Region, Huasco Province, Cuenca City, Neuquen Province, Salta, Rio Negro And Neuquen Provinces, San Juan And Rio Negro Provinces, Catamarca Province, Rio Negro Province",,"Copper, Silver, Gold",Operational,"Argentina, Ecuador"
Diamond Exploration Tools,,,Copper,Operational,
Dore Casting System,"La Caridad, La Caridad Complex","OMIMSA I, OMIMSA II, IMMSA","Gold, Silver",Operational,Mexico
drilling equipment,"Peru, Mexico, Argentina, Chile, Ecuador, United States, Spain, Sonora, Mexico","Southern Copper Corporation, Golder Associates USA Inc., Peruvian Corporate, Industrial Minera Mexico, S.A. de C.V., Mexicana de Cobre, Mexican IMMSA Unit, Grupo Mexico, Minera Mexico, SPCC Peru Branch, Inersia company","Copper, Molybdenum, Silver, Zinc, Lead, Gold","Operational, Exploration Stage, Under Construction","Peru, Mexico, Argentina, Chile, Ecuador, United States, Spain"
Effluent And Dust Treatment Plant,"La Caridad complex, La Caridad",Southern Copper Corporation,"Waste Products, Copper Concentrates, Smelter Dusts",Operational,Mexico
El Pilar,"Mexico, Sonora, Peru",Southern Copper Corporation,"Molybdenum, Copper",Under Construction,"Mexico, Peru"
Electrical Substations,,,Electricity,Operational,
Electrolytic Copper Refinery,"La Caridad Complex, Ilo Refinery, San Luis Potosi, Peru","OMIMSA I, OMIMSA II, Southern Copper Corporation, Minera Mexico","Copper, Zinc, Molybdenum, Silver, Gold, Lead",Operational,"Peru, Mexico"
Electrolytic Extraction Tanks,"Buenavista, Plant I, Buenavista Mine, Surface",Buenavista Unit,"Copper, Zinc, Copper, Fuel",Operational,Mexico
Exploration and Exploitation of Copper and Other Metal Reserves,,Southern Copper Corporation,"Copper, Molybdenum, Zinc, Silver",Operational,
Exploration Sites,"Chile, Argentina, Ecuador",Southern Copper Corporation,Copper,"Operational, Under Construction","Chile, Argentina, Ecuador"
Facilities,"Sonora, Mexico",Recursos Stingray de Cobre S.A de C.V,"Copper, Molybdenum",Under Construction,Mexico
Five Underground Mines,"Peru, Mexico, Southern Peru","IMMSA unit, Industrial Minera Mexico, S.A. de C.V., Southern Copper Corporation, Grupo Mexico S.A.B. de C.V.  ,Minera Mexico","Zinc, Lead, Copper, Silver, Gold, Molybdenum",Operational,"Peru, Mexico"
Flotation Plant,"Municipality Of Sombrerete, Zacatecas, Mexico; Santa Barbara Mining Complex, Taxco; Toquepala Mine; Cuajone Pit; Buenavista; La Caridad Mine; Concentrator Plant; Various Open-Pit And Underground Mine Sites; La Caridad Metallurgical Complex","IMMSA,Southern Copper Corporation,Minera Mexico","Lead, Copper, Zinc, Silver, Gold, Molybdenum",Operational,"Mexico, Peru"
Flotation Separator,Concentrator Plant,Southern Copper Corporation,"Molybdenum, Copper, Copper Ore",Operational,
four open-pit copper mines,"Peru, Mexico, Chile, Argentina, Southern Peru, El Arco, Buenavista, Toquepala, 150 km by road from Tacna, 30 kilometers from Cuajone, La Caridad, La Caridad Mine, Coahuila, outskirts of Nueva Rosita near the Texas border, Baja California, Apurimac, Cajamarca, La Caridad complex, Andes Mountains","Southern Copper Corporation,Minera Mexico,Grupo Mexico S.A.B. de C.V.,SPCC Peru Branch","Copper, Molybdenum, Copper Ore, Molybdenum Ore, Coal, Molybdenum, Gold, Silver, Zinc, Lead, Minerals","Operational, Under Construction, Suspended","Peru, Mexico, Chile, Argentina"
Generators,"Mining Sites And Processing Plants, Mexico",Southern Copper Corporation,"Energy, Power Generation",Operational,Mexico
Gold Mine,Mexico,Southern Copper Corporation,Gold,,Mexico
Heap Leach Dumps,"Toquepala, El Arco, Buenavista","Southern Copper Corporation,Agrarian Cooperatives And Private Owners","Copper,Molybdenum","Under Construction, Operational",Peru
Hydrothermal Breccias,"Sonora Basin And Range Province Of Northern Mexico, Sierra Cobriza Area",,"Copper,Molybdenum",,Mexico
Ilo Refinery,"Coastal City Of Ilo, Peru","Southern Copper Corporation, Minera Mexico, S.A. de C.V.","Copper, Molybdenum, Zinc, Silver, Gold, Lead",Operational,Peru
IMMSA,"IMMSA, Mexico",Southern Copper Corporation  IMMSA,"Copper,Zinc",Operational,Mexico
Induction Furnace,"La Caridad, La Caridad Complex","OMIMSA I, OMIMSA II, IMMSA","Silver, Copper",Operational,Mexico
Infrastructure,"Peru, Mexico, Buenavista, Oaxaca","Southern Copper Corporation, Grupo Mexico","Copper, Gold, Lead, Molybdenum, Zinc","Operational, Under Construction, Completed","Peru, Mexico"
Irrigation Systems,"Buenavista Mine, Tacna Region, Sonora, Mexico",,"Copper, Cathode Copper","Operational, Completed, Under Construction",Mexico
Isasmelt Furnace,"Smelter, Ilo",,"Copper, Copper Concentrate",Operational,
Kaldo Furnace,"La Caridad, La Caridad Complex","OMIMSA I, OMIMSA II, IMMSA","Gold, Silver, Copper",Operational,Mexico
La Caridad Mine,"La Caridad, Sonora","Southern Copper Corporation, IMMSA, Minera Mexico, SX-EW","Copper, Silver, Zinc, Molybdenum",Operational,Mexico
La Tapada Deposit,"Peru, La Tapada",IMMSA,"Copper, Silver, Gold, Lead, Zinc","Undefined, Inferred, Measured, Indicated",Peru
Leach Pads,"Main Mining Operations, Toquepala, La Caridad, Buenavista, Mexico, Peru",Southern Copper Corporation,"Copper,Metals","Operational, Under Construction","Mexico, Peru"
Leach Plant,"San Martin, El Arco Leach, Pilares Leach, Toquepala, La Caridad Metallurgical Complex",Southern Copper Corporation,"Copper, Molybdenum, Zinc, Copper Concentrate","Operational, Measured, Indicated, Inferred, Under Construction","Peru, Mexico"
Leaching Dumps,"La Caridad Mine, Peru and Mexico",Southern Copper Corporation,"Copper, Low Grade Copper Ore, Leaching Ore",Operational,"Peru, Mexico"
Leaching Tanks,Surface,,"Copper, Zinc, Fuel",Operational,
Lime Plant,"La Caridad Mine Complex, Sonora, Mexico",,"Lime, Copper, Fuel, Copper Concentrate 


Let me know when you'd like me to process another cell!","Operational, Under Construction",Mexico
Limestone Plant,Mexico,Southern Copper Corporation,"Copper  




I'm ready for the next cell! Let me know when you have it prepared. ð",Operational,Mexico
Machinery And Equipment,"Peru, Mexico, USA, Spain, Sonora, Mining Sites, Central And Northern Mexico, La Caridad, Toquepala, Buenavista, Cananea Mining District In North-Central Sonora, La Caridad Mine, Singapore, Asia","Southern Copper Corporation, Peruvian Corporate, Industrial Minera Mexico, S.A. de C.V., Mexicana de Cobre, Mexican IMMSA Unit, Grupo Mexico, S.A. de C.V. (IMMSA), Minera Mexico, SPCC Peru Branch","Copper, Molybdenum, Zinc, Silver, Other Metals 




 Let me know when you have another cell value for me to process!",Operational,"Peru, Mexico, USA, Spain, Singapore"
Main 230 Kv Electrical Substation,"El Arco, Central Mesa Of Mexico, Sombrerete Municipality, Zacatecas","Southern Copper Corporation, Agrarian Cooperatives And Private Owners","Copper, Silver, Lead, Zinc","Under Construction, Operational",Mexico
Maptek XR3 Scanner,"La Caridad Mine, La Caridad",Southern Copper Corporation,"Mining,Metals 


Let me know when you're ready for the next cell! ð",Operational,Mexico
Marine Terminal,"Guaymas, Sonora, Mexico",Southern Copper Corporation,"Sulphur, Acid",Operational,Mexico
Marine Trestle,"Ilo Smelter Plant, Ilo",Southern Copper Corporation,Sulfur,Operational,Peru
Metallurgic Plants,"Sonora, Mexico; Peru; Central and Northern Mexico",Southern Copper Corporation,"Fuels,Copper,Electricity",Operational,"Mexico, Peru"
Mexican Operations,Mexico,Southern Copper Corporation,Copper  Operations,Operational,Mexico
Michiquillay Copper Project,"Cajamarca, Peru",Southern Copper Corporation,"Copper,Molybdenum,Gold,Silver","Under Construction, Preoperational",Peru
Mill Complex And Oxide Fine Crushing Facilities,El Arco,"Southern Copper Corporation, Agrarian Cooperatives And Private Owners","Copper, Molybdenum",Under Construction,Mexico
Mill Plant,"Mexico, Peru, Santa Barbara, El Arco Mill, El Pilar, Pilares Mill, Cuajone, Toquepala, Buenavista Mill, La Caridad Mill, El Pilar Property, La Caridad Metallurgical Complex",Recursos Stingray De Cobre S.A de C.V,"Copper, Molybdenum, Gold, Silver",Operational,"Mexico, Peru"
Mill Section,"Concentrator Plant, Santa Barbara, El Arco Mill, El Pilar, Pilares Mill, Cuajone, Toquepala, Buenavista Mill, La Caridad Mill, El Pilar Property",Recursos Stingray de Cobre S.A de C.V.,"Copper,Molybdenum 


Please note that while I've followed your instructions as best as possible, ""Copper,Molybdenum"" already seems standardized. If you had a more complex or inconsistent entry, I would have made the necessary changes according to your guidelines.","Operational 


Let me know if you'd like to process another cell!",Peru
Mill Sections,"Various Open-Pit And Underground Mine Sites, Santa Barbara, El Arco Mill, El Pilar, Pilares Mill, Cuajone, Toquepala, Buenavista Mill, La Caridad Mill, El Pilar Property  




I am ready for the next cell!","Minera Mexico, Recursos Stingray de Cobre S.A de C.V","Copper, Zinc, Lead, Molybdenum",Operational,Peru
Mines,"Toquepala, La Caridad District, Sonora Basin And Range Province, Northern Mexico, Sierra Cobriza Area, West Of Nacozari, El Pilar - Sonora, Cuajone, Andes Mountains (Peru), Buenavista, Moquegua Region, Sombrerete Municipality, Toquepala, Cananea Mining District","Southern Copper Corporation,Minera Mexico,The Mexican government,IMMSA,Buenavista del Cobre S.A. de C.V,Tierra Group International,Grupo Mexico,Compagnie Minera Coimolache S.A., Apu Coropuna S.R.L.","Copper, Molybdenum, Silver, Lead, Zinc","Operational,Operational,Active,Under Construction,In Litigation","Mexico, Peru"
Mineral Reserves,"Cuajone, Andes Mountains, Southern Peru",,"Copper, Molybdenum","Proven, Probable, Under Construction",Peru
Molybdenum Concentrates,"Peru, Buenavista","SPCC Peru Branch, Southern Copper Corporation, Buenavista Unit, Asarco LLC","Molybdenum,Copper",Operational,Peru
Molybdenum Recovery Plant,"La Caridad Mine, Buenavista",Southern Copper Corporation,"Molybdenum,Copper",Operational,"The location provided doesn't explicitly mention any countries. 

Therefore, the answer is **N/A**. 


To find the country, you would need more context or specific details about the La Caridad Mine and Buenavista.  They could be in various places around the world."
Monitoring Wells,"Downstream From The Curtain Of The Contingency Dam, ProaÃ±o Area, Buenavista","BVC, IMMSA, Southern Copper Corporation","Water, Water Quality Monitoring,  Water for Industrial Use and Domestic Consumption 


Let me know if you'd like to process another cell!","Operational, Under Construction",Mexico
Nine Refineries,"Peru, Mexico","Southern Copper Corporation, Minera Mexico","Copper, Silver, Gold, Molybdenum",Operational,"Peru, Mexico"
Open Pits,"La Tapada, Tia Maria, Toquepala Mine, Toquepala",,Copper,"Operational, Completed",Peru
Open-Pit Mine,"Mexico, USA, Peru, Brazil, Chile, Cuajone (Peru), Andes Range in Southern Peru, El Arco, Buenavista, Toquepala, Southern Peru, 150 Km by Road from Tacna City, 30 Kilometers from Cuajone, La Caridad, La Caridad Mine, Coahuila, Outskirts of Nueva Rosita near Texas Border, Baja California, Apurimac, Cajamarca, La Caridad Complex, Andes Mountains","Mexican Immsa, Peruvian Corporate, Southern Copper Corporation, Agrarian Cooperatives Ejidos, Minera Mexico, Grupo Mexico S.A.B. De C.V., Spcc Peru Branch","Copper, Copper Ore, Molybdenum Ore, Coal, Molybdenum, Gold, Silver, Zinc, Lead, Minerals ","Operational,Under Construction,Suspended","Mexico, USA, Peru, Brazil, Chile"
Ore,"Peru, Mexico","Southern Copper Corporation, Minera Mexico, S.A. de C.V.","Copper, Molybdenum, Zinc, Silver, Gold, Lead",Operational,"Peru, Mexico"
Overland Conveyor Belt,Toquepala Mine,,Copper,Operational,Peru
Oxygen Plants,"La Caridad Smelter Plant, La Caridad Complex, Peru, Central Mexico","OMIMSA I, OMIMSA II, IMMSA, Southern Copper Corporation, Mexican Immsa","Silver, Gold, Lead, Zinc, Copper, Oxygen 


Let me know when you're ready for the next cell!",Operational,"Peru, Mexico"
Oxygen Plants,Smelter,,Oxygen,Operational,
Peruvian Mines And Facilities,"Peru, Toquepala, La Caridad, Buenavista",Southern Copper Corporation,"Copper, Molybdenum, Minerals",Operational,"Peru, Mexico"
Pilares,"Pilares, Sonora, Mexico","Southern Copper Corporation,  Recursos Stingray de Cobre S.A de C.V","Copper, Silver","Under Construction, Operating, Operational",Mexico
Plant III,Buenavista Mine,,Copper,Operational,Mexico
Poly-Metallic Mines,Peru,Southern Copper Corporation,"Molybdenum,Polymetallic",Operational,Peru
Power Generating Facilities,"Peru, Mexico",Southern Copper Corporation,"Electricity, Energy, Power",Operational,"Peru, Mexico"
Power Supply Transformers,"Electrical Substations, Mining Operation",,Electricity,"Operational  



Let me know when you're ready for the next cell!","N/A 

The location information provided does not mention any specific countries."
Power Turbine,"La Caridad, La Caridad Complex","OMIMSA I, OMIMSA II, IMMSA",Electricity,Operational,Mexico
Precious Metal Plant,"Ilo Refinery, La Caridad Complex, La Caridad, Mexico",,"Silver, Gold, Copper, Precious Metals 


Let me know when you'd like to process another cell!  I'm ready for the next one. ð",Operational,"Mexico, Peru"
Precious Metals Refinery,"La Caridad, Mexico",,"Precious Metals, Copper, Gold, Silver, Anodic Slimes, Copper Concentrates",Operational,Mexico
Primary Crushers,"Various open-pit and underground mine sites, concentrator plant, Toquepala Mine",Minera Mexico,"Copper, Zinc, Lead, Copper",Operational,Peru
Processing Facility,"Toquepala, Peru; Cananea Mining District, Sonora, Mexico;  La Caridad Operations","Southern Copper Corporation,Minera Mexico","Copper, Silver, Gold, Molybdenum, Zinc, Mineral Processing, Fuel, Gas, Electricity, Water, Copper Concentrate 


Let me know when you're ready for the next cell value!",Operational,"Peru, Mexico"
Property,"Buenavista, Peru","Anaconda Company, Southern Copper Corporation, Minera Mexico","Copper,Silver,Gold,Lead,Zinc 


Let me know when you're ready for the next cell!","Operational, Under Construction",Peru
Quebrada Honda,"Peru, Quebrada Honda, Toquepala Mine, Tacna","Southern Copper Corporation, Tierra Group International","Copper,Water,Tailings","Operational,Completed,Under Construction",Peru
Quebrada Honda Radar System,Quebrada Honda Tailings Dam,,,Operational,Chile
Radars,"Quebrada Honda Tailings Dam, Toquepala Mine, La Caridad",,,Operational,"Peru, Mexico"
Reactors,"La Caridad, La Caridad Complex","OMIMSA I, OMIMSA II, IMMSA","Gold,Silver",Operational,Mexico
Refinery and Metallurgical Plants,Mexico,"Southern Copper Corporation, Golder Associates USA Inc","Metallurgical Plants And Smelters, Silver, Gold, Lead, Zinc, Copper",Operational,Mexico
Reverberatory Furnaces,Smelter,,"Copper, Copper Matte",Operational,
Reverse Circulation Rigs,,,Copper,Operational,
Roaster,San Luis Potosi,Southern Copper Corporation,"Zinc, Gold, Lead, Copper, Silver",Operational,Mexico
Roasting Ovens,,,Zinc,Operational,
Rod Plant,"La Caridad Complex, Mexico",,"Copper, Molybdenum, Zinc, Silver, Gold, Lead, Copper Rods, Copper Products, Copper Concentrates 


Let me know when you're ready for the next cell value!",Operational,Mexico
Rotary Holding Furnaces,"Smelter, Ilo",Southern Copper Corporation,"Copper, Matte, Slag, Concentrate",Operational,
Rotating Crushers,Toquepala Mine,,Copper,Operational,Peru
San Antonio Mine,"Santa Eulalia, Atacama  Region",Southern Copper Corporation,"Lead, Zinc, Copper, Gold, Silver",Operational,Mexico
San Diego Facility,Santa Barbara Mining Complex,IMMSA,"Lead, Copper, Zinc",Operational,Mexico
San Luis Potosi Electrolytic Zinc Refinery,"San Luis Potosi, Peru",Southern Copper Corporation,"Zinc, Gold, Lead, Copper, Cadmium 



 Let me know when you have the next cell value!",Operational,Peru
San Martin Mine,"Central Mesa Of Mexico, Sombrerete Municipality, Zacatecas, San Martin",Southern Copper Corporation,"Silver, Copper, Lead, Zinc","Operational,Suspended",Mexico
Santa Barbara Mine,Mexico,Southern Copper Corporation,"Silver,Copper",Operational,Mexico
Scrubbing Technology,Mexico,Southern Copper Corporation,Mineral Extraction,Operational,Mexico
Segovedad Mine,Santa Barbara Mining Complex,IMMSA,"Lead, Copper, Zinc",Operational,Mexico
Seismic Refraction Equipment,,,"Copper, Molybdenum",Operational,
Several Industrial Processing Facilities,"Mexico, Peru, Cananea Mining District, Sonora, La Caridad Operations","Southern Copper Corporation, Minera Mexico, IMMSA Unit","Molybdenum, Zinc, Silver, Copper, Gold, Copper Concentrate, Lead",Operational,"Mexico, Peru"
Slag Cleaning Furnaces,"Smelter, Ilo",,Slag,"Operational 


Let me know when you're ready for the next cell!",
Slime Treatment Plant,La Caridad Complex,"OMIMSA I, OMIMSA II, IMMSA","Copper, Anodic Slimes",Operational,Mexico
Smelter,"Ilo Smelter Plant, La Caridad Complex, Ilo","Southern Copper Corporation, OMIMSA I, OMIMSA II, IMMSA","Copper, Molybdenum, Zinc, Silver, Gold, Lead",Operational,"Mexico, Peru"
SSR-FX Radar,La Caridad Mine,Southern Copper Corporation,,Operational,Mexico
Steam Dryer,"La Caridad, La Caridad Complex","OMIMSA I, OMIMSA II, IMMSA",,Operational,Mexico
Steam Recovery Boiler,San Luis PotosÃ­,Southern Copper Corporation,"Zinc, Gold, Lead, Copper, Silver",Operational,Mexico
Sub-Horizontal Drains,"Toquepala Pit, Toquepala Mine, Toquepala",,Copper,Operational,Peru
Sulfur Dioxide Emissions Treatment Facilities,Mexican Plants,Southern Copper Corporation,,Operational,Mexico
Support Facilities,"Mexico, Cananea Mining District, Sonora","Southern Copper Corporation, Minera Mexico",Copper,Operational,Mexico
Buenavista Mining Complex,"Mexico, Peru, Toquepala",Private Ownership,"Copper, Gold, Lead, Molybdenum, Silver, Zinc","Operational, Under Construction, Operational, Operational","Mexico, Peru"
Tailings Storage Facility,"Quebrada Honda Dam, La Caridad Mine, El Arco, Quebrada Honda",,"Waste Materials, Copper, Tailings, Copper and Molybdenum, Copper Waste","Operational, Under Construction, Operational",Mexico
Tantahuatay Mine,Peru,,Minerals,Operational,Peru
Taxco Mine,"Taxco, Mexico",Southern Copper Corporation,"Copper,Minerals",Suspended,Mexico
Temporary Ore Stockpile,El Arco,"Southern Copper Corporation, Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Under Construction,Mexico
Thickener,Toquepala,Southern Copper Corporation,"Molybdenum,Copper",Operational,Peru
Three Deep Wells,"ProaÃÂ±o Area, Buenavista",IMMSA,"Lead, Copper, Zinc, Silver, Water",Operational,Mexico
Tia Maria Mine,"Islay Province, Tia Maria, Arequipa, Pampa Cachendo Area, Tia Maria Project",Southern Copper Corporation,"Copper, Gold, Lead, Zinc","Under Construction, Inferred, Measured, Indicated, Undefined",Peru
Toquepala Open Pit Mine (Concentrator I+II),"Toquepala (Peru), Cuajone (Peru), Andes Range in Southern Peru, El Arco, Buenavista, La Caridad, Coahuila, Baja California, Apurimac, Cajamarca","Southern Copper Corporation, Minera Mexico, Grupo Mexico S.A.B. de C.V., SPCC Peru Branch 


Let me know when you're ready for the next cell!","Copper, Gold, Lead, Silver, Molybdenum","Operational, Under Construction, Suspended","Peru, Mexico"
Truck Shop And Warehouse,El Arco,"Southern Copper Corporation,Agrarian Cooperatives And Private Owners","Copper,Molybdenum",Under Construction,Mexico
Trucks,"Buenavista, Between La Caridad Complex And Mines, Mine Pit","Buenavista Unit,  Southern Copper Corporation","Copper, Copper Concentrates, Copper Ore",Operational,Mexico
Two Operating SX-EW Plants,"Buenavista, Peru and Mexico; Cananea Mining District, Sonora, Mexico","Minera Mexico, Grupo Mexico S.A.B. de C.V., Southern Copper Corporation, S.A. de C.V.","Copper, Molybdenum, Zinc, Silver, Gold, Lead",Operational,"Peru, Mexico"
Two Waste Rock Storage Facilities,El Arco Mine Pit,"Southern Copper Corporation, Agrarian Cooperatives And Private Owners","Copper, Molybdenum 


Let me know when you're ready for the next cell!","Operational,Under Construction",Chile
Underground Coal Mine,"Coahuila, Mexico; Sombrerete municipality, Zacatecas","Anaconda Company, Southern Copper Corporation, Minera Mexico","Coal, Lead, Copper, Zinc, Silver",Closed Operational,Mexico
Vina Blanca Water Reservoir Facilities,Peru,Southern Copper Corporation,,Operational,Peru
Water Recovery Systems,Peru,Southern Copper Corporation,,Operational,Peru
Water Sources,"Toquepala And Cuajone, Peru",Southern Copper Corporation,Water,Operational,Peru
Sonic Perforations,Toquepala Mine,,,Pending,Peru
Vibrating Wire Piezometers,Toquepala Mine,,,Operational,Peru
Diamond Drill Holes,Toquepala Mine,,,Completed,Peru
geotechnical drills,Toquepala Mine,,,Completed,Peru
Port Facility in Ilo,"City of Ilo, Peru"," Southern Copper Corporation, Grupo Mexico",Copper,Operational,Peru
"Roads 




Let me know when you'd like to process another cell!","Michiquillay Rural Community, EncaÃ±ada Rural Community",Southern Copper Corporation,"Copper, Molybdenum, Gold",Exploration Stage,Peru
BVC Pit Area,,Minera Mexico,Copper,Operational,
Buenavista Zinc (BVZ) Pit Area,,Minera Mexico,"Zinc, Copper",Operational,
Molybdenum Plants,"Peru, Central And Northern Mexico,  Buenavista, Cananea Mining District, Sonora","Minera Mexico, Southern Copper Corporation, Mexican IMMSA Unit","Molybdenum, Copper, Electricity",Operational,"Peru, Mexico"
Power Pipelines,,Minera Mexico,,Operational,
Electrowinning Cells (Plant II),"Buenavista, Buenavista Mine",Buenavista Unit,"Copper, Cathodes",Operational,Colombia
Sulfide Mill,"Central And Northern Mexico, Santa Barbara, El Arco Mill, El Pilar, Pilares Mill, Cuajone, Toquepala, Buenavista Mill, La Caridad Mill, El Pilar Property, Western Cordillera Of The Andes In Northwest Peru 


Let me know when you're ready for the next cell!","Mexican IMMSA Unit,  Recursos Stingray de Cobre S.A de C.V.","Copper, Molybdenum",Operational,"Mexico, Peru"
Coke Facility,"Coahuila, Mexico",Southern Copper Corporation,Coke,Closed  Since 2017,Mexico
