physical asset,location,ownership,commodity,Countries,USA states
Administration Building,El Arco,"Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Mexico,
Anode Furnace,"Smelter,Ilo,Ilo Smelter Plant,La Caridad,La Caridad Complex","Southern Copper Corporation,OMIMSA I,OMIMSA II,IMMSA","Copper,Blister Copper,Copper Concentrate","Peru,Mexico",
Anode Washing Facility,La Caridad Complex,"OMIMSA I,OMIMSA II,IMMSA",Copper,Mexico,
Ball Mills,"Buenavista,Toquepala",,Copper,"Peru,Mexico",
Berms,Toquepala Mine,Southern Copper Corporation,Copper,Peru,
Blister Plant,"Peru,Ilo Smelter Plant",Southern Copper Corporation,"Silver,Copper",Peru,
Boilers,"Mining Sites And Processing Plants,Coahuila,Mexico",Southern Copper Corporation,Energy,Mexico,
Buena Tierra Mine,Santa Eulalia,Southern Copper Corporation,"Lead,Zinc,Copper,Iron,Gold,Silver",Mexico,
Buenavista Mining Complex,"Buenavista,Sonora,Mexico",Southern Copper Corporation,"Copper,Silver,Zinc,Molybdenum",Mexico,
Buenavista Cu Plant,Mexico,,Copper,Mexico,
Buenavista New Tailings Dam,"Mexico,Toquepala And Cuajone,Buenavista Mine","Southern Copper Corporation,SCC's Peruvian Branch,Buenavista del Cobre S.A. de C.V.","Copper,sulphuric Acid","Mexico,Peru",
By-Product Plant,"Coahuila,Mexico  near Texas border",Southern Copper Corporation,,Mexico,Texas
Calcine Processing Area,San Luis Potosi Zinc Refinery,Southern Copper Corporation,"Zinc,Gold,Lead,Copper,Silver",Mexico,
Callazas Dam,"Candarave Province,Sonora River Basin",Southern Copper Corporation,,Peru,
Casting Wheels,"Smelter,Ilo Smelter Plant",Southern Copper Corporation,"Copper,Lead,Zinc",Peru,
cathode stripping machines,La Caridad Complex,"OMIMSA I,OMIMSA II,IMMSA",Copper,Cuba,
Coal Washing Plant,"Coahuila,Mexico",Southern Copper Corporation,Coal,Mexico,
Concentrators,"Toquepala Mine,Buenavista Mining Unit,Cananea Mining District,Sonora,Mexico","Southern Copper Corporation,Toquepala Mine,SPCC Peru Branch,Minera Mexico,Grupo Mexico S.A.B. de C.V.","Copper,Molybdenum,Gold,Silver,Lead,Zinc",Mexico,
Converters,"Smelter,Ilo",Southern Copper Corporation,Copper,,
Copper Leaching Process Equipment,,Southern Copper Corporation,Copper,,
Crushing Circuit,"Toquepala,La Caridad Mine,Buenavista",Southern Copper Corporation,"Copper,Ore,Molybdenum","Peru,Mexico",
Cularjahuira Dam,"Candarave Province,Quebrada Honda,Sonora River Basin","Southern Copper Corporation,Highland Community Of Camilaca",,Peru,
Dams,"Buenavista,Peru",",Southern Copper Corporation,SCC's Peruvian Branch","Copper,Minerals",Peru,
Diamond Drilling Program,"Atacama Region,Huasco Province,Cuenca City,Neuquen Province,Salta,Rio Negro And Neuquen Provinces,San Juan And Rio Negro Provinces,Catamarca Province,Rio Negro Province",,"Copper,Silver,Gold","Argentina,Ecuador",
Diamond Exploration Tools,,,Copper,,
Dore Casting System,"La Caridad,La Caridad Complex","OMIMSA I,OMIMSA II,IMMSA","Gold,Silver",Mexico,
drilling equipment,"Peru,Mexico,Argentina,Chile,Ecuador,USA,Spain,Sonora,Mexico","Southern Copper Corporation,Golder Associates USA Inc.,Peruvian Corporate,Industrial Minera Mexico,S.A. de C.V.,Mexicana de Cobre,IMMSA,Grupo Mexico,Minera Mexico,SPCC Peru Branch,Inersia company","Copper,Molybdenum,Silver,Zinc,Lead,Gold","Peru,Mexico,Argentina,Chile,Ecuador,USA,Spain",
Effluent And Dust Treatment Plant,"La Caridad complex,La Caridad",Southern Copper Corporation,Copper Concentrates,Mexico,
El Pilar,"Mexico,Sonora,Peru",Southern Copper Corporation,"Molybdenum,Copper","Mexico,Peru",
Electrical Substations,,,Electricity,,
Electrolytic Copper Refinery,"La Caridad Complex,Ilo Refinery,San Luis Potosi,Peru","OMIMSA I,OMIMSA II,Southern Copper Corporation,Minera Mexico","Copper,Zinc,Molybdenum,Silver,Gold,Lead","Peru,Mexico",
Electrolytic Extraction Tanks,"Buenavista,Plant I,Buenavista Mine,Surface",Buenavista Unit,"Copper,Zinc,Copper,Fuel",Mexico,
Exploration and Exploitation of Copper and Other Metal Reserves,,Southern Copper Corporation,"Copper,Molybdenum,Zinc,Silver",,
Exploration Sites,"Chile,Argentina,Ecuador",Southern Copper Corporation,Copper,"Chile,Argentina,Ecuador",
Facilities,"Sonora,Mexico",Recursos Stingray de Cobre S.A de C.V,"Copper,Molybdenum",Mexico,
Five Underground Mines,"Peru,Mexico,Southern Peru","IMMSA,Industrial Minera Mexico,S.A. de C.V.,Southern Copper Corporation,Grupo Mexico S.A.B. de C.V.,Minera Mexico","Zinc,Lead,Copper,Silver,Gold,Molybdenum","Peru,Mexico",
Flotation Plant,"Municipality Of Sombrerete,Zacatecas,Mexico; Santa Barbara Mining Complex,Taxco; Toquepala Mine; Cuajone Pit; Buenavista; La Caridad Mine; Concentrator Plant; Various Open-Pit And Underground Mine Sites; La Caridad Metallurgical Complex","IMMSA,Southern Copper Corporation,Minera Mexico","Lead,Copper,Zinc,Silver,Gold,Molybdenum","Mexico,Peru",
Flotation Separator,Concentrator Plant,Southern Copper Corporation,"Molybdenum,Copper,Copper Ore",,
four open-pit copper mines,"Peru,Mexico,Chile,Argentina,Southern Peru,El Arco,Buenavista,Toquepala,150 km by road from Tacna,30 kilometers from Cuajone,La Caridad,La Caridad Mine,Coahuila,outskirts of Nueva Rosita near the Texas border,Baja California,Apurimac,Cajamarca,La Caridad complex,Andes Mountains","Southern Copper Corporation,Minera Mexico,Grupo Mexico S.A.B. de C.V.,SPCC Peru Branch","Copper,Molybdenum,Copper Ore,Molybdenum Ore,Coal,Gold,Silver,Zinc,Lead,Minerals","Peru,Mexico,Chile,Argentina","California,Texas"
Generators,"Mining Sites And Processing Plants,Mexico",Southern Copper Corporation,Energy,Mexico,
Gold Mine,Mexico,Southern Copper Corporation,Gold,Mexico,
Heap Leach Dumps,"Toquepala,El Arco,Buenavista","Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Peru,
Hydrothermal Breccias,"Sonora Basin And Range Province Of Northern Mexico,Sierra Cobriza Area",,"Copper,Molybdenum",Mexico,
Ilo Refinery,"Coastal City Of Ilo,Peru","Southern Copper Corporation,Minera Mexico,S.A. de C.V.","Copper,Molybdenum,Zinc,Silver,Gold,Lead",Peru,
IMMSA,"IMMSA,Mexico",Southern Copper Corporation  IMMSA,"Copper,Zinc",Mexico,
Induction Furnace,"La Caridad,La Caridad Complex","OMIMSA I,OMIMSA II,IMMSA","Silver,Copper",Mexico,
Infrastructure,"Peru,Mexico,Buenavista,Oaxaca","Southern Copper Corporation,Grupo Mexico","Copper,Gold,Lead,Molybdenum,Zinc","Peru,Mexico",
Irrigation Systems,"Buenavista Mine,Tacna Region,Sonora,Mexico",,"Copper,Cathode Copper",Mexico,
Isasmelt Furnace,"Smelter,Ilo",,"Copper,Copper Concentrate",,
Kaldo Furnace,"La Caridad,La Caridad Complex","OMIMSA I,OMIMSA II,IMMSA","Gold,Silver,Copper",Mexico,
La Caridad Mine,"La Caridad,Sonora","Southern Copper Corporation,IMMSA,Minera Mexico,SX-EW","Copper,Silver,Zinc,Molybdenum",Mexico,
La Tapada Deposit,"Peru,La Tapada",IMMSA,"Copper,Silver,Gold,Lead,Zinc",Peru,
Leach Pads,"Main Mining Operations,Toquepala,La Caridad,Buenavista,Mexico,Peru",Southern Copper Corporation,"Copper,Metals","Mexico,Peru",
Leach Plant,"San Martin,El Arco Leach,Pilares Leach,Toquepala,La Caridad Metallurgical Complex",Southern Copper Corporation,"Copper,Molybdenum,Zinc,Copper Concentrate","Peru,Mexico",
Leaching Dumps,"La Caridad Mine,Peru and Mexico",Southern Copper Corporation,"Copper,Copper Ore","Peru,Mexico",
Leaching Tanks,Surface,,"Copper,Zinc,Fuel",,
Lime Plant,"La Caridad Mine Complex,Sonora,Mexico",,"Lime,Copper,Fuel,Copper Concentrate",Mexico,
Limestone Plant,Mexico,Southern Copper Corporation,Copper,Mexico,
Machinery And Equipment,"Peru,Mexico,USA,Spain,Sonora,Mining Sites,Central And Northern Mexico,La Caridad,Toquepala,Buenavista,Cananea Mining District In North-Central Sonora,La Caridad Mine,Singapore,Asia","Southern Copper Corporation,Peruvian Corporate,Industrial Minera Mexico,S.A. de C.V.,Mexicana de Cobre,IMMSA,Grupo Mexico,S.A. de C.V. (IMMSA),Minera Mexico,SPCC Peru Branch","Copper,Molybdenum,Zinc,Silver,Metals","Peru,Mexico,USA,Spain,Singapore",
Main 230 Kv Electrical Substation,"El Arco,Central Mesa Of Mexico,Sombrerete Municipality,Zacatecas","Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Silver,Lead,Zinc",Mexico,
Maptek XR3 Scanner,"La Caridad Mine,La Caridad",Southern Copper Corporation,Metals,Mexico,
Marine Terminal,"Guaymas,Sonora,Mexico",Southern Copper Corporation,"Sulphur,Acid",Mexico,
Marine Trestle,"Ilo Smelter Plant,Ilo",Southern Copper Corporation,Sulphur,Peru,
Metallurgic Plants,"Sonora,Mexico; Peru; Central and Northern Mexico",Southern Copper Corporation,"Fuels,Copper,Electricity","Mexico,Peru",
Mexican Operations,Mexico,Southern Copper Corporation,Copper,Mexico,
Michiquillay Copper Project,"Cajamarca,Peru",Southern Copper Corporation,"Copper,Molybdenum,Gold,Silver",Peru,
Mill Complex And Oxide Fine Crushing Facilities,El Arco,"Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Mexico,
Mill Plant,"Mexico,Peru,Santa Barbara,El Arco Mill,El Pilar,Pilares Mill,Cuajone,Toquepala,Buenavista Mill,La Caridad Mill,El Pilar Property,La Caridad Metallurgical Complex",Recursos Stingray de Cobre S.A de C.V,"Copper,Molybdenum,Gold,Silver","Mexico,Peru",
Mill Section,"Concentrator Plant,Santa Barbara,El Arco Mill,El Pilar,Pilares Mill,Cuajone,Toquepala,Buenavista Mill,La Caridad Mill,El Pilar Property",Recursos Stingray de Cobre S.A de C.V.,"Copper,Molybdenum",Peru,
Mill Sections,"Various Open-Pit And Underground Mine Sites,Santa Barbara,El Arco Mill,El Pilar,Pilares Mill,Cuajone,Toquepala,Buenavista Mill,La Caridad Mill,El Pilar Property","Minera Mexico,Recursos Stingray de Cobre S.A de C.V","Copper,Zinc,Lead,Molybdenum",Peru,
Mines,"Toquepala,La Caridad District,Sonora Basin And Range Province,Northern Mexico,Sierra Cobriza Area,West Of Nacozari,El Pilar - Sonora,Cuajone,Andes Mountains (Peru),Buenavista,Moquegua Region,Sombrerete Municipality,Toquepala,Cananea Mining District","Southern Copper Corporation,Minera Mexico,The Mexican government,IMMSA,Buenavista del Cobre S.A. de C.V,Tierra Group International,Grupo Mexico,Minera Coimolache,Apu Coropuna S.R.L.","Copper,Molybdenum,Silver,Lead,Zinc","Mexico,Peru",
Mineral Reserves,"Cuajone,Andes Mountains,Southern Peru",,"Copper,Molybdenum",Peru,
Molybdenum Concentrates,"Peru,Buenavista","SPCC Peru Branch,Southern Copper Corporation,Buenavista Unit,Asarco LLC","Molybdenum,Copper",Peru,
Molybdenum Recovery Plant,"La Caridad Mine,Buenavista",Southern Copper Corporation,"Molybdenum,Copper",,
Monitoring Wells,"Downstream From The Curtain Of The Contingency Dam,ProaÃÂ±o Area,Buenavista","BVC,IMMSA,Southern Copper Corporation",Water,Mexico,
Nine Refineries,"Peru,Mexico","Southern Copper Corporation,Minera Mexico","Copper,Silver,Gold,Molybdenum","Peru,Mexico",
Open Pits,"La Tapada,Tia Maria,Toquepala Mine,Toquepala",,Copper,Peru,
Open-Pit Mine,"Mexico,USA,Peru,Brazil,Chile,Cuajone (Peru),Andes Range in Southern Peru,El Arco,Buenavista,Toquepala,Southern Peru,150 Km by Road from Tacna City,30 Kilometers from Cuajone,La Caridad,La Caridad Mine,Coahuila,Outskirts of Nueva Rosita near Texas Border,Baja California,Apurimac,Cajamarca,La Caridad Complex,Andes Mountains","IMMSA,Peruvian Corporate,Southern Copper Corporation,Agrarian Cooperatives Ejidos,Minera Mexico,Grupo Mexico S.A.B. De C.V.,SPCC Peru Branch","Copper,Copper Ore,Molybdenum Ore,Coal,Molybdenum,Gold,Silver,Zinc,Lead,Minerals","Mexico,USA,Peru,Brazil,Chile","California,Texas"
Ore,"Peru,Mexico","Southern Copper Corporation,Minera Mexico,S.A. de C.V.","Copper,Molybdenum,Zinc,Silver,Gold,Lead","Peru,Mexico",
Overland Conveyor Belt,Toquepala Mine,,Copper,Peru,
Oxygen Plants,"La Caridad Smelter Plant,La Caridad Complex,Peru,Central Mexico","OMIMSA I,OMIMSA II,IMMSA,Southern Copper Corporation,IMMSA","Silver,Gold,Lead,Zinc,Copper,Oxygen","Peru,Mexico",
Oxygen Plants,Smelter,,Oxygen,,
Peruvian Mines And Facilities,"Peru,Toquepala,La Caridad,Buenavista",Southern Copper Corporation,"Copper,Molybdenum,Minerals","Peru,Mexico",
Pilares,"Pilares,Sonora,Mexico","Southern Copper Corporation,Recursos Stingray de Cobre S.A de C.V","Copper,Silver",Mexico,
Plant III,Buenavista Mine,,Copper,Mexico,
Poly-Metallic Mines,Peru,Southern Copper Corporation,Molybdenum,Peru,
Power Generating Facilities,"Peru,Mexico",Southern Copper Corporation,"Electricity,Energy","Peru,Mexico",
Power Supply Transformers,"Electrical Substations,Mining Operation",,Electricity,,
Power Turbine,"La Caridad,La Caridad Complex","OMIMSA I,OMIMSA II,IMMSA",Electricity,Mexico,
Precious Metal Plant,"Ilo Refinery,La Caridad Complex,La Caridad,Mexico",,"Silver,Gold,Copper,Precious Metals","Mexico,Peru",
Precious Metals Refinery,"La Caridad,Mexico",,"Precious Metals,Copper,Gold,Silver,Copper Concentrates",Mexico,
Primary Crushers,"Various open-pit and underground mine sites,concentrator plant,Toquepala Mine",Minera Mexico,"Copper,Zinc,Lead,Copper",Peru,
Processing Facility,"Toquepala,Peru; Cananea Mining District,Sonora,Mexico;  La Caridad Operations","Southern Copper Corporation,Minera Mexico","Copper,Silver,Gold,Molybdenum,Zinc,Fuel,Electricity,Water,Copper Concentrate","Peru,Mexico",
Property,"Buenavista,Peru","Anaconda Company,Southern Copper Corporation,Minera Mexico","Copper,Silver,Gold,Lead,Zinc",Peru,
Quebrada Honda,"Peru,Quebrada Honda,Toquepala Mine,Tacna","Southern Copper Corporation,Tierra Group International","Copper,Water",Peru,
Quebrada Honda Radar System,Quebrada Honda Tailings Dam,,,Chile,
Radars,"Quebrada Honda Tailings Dam,Toquepala Mine,La Caridad",,,"Peru,Mexico",
Reactors,"La Caridad,La Caridad Complex","OMIMSA I,OMIMSA II,IMMSA","Gold,Silver",Mexico,
Refinery and Metallurgical Plants,Mexico,"Southern Copper Corporation,Golder Associates USA Inc","Silver,Gold,Lead,Zinc,Copper",Mexico,
Reverberatory Furnaces,Smelter,,"Copper,Copper Matte",,
Reverse Circulation Rigs,,,Copper,,
Roaster,San Luis Potosi,Southern Copper Corporation,"Zinc,Gold,Lead,Copper,Silver",Mexico,
Roasting Ovens,,,Zinc,,
Rod Plant,"La Caridad Complex,Mexico",,"Copper,Molybdenum,Zinc,Silver,Gold,Lead,Copper Concentrates",Mexico,
Rotary Holding Furnaces,"Smelter,Ilo",Southern Copper Corporation,"Copper Matte,Copper Concentrate",,
Rotating Crushers,Toquepala Mine,,Copper,Peru,
San Antonio Mine,"Santa Eulalia,Atacama  Region",Southern Copper Corporation,"Lead,Zinc,Copper,Gold,Silver",Mexico,
San Diego Facility,Santa Barbara Mining Complex,IMMSA,"Lead,Copper,Zinc",Mexico,
San Luis Potosi Electrolytic Zinc Refinery,"San Luis Potosi,Peru",Southern Copper Corporation,"Zinc,Gold,Lead,Copper,Cadmium",Peru,
San Martin Mine,"Central Mesa Of Mexico,Sombrerete Municipality,Zacatecas,San Martin",Southern Copper Corporation,"Silver,Copper,Lead,Zinc",Mexico,
Santa Barbara Mine,Mexico,Southern Copper Corporation,"Silver,Copper",Mexico,
Scrubbing Technology,Mexico,Southern Copper Corporation,Minerals,Mexico,
Segovedad Mine,Santa Barbara Mining Complex,IMMSA,"Lead,Copper,Zinc",Mexico,
Seismic Refraction Equipment,,,"Copper,Molybdenum",,
Several Industrial Processing Facilities,"Mexico,Peru,Cananea Mining District,Sonora,La Caridad Operations","Southern Copper Corporation,Minera Mexico,IMMSA","Molybdenum,Zinc,Silver,Copper,Gold,Copper Concentrate,Lead","Mexico,Peru",
Slag Cleaning Furnaces,"Smelter,Ilo",,,,
Slime Treatment Plant,La Caridad Complex,"OMIMSA I,OMIMSA II,IMMSA",Copper,Mexico,
Smelter,"Ilo Smelter Plant,La Caridad Complex,Ilo","Southern Copper Corporation,OMIMSA I,OMIMSA II,IMMSA","Copper,Molybdenum,Zinc,Silver,Gold,Lead","Mexico,Peru",
SSR-FX Radar,La Caridad Mine,Southern Copper Corporation,,Mexico,
Steam Dryer,"La Caridad,La Caridad Complex","OMIMSA I,OMIMSA II,IMMSA",,Mexico,
Steam Recovery Boiler,San Luis PotosÃÂ­,Southern Copper Corporation,"Zinc,Gold,Lead,Copper,Silver",Mexico,
Sub-Horizontal Drains,"Toquepala Pit,Toquepala Mine,Toquepala",,Copper,Peru,
sulphur Dioxide Emissions Treatment Facilities,Mexican Plants,Southern Copper Corporation,,Mexico,
Support Facilities,"Mexico,Cananea Mining District,Sonora","Southern Copper Corporation,Minera Mexico",Copper,Mexico,
Buenavista Mining Complex,"Mexico,Peru,Toquepala",Private Ownership,"Copper,Gold,Lead,Molybdenum,Silver,Zinc","Mexico,Peru",
Tailings Storage Facility,"Quebrada Honda Dam,La Caridad Mine,El Arco,Quebrada Honda",,"Copper,Molybdenum",Mexico,
Tantahuatay Mine,Peru,,Minerals,Peru,
Taxco Mine,"Taxco,Mexico",Southern Copper Corporation,"Copper,Minerals",Mexico,
Temporary Ore Stockpile,El Arco,"Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Mexico,
Thickener,Toquepala,Southern Copper Corporation,"Molybdenum,Copper",Peru,
Three Deep Wells,"ProaÃÂÃÂ±o Area,Buenavista",IMMSA,"Lead,Copper,Zinc,Silver,Water",Mexico,
Tia Maria Mine,"Islay Province,Tia Maria,Arequipa,Pampa Cachendo Area,Tia Maria Project",Southern Copper Corporation,"Copper,Gold,Lead,Zinc",Peru,
Toquepala Open Pit Mine (Concentrator I+II),"Toquepala (Peru),Cuajone (Peru),Andes Range in Southern Peru,El Arco,Buenavista,La Caridad,Coahuila,Baja California,Apurimac,Cajamarca","Southern Copper Corporation,Minera Mexico,Grupo Mexico S.A.B. de C.V.,SPCC Peru Branch 


Let me know when you're ready for the next cell!","Copper,Gold,Lead,Silver,Molybdenum","Peru,Mexico",California
Truck Shop And Warehouse,El Arco,"Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Mexico,
Trucks,"Buenavista,Between La Caridad Complex And Mines,Mine Pit","Buenavista Unit,Southern Copper Corporation","Copper,Copper Concentrates,Copper Ore",Mexico,
Two Operating SX-EW Plants,"Buenavista,Peru and Mexico; Cananea Mining District,Sonora,Mexico","Minera Mexico,Grupo Mexico S.A.B. de C.V.,Southern Copper Corporation,S.A. de C.V.","Copper,Molybdenum,Zinc,Silver,Gold,Lead","Peru,Mexico",
Two Waste Rock Storage Facilities,El Arco Mine Pit,"Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Chile,
Underground Coal Mine,"Coahuila,Mexico; Sombrerete municipality,Zacatecas","Anaconda Company,Southern Copper Corporation,Minera Mexico","Coal,Lead,Copper,Zinc,Silver",Mexico,
Vina Blanca Water Reservoir Facilities,Peru,Southern Copper Corporation,,Peru,
Water Recovery Systems,Peru,Southern Copper Corporation,,Peru,
Water Sources,"Toquepala And Cuajone,Peru",Southern Copper Corporation,Water,Peru,
Sonic Perforations,Toquepala Mine,,,Peru,
Vibrating Wire Piezometers,Toquepala Mine,,,Peru,
Diamond Drill Holes,Toquepala Mine,,,Peru,
geotechnical drills,Toquepala Mine,,,Peru,
Port Facility in Ilo,"City of Ilo,Peru","Southern Copper Corporation,Grupo Mexico",Copper,Peru,
"Roads 




Let me know when you'd like to process another cell!","Michiquillay Rural Community,EncaÃÂ±ada Rural Community",Southern Copper Corporation,"Copper,Molybdenum,Gold",Peru,
BVC Pit Area,,Minera Mexico,Copper,,
Buenavista Zinc (BVZ) Pit Area,,Minera Mexico,"Zinc,Copper",,
Molybdenum Plants,"Peru,Central And Northern Mexico,Buenavista,Cananea Mining District,Sonora","Minera Mexico,Southern Copper Corporation,IMMSA","Molybdenum,Copper,Electricity","Peru,Mexico",
Power Pipelines,,Minera Mexico,,,
Electrowinning Cells (Plant II),"Buenavista,Buenavista Mine",Buenavista Unit,Copper,Mexico,
sulphide Mill,"Central And Northern Mexico,Santa Barbara,El Arco Mill,El Pilar,Pilares Mill,Cuajone,Toquepala,Buenavista Mill,La Caridad Mill,El Pilar Property,Western Cordillera Of The Andes In Northwest Peru","IMMSA,Recursos Stingray de Cobre S.A de C.V.","Copper,Molybdenum","Mexico,Peru",
Coke Facility,"Coahuila,Mexico",Southern Copper Corporation,Coke,Mexico,
Sonora River Water Restitution System In Moritas Basin,"Mexican Projects,Sonora River Basin",Southern Copper Corporation,"Copper,Water",Mexico,
Off-Road Facility,La Caridad 91 Copper Concentrator,Southern Copper Corporation,Ore,Mexico,
Peruvian Open-Pit Operations,"Peru,Andes Range,El Arco,Buenavista,La Caridad,Apurimac,Cajamarca",,"Copper,Gold,Lead,Molybdenum,Silver,Zinc",Peru,
Mine Development Areas,"Peru,Mexico",Southern Copper Corporation,Copper,"Peru,Mexico",
Tailings Impoundments,,Southern Copper Corporation  ownership,"Copper,Zinc,Other Metals",,
Underground Crusher Station,Underground Mine,,"Copper,Zinc,Lead",,
Gyratory Crushers,"Concentrator Plant,Toquepala Mine",,"Copper,Copper Ore",Peru,
Blister Copper Cakes,"Smelter,Ilo",Southern Copper Corporation,Copper,Peru,
Casting Machine,Copper Rod Plant,,Copper,,
Rolling Mill,"Copper Rod Plant,Santa Barbara,El Arco Mill,El Pilar,Pilares Mill,Cuajone,Toquepala,Buenavista Mill,La Caridad Mill,El Pilar Property,Ilo",,"Copper,Molybdenum","Peru,Mexico",
Transmission Lines,"Cuajone Area,Peru",Southern Copper Corporation,Electricity,Peru,
Spur Railway,"Toquepala,Cuajone",Southern Copper Corporation,,Peru,
Sea Water Intake,Ilo Smelter Plant,Southern Copper Corporation,,Peru,
Desalination Plants,"Ilo Smelter Plant,Peru,Mexico",Southern Copper Corporation,"Desalinated Water,Copper","Peru,Mexico",
Radar System,Buenavista Mine,,,Mexico,
Leach Pad Or Concentrator,"La Caridad Mine,El Pilar Property","Southern Copper Corporation,Recursos Stingray de Cobre S.A de C.V","Ore,Copper",Mexico,
Modernized 21 Ovens Coke Facility,"Coahuila,Mexico",Southern Copper Corporation,Coke,Mexico,
Santa Eulalia Mine,Atacama Region,,Sulphur,Chile,
Campo Medio Area,Atacama Region,,,Chile,
El Salado (Montonero) Mine,Atacama Region,,"Copper,Molybdenum",Chile,
Taruca Prospect,"Atacama Region,Province of Huasco",,Copper,Chile,
Pajonal Prospect,Atacama Region,,,Chile,
"Ruta Del Cobre (""Copper Road"") Project","West of Cuenca City,South of Guayaquil",,"Copper,Molybdenum",Ecuador,
Cerro La Mina Prospect,Rio Negro Province,,,Argentina,
Tanque Negro Prospect,Rio Negro Province,,,Argentina,
La Hoyada Prospect,Catamarca,,,Argentina,
La Chilena Prospect,Catamarca,,,Argentina,
SX-EW Facilities  of The Caridad Operation,"Sonora,Mexico",Southern Copper Corporation,Copper,Mexico,
Maritime Terminal Of Guaymas,Guaymas,Southern Copper Corporation,Copper,Mexico,
Metallurgical Plant Complex In Sonora,"Sonora,Peru",Southern Copper Corporation,Copper,Peru,
Wastewater Treatment Plant,Ilo Province,Southern Copper Corporation,,Peru,
Contingency Dam Curtain,Sonora River Basin,BVC,Water,Mexico,
Windfarm,"Oaxaca,Mexico","Mexico Generadora De Energia Eolica,S. De R.L. De C.V.",Energy,Mexico,
Hydro-Generating Facilities,Cuajone,Southern Copper Corporation,Electricity,Peru,
Desalination Plants,"Ilo,Peru; Central And Northern Mexico",Southern Copper Corporation,"Water,Copper,Electricity","Peru,Mexico",
Locumba River Surface Water Permit,"Locumba,Ite",Southern Copper Corporation,,Peru,
La Angostura Dam,"Near The Mine And Plants,Quebrada Honda,Sonora River Basin",,Water,Mexico,
Power Plants,"Mexico,Peru,Central and Northern Mexico","MGE (Grupo Mexico Subsidiary),Southern Copper Corporation,IMMSA","Electricity,Copper","Mexico,Peru",
Pipeline,"Between Douglas,Arizona and Nacozari,Sonora",Southern Copper Corporation,Natural Gas,"USA,Mexico",Arizona
"Equipment,Geotechnical Instrumentation","Toquepala Mine,Quebrada Honda",Inersia Company,,Peru,
Production Control Section,Ilo Refinery,Southern Copper Corporation,Copper,Peru,
