physical asset,location,ownership,commodity,Countries,USA states
Operations,"Gulf Of Mexico, South Texas, DJ Basin","Occidental Petroleum Corporation,OxyChem","Oil, Gas, Chemicals Derived From Oil And Gas",USA,Texas
Permian Basin,"USA, Permian Basin",Occidental Petroleum Corporation,"Oil, Natural Gas",USA,
Platforms,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Crude Oil, Natural Gas","USA, Mexico",
Power Generation Facility,"Texas, Louisiana","Third Parties, Occidental Petroleum Corporation","Natural Gas, Electricity, Steam",USA,"Louisiana, Texas"
Pressure-Maintenance Projects,"USA,International",Occidental Petroleum Corporation,"Oil, Natural Gas",USA,
"Property, Plant And Equipment","USA, UAE, Oman, Algeria, Colombia, Qatar, Middle East and North Africa, Latin America, Permian Basin, DJ Basin, Countries outside North America",Occidental Petroleum Corporation,"Oil, Natural Gas, Chemical Products","USA, UAE, Oman, Algeria, Colombia, Qatar, Middle East",
Properties ,"USA, Permian Basin, International, Algeria",Occidental Petroleum Corporation,"Oil, Natural Gas","USA, Algeria",
Real Estate,,Occidental Petroleum Corporation,"Oil, Gas",,
Receiving Facilities,UAE,Delaware Owned,Natural Gas,UAE,
Refinery,"Oklahoma, Louisiana","Third Parties, Occidental Petroleum Corporation","Natural Gas,Petroleum Refining,Oil Refining",USA,"Louisiana, Oklahoma"
Secondary And Tertiary Projects ,International Assets,Occidental Petroleum Corporation,,,
Sequestration Hubs,"Louisiana, Texas","OLCV, 1pointfive","Carbon, Carbon Sequestration",USA,"Louisiana, Texas"
Sour Gas Processing Facilities,"Al Hosn Gas, UAE","Occidental Petroleum Corporation, Al Hosn Gas","Natural Gas, Natural Gas Liquid, Condensate, Sulfur",UAE,
Well Pads,"Permian Basin, Colorado Eastern Plains",Occidental Petroleum Corporation,"Oil, Gas",USA,Colorado
Wells,"Gulf Of Mexico, DJ Basin, Algeria, Oman, UAE, USA, Middle East And North Africa",Occidental Petroleum Corporation,"Oil, Gas, Hydrocarbons, Condensate","Algeria, Oman, UAE, USA, Middle East",
Deep Disposal Wells,Texas,Occidental Petroleum Corporation,Water,USA,Texas
Central Water Treatment And Recycling Facilities,Texas,Occidental Petroleum Corporation,Produced Water,USA,Texas
Co Producing Wells And Facilities,,Occidental Petroleum Corporation,"Cobalt, Oil",,
Seismic Data Systems,,Occidental Petroleum Corporation,"Oil, Natural Gas",,
drilling equipment,"International, North Africa, INatural Gas Liquideside Facility, DJ Basin, Algeria, Permian Basin, Gulf Coast, USA, Oman, West Virginia, Gulf of Mexico, Rockies","Occidental Petroleum Corporation, OxyChem","Oil, Natural Gas, Chemicals, Power, Condensate","Algeria, USA, Oman","Virginia, West Virginia"
Land,"Gulf Of Mexico, Permian Basin, DJ Basin, United Arab Emirates, Oman, Algeria",Occidental Petroleum Corporation,"Oil, Natural Gas","United Arab Emirates, Oman, Algeria",
Environmental Remediation Sites,"NPL sites, third-party sites, Occidental-operated sites, Diamond Alkali Superfund Site, Passaic River, Newark Bay, New Jersey chrome site, Tennessee copper mining and smelting operation, California oil field, Louisiana refinery, Colorado oil and gas operations, Kansas chemical plants, Louisiana chemical plants, Texas chemical plants, Western New York landfill, Oklahoma former refinery, California former chemical plants, Delaware Ownedaware former chemical plants, Michigan former chemical plants, New York former chemical plants, Ohio former chemical plants, Tennessee former chemical plants, Washington former chemical plants, Pennsylvania closed coal mine","Occidental Petroleum Corporation, Maxus, EPA",,USA,"California, Colorado, Delaware, Kansas, Louisiana, Michigan, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Tennessee, Texas, Washington"
"Mineral Acres [and Fee Surface Acres] Located In Wyoming, Colorado And Utah","Wyoming, Colorado, Utah",Occidental Petroleum Corporation,"Oil, Natural Gas, Natural Gas Liquid",USA,"Colorado, Utah, Wyoming"
landfill,Western New York,Occidental Petroleum Corporation,,USA,New York
Coal Mine,Pennsylvania,Occidental Petroleum Corporation,Coal  mining,USA,Pennsylvania
Zero-Emission Natural Gas Generation Demonstration Facility,Texas,Occidental Petroleum Corporation,Electricity,USA,Texas
Drilling Locations,DJ Basin,Occidental Petroleum Corporation,"Oil, Gas","USA,  Mexico",
Facilities ,"UAE, Oman, Midland, Gulf Coast, Texas, New Mexico, Colorado, Algeria",Occidental Petroleum Corporation,"Oil, Natural Gas","UAE, Oman, USA, Algeria","Colorado, New Mexico, Texas"
Leased Crude Storage Capacity,Midland to Gulf Coast,Occidental Petroleum Corporation,Crude Oil,USA,
DAC Facility,,OLCV,Carbon,,
Aircraft,,Occidental Petroleum Corporation,"Oil, Gas",,
Third-Party Sites,A Chrome Site in New Jersey,Occidental Petroleum Corporation,Chromium,USA,New Jersey
Currently Operated Sites,Oil And Gas Operations In Colorado,Occidental Petroleum Corporation,"Oil, Gas",USA,Colorado
Closed Or Non-Operated Sites,Former Refinery in Oklahoma,Occidental Petroleum Corporation,Oil Refining,USA,Oklahoma
"Occidental's First Large-Scale Dac Facility In Ector County, Texas  [Physical Asset]","Ector County, Texas",Occidental Petroleum Corporation,Carbon Dioxide,USA,Texas
Processing Facility,"UAE, Al Hosn  Gas","Occidental Petroleum Corporation, Al Hosn Gas","Natural Gas, Sulfur",UAE,
Class VI CO2 Sequestration Wells  ,"Louisiana, Texas",OnePointFive,Carbon Storage,USA,"Louisiana, Texas"
Electric Generating Units,USA,,Electricity Generation,USA,
Property And Equipment Owned By Third Parties,Coastal Operations,"Third Parties, Occidental Petroleum Corporation","Oil, Natural Gas, Chemical Products",,
Exploration Assets,,Occidental Petroleum Corporation,"Oil, Natural Gas Liquid, Natural Gas",,
Deep-Water Exploration Locations,"Gulf Of Mexico, International Deep-Water Locations",Occidental Subsidiaries,Oil,"USA, Mexico",
High Return Upstream Assets (physical assets),"Permian, Rockies, Gulf Of Mexico, Oman, UAE",Occidental Petroleum Corporation,"Oil, Natural Gas, Chemical Products","USA, Oman, United Arab Emirates",
Deep-water floating platforms,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Gas","USA, Mexico",
Helicopter Bases,Louisiana,Occidental Petroleum Corporation,"Oil, Gas",USA,Louisiana
Central Logistics Base,"Broussard, Louisiana",Occidental Petroleum Corporation,"Oil,Gas",USA,Louisiana
Integrated Training Center,"Broussard, Louisiana",Occidental Petroleum Corporation,"Oil, Gas",USA,Louisiana
platform rig,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Gas","USA, Mexico",
service rigs,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Gas","USA, Mexico",
Drillships,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Gas","USA, Mexico",
Powder River Basin,Powder River Basin,Occidental Petroleum Corporation,Natural Gas,USA,
Oil & Gas Producing Properties,"South Africa, USA, Canada, Middle East, North Africa, North America",Occidental Petroleum Corporation,"Oil, Gas, Natural Gas","South Africa, USA, Canada, Middle East",
railcars,,Occidental Petroleum Corporation,"Oil, Gas",,
Marine Transportation Vessels,,Occidental Petroleum Corporation,"Oil, Gas",,
Former Diamond Alkali Plant ,,Maxus And Its Affiliates,Environmental Remediation,,
Landfill (in Western New York),Western New York,,Waste Disposal ,USA,New York
Former Chemical Plants,"California, Michigan, Ohio, Tennessee, Washington",,Chemical Manufacturing,USA,"California, Michigan, Ohio, Tennessee, Washington"
Chrome Site (Physical Asset) In New Jersey,New Jersey,,"Mining, Chrome",USA,New Jersey
Former Copper Mine ,Tennessee,,"Copper, Mining, Smelting",USA,Tennessee
"former chemical plant, landfill ",California,,Chemical Manufacturing  Waste Disposal,USA,California
Chemical Plants ,"Kansas And Louisiana, California, Delaware Ownedaware, Michigan, New York, Ohio, Tennessee, Washington","OxyChem, Occidental Petroleum Corporation",Chemical Manufacturing,USA,"California, Delaware, Kansas, Louisiana, Michigan, New York, Ohio, Tennessee, Washington"
