physical asset,location,ownership,commodity,status,Countries
Suspended Exploratory Wells,"Delaware Basins, Canada, Alaska, Permian Basin, Delaware Basin, Midland Basin, Norway, Malaysia, Libya, Australia West, Colombia, Central Louisiana, Wind River Basin, Madden Field, Lost Cabin Gas Plant, USA, Australia, China, Qatar, Lower 48, Europe, Middle East and North Africa, Asia Pacific/Middle East, Montney, Africa, Other Areas","ConocoPhillips,Origin Energy Limited, China Petrochemical Corporation (Sinopec), Shell, Concho, Equity Affiliates","Oil, Gas, Natural Gas, CBM, Crude Oil, Bitumen, Liquified Natural Gas , Natural Gas Liquids","End-Of-Life, Under Construction, Operational, Operational, Operational/End-Of-Life, Productive, In Progress, Active Completion, Dry, Exploratory, Development","Canada, Australia, Colombia, Libya, Malaysia, Norway, China, Qatar, USA"
Tangible Equipment,"Operational Sites Worldwide, Germany, USA, Permian, Africa, Europe, Lower 48, Asia Pacific/Middle East, China, Senegal, Alaska, Norway, Qatar, British Columbia, West Texas, Canada","ConocoPhillips, Shell, Concho, QatarEnergy","Oil, Gas, Liquified Natural Gas , Bitumen, Crude Oil, Natural Gas ","Operational,Under Construction,End-Of-Life","Canada, China, Germany, Norway, Qatar, Senegal, USA"
Terminalling Operations In The U.K.,United Kingdom,ConocoPhillips,"Crude Oil, Natural Gas Liquids, Natural Gas",Operational,United Kingdom
Terminals,,,"Oil, Gas",,
Tor II Redevelopment Project,Norway,ConocoPhillips,"Crude Oil, Natural Gas Liquids, Natural Gas",Operational,Norway
Transportation Operations,North America,ConocoPhillips,"Crude Oil, Natural Gas, Bitumen, Liquified Natural Gas , Natural Gas Liquids",Operational,
Tugboats,,ConocoPhillips,"Oil, Gas",Operational,
Two Frac Crews,"Delaware Basin, Midland Basin, Eagle Ford",ConocoPhillips,Oil,Operational,USA
"Two Offshore Platforms (Located Near Carpinteria, California)","Carpinteria, California",ConocoPhillips,"Natural Gas, Crude Oil",Under Construction,USA
Waddell Ranch Interests,Lower Permian Basin,ConocoPhillips,Oil,Operational,USA
water treatment facilities,Bowen And Surat Basins,"ConocoPhillips, Origin Energy Limited",Coal Bed Methane,Operational,Australia
Well Locations,Lower Permian Basin,"ConocoPhillips, Shell, Equity Affiliates","Crude Oil, Natural Gas, Natural Gas Liquids","Operational, Under Construction",USA
"well logs  



Let me know when you're ready for the next cell!",,ConocoPhillips,Crude Oil,,
Greater Point McIntyre Area Fields,Alaska,ConocoPhillips,"Crude Oil, Natural Gas, Natural Gas Liquids",Operational,USA
Alpine Field,Western North Slope,ConocoPhillips,"Crude Oil, Natural Gas, Natural Gas Liquids",Operational,USA
Nanuq Field,Western North Slope,ConocoPhillips,"Crude Oil, Natural Gas, Natural Gas Liquids",Operational,USA
Fiord Field,Western North Slope,ConocoPhillips,"Crude Oil, Natural Gas, Natural Gas Liquids",Operational,USA
Australia Pacific Liquified Natural Gas  Pty Ltd (Physical Asset),"Bowen And Surat Basins In Queensland, Australia","ConocoPhillips, Origin Energy Limited, China Petrochemical Corporation (Sinopec) ",Coal Bed Methane,Operational,Australia
Liquified Natural Gas  Trains,"Curtis Island near Gladstone, Queensland","ConocoPhillips, QatarEnergy",Liquified Natural Gas,Operational,Australia
Exploration Permit,"Otway Basin, Australia","ConocoPhillips, 3D Oil","Coal, Briquettes, Methanol",Pending Regulatory Approvals,Australia
Crude Oil Production Facilities,"USA, Canada, Asia, Africa, Europe, Alaska, Arctic Fields",ConocoPhillips,"Crude Oil, Bitumen, Liquified Natural Gas , Natural Gas, Natural Gas Liquids","Operational, Under Construction, New","Canada, USA"
Bitumen Production Facilities,"USA, Canada, Asia, Africa, Europe, Arctic Fields, Prudhoe Bay",ConocoPhillips,"Bitumen, Oil, Gas, Crude Oil","Operational, Under Construction","Canada, USA"
Natural Gas Liquids Production Facilities,"USA, Canada, Asia, Africa, Europe, Arctic Fields",ConocoPhillips,"Natural Gas Liquids, Oil, Gas, Crude Oil, Natural Gas 
","Operational, Under Construction","Canada, USA"
Liquified Natural Gas  Liquefaction Facilities,"Australia, Qatar",ConocoPhillips,Liquified Natural Gas,Operational,"Australia, Qatar"
Well Containment Equipment And Technology,USA Gulf Of Mexico,Marine Well Containment Company (MWCC),"Natural Gas, Crude Oil, Bitumen",Operational,"Mexico, USA"
Subsea Well-Control Equipment,Global,"Oil Spill Response Limited (OSRL), Subsea Well Intervention Service (SWIS)","Natural Gas, Crude Oil, Bitumen",Operational,
Carbon Dioxide Storage Sites,USA Gulf Coast,ConocoPhillips,Carbon Dioxide Sequestration,Under Construction,USA
teesside oil terminal,Teesside,ConocoPhillips,Oil,Operational,United Kingdom
Compression Facilities,,ConocoPhillips,"Crude Oil, Bitumen, Liquified Natural Gas , Natural Gas, Natural Gas Liquids",Operational,
Willow,Alaska,ConocoPhillips,"Oil, Natural Gas, Crude Oil","Under Construction,Operational",USA
Shell Permian Assets,Texas,ConocoPhillips,"Crude Oil, Natural Gas",Operational,USA
"Appraisal And Development Activities At Montney (Oil Sands), Optimization And Development Of Oil Sands [Physical Asset]",Canada,ConocoPhillips,"Oil, Oil Sands",Operational,Canada
Individually Significant Leaseholds,"Delaware And Midland Basins, Canada, Alaska, Permian Basin",ConocoPhillips,"Oil, Gas","Operational, Under Construction","Canada, USA"
APLiquified Natural Gas  Production And Pipeline System,"Bowen and Surat Basins, Ekofisk, Teesside, U.K., Bowen and Surat Basins, Queensland, Australia","Origin Energy Limited, ConocoPhillips,  Sinopec","Natural Gas, Crude Oil, Coal Bed Methane",Operational,Australia
Wind River Basin Operations Area,Lower,ConocoPhillips,Natural Gas,Operational,
Madden Field,Wind River Basin,ConocoPhillips,Natural Gas,Operational,USA
Lost Cabin Gas Plant,Wind River Basin,ConocoPhillips,Natural Gas,Operational,USA
Central Power Station,Prudhoe Bay,ConocoPhillips,,Operational,USA
Central Production Facilities,"Kuparuk, Arctic Fields, Prudhoe Bay, Colville River Unit, Prudhoe Bay Field, Alpine Field",ConocoPhillips,"Crude Oil, Natural Gas","Operational, Under Construction",USA
Rigs  (Drilling equipment for oil and gas extraction),"Colville River Unit, Delaware Basin, Midland Basin, Eagle Ford",ConocoPhillips,"Oil, Natural Gas",Operational,USA
Operations Center And Camp,Willow Project,ConocoPhillips,"Oil, Natural Gas",Under Construction,USA
Tankers,"Valdez, West Coast of the USA, St. Fergus, United Kingdom, Valdez, Alaska","Polar Tankers, Inc., ConocoPhillips","Oil, Crude Oil, Natural Gas",Operational,USA
condensate processing facilities,"Texas, New Mexico",ConocoPhillips ,"Natural Gas Liquids, Crude Oil, Bitumen, Liquified Natural Gas , Natural Gas",Operational,Mexico
Sage Pipeline (Pipeline),"Scottish Area Gas Evacuation (SAGE) Terminal at St. Fergus, United Kingdom, North Slope, Sabine Pass, Texas","ConocoPhillips, Trans-Alaska Pipeline System (TAPS), Golden Pass Pipeline","Natural Gas, Crude Oil",Operational,"United Kingdom, USA"
Kobra East And Gekko (Keg) Project,Norwegian Sector Of The North Sea,ConocoPhillips,Crude Oil,Operational,
Subsea Tieback To The Alvheim FPSO ,Norwegian Sector Of The North Sea,ConocoPhillips,Crude Oil,Operational,
Breidablikk Project,Norwegian Sector Of The North Sea,Partner-Operated,Crude Oil,Operational,
Exploration Well (on PL919),North Sea,Partner-Operated,Natural Gas,EndOfLife,
Warka Discovery Well on License PL1009,Norwegian Sea,ConocoPhillips,Natural Gas,Dry Hole,
"Crude Oil stabilization and Natural Gas Liquids processing facility (at Teesside, U.K.)","Teesside, UK",ConocoPhillips ,Crude Oil,Operational,United Kingdom
Tension Leg Platform,KBB Platform,ConocoPhillips,Oil,Operational,Malaysia
Pipes,KBB Platform,ConocoPhillips,Oil,Operational,Malaysia
Blocks (wl4),Salam And Benum Fields,ConocoPhillips,Oil,Under Construction,Malaysia
"Block [Sk304] 
","Sarawak Offshore, Malaysia",ConocoPhillips,"Oil 
",Under Construction,Malaysia
Block (Sb405),"Sabah Offshore, Malaysia",ConocoPhillips,Oil,Under Construction,Malaysia
Port Arthur Liquified Natural Gas  Project,Port Arthur,ConocoPhillips,Liquified Natural Gas ,Under Construction,Australia
Onshore facilities,USA,ConocoPhillips,Oil,Operational,USA
underground injection wells,USA,ConocoPhillips,,Operational,USA
Liquified Natural Gas  Project (Physical Asset),Qatar,"ConocoPhillips, QatarEnergy",Liquified Natural Gas,Operational,Qatar
[Asset Retirement Obligations (ARO)],Worldwide,ConocoPhillips,"Oil, Gas",Operational,
Plugging and Abandonment of Wells,Worldwide,ConocoPhillips,"Oil, Gas",EndOfLife,
BC Ferries,Lower,ConocoPhillips,Bitumen,Operational,
exploration leases,Alaska,ConocoPhillips,"Crude Oil, Natural Gas, Natural Gas Liquids",Under Development,USA
rotary-drilled wells,Kuparuk,ConocoPhillips,"Oil, Gas",Operational,USA
Horizontal Multi-Laterals [Facilities],Kuparuk,ConocoPhillips,"Oil, Gas",Operational,USA
Coiled-Tubing Drilling Rig,Western North Slope,ConocoPhillips,"Oil, Gas",Operational,USA
Conventional Rotary Rig,Western North Slope,ConocoPhillips,"Oil, Gas",Operational,USA
Extended Reach Drilling Rig,Western North Slope,ConocoPhillips,"Oil,Gas",Operational,USA
3D Seismic Survey [Physical Asset],State And Federal Lands,ConocoPhillips,"Oil, Gas",Completed,
Near Vertical Sidetrack Wellbore,"Coyote Brook  


",ConocoPhillips,"Oil, Gas",Under Construction,
One Rig (Drilling Platform),Bakken,Operated By ConocoPhillips,Oil,Operational,USA
One Frac Crew ,Bakken,Operated By ConocoPhillips,Oil,Operational,USA
Liquified Natural Gas  Carriers,Globally,QatarEnergy,Liquified Natural Gas,Operational,
gas treating facilities,Onshore,QatarEnergy,Liquified Natural Gas,Operational,
Oil Fields,"Corridor Block, South Sumatra",ConocoPhillips,"Crude Oil, Natural Gas",Operational,Indonesia
Grissik and Suban Gas Processing Plants,"Corridor Block, South Sumatra",ConocoPhillips,Natural Gas,Operational,Indonesia
Duri Steam Flood,Central Sumatra,ConocoPhillips,Natural Gas,Operational,Indonesia
Golden Pass Liquified Natural Gas  Terminal,"Lower Segment 


Let me know when you're ready for the next cell!",ConocoPhillips,,Sold,
Developed Properties ,Niobrara Asset,ConocoPhillips,"Oil, Gas",Operational,USA
