physical asset,location,ownership,commodity,Countries,status,USA states
Norway Assets ,Norway,ExxonMobil,LNG ,Norway,,
Oil And Gas Properties,,"ExxonMobil, Consolidated Subsidiaries, Equity Companies","Oil, Natural Gas, Crude Oil, Petroleum Products, Petrochemicals, Specialty Products, Carbon Capture, Hydrogen, Biofuels",,,
Permian Basin,Permian Basin,ExxonMobil,"Crude oil, Natural Gas, Petroleum, Petrochemical products",USA,,
Plant,"USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola, Golden Pass, Midland Basin","ExxonMobil,Pioneer Natural Resources Company","Crude oil, Natural Gas, Refined petroleum products","USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola ",,
Mozambique Project,Mozambique,ExxonMobil,"Oil, Natural Gas",Mozambique,,
Property,"USA, Canada, Europe, Africa, Asia, Australia, Singapore, United Kingdom, France, Italy, Belgium, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola, Midland Basin of West Texas","ExxonMobil, Consolidated Subsidiaries, Equity Companies, Pioneer Natural Resources Company","Oil, Natural Gas, LNG","USA, Canada, United Kingdom, France, Italy, Belgium, Kazakhstan, Singapore,  Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola",,Texas
railcars,Railways Networks,ExxonMobil,"Oil, Gas",,,
"Refining Technology 
",,ExxonMobil,Clean Fuels,,,
Research Laboratories,"Global, USA",ExxonMobil,"Technological Advancements, Energy, Petrochemicals, Carbon Capture And Storage, Hydrogen, Lower-Emission Fuels",USA,,
reservoirs,,ExxonMobil,Crude Oil,,,
"Two Manufacturing Sites in Pensacola, Florida and Newport, Wales","Pensacola, Florida; Newport, Wales",Celanese,,"USA, Wales",,Florida
Specialty Products,,ExxonMobil,,,,
Suspended Wells ,"USA, Canada, Europe, Africa, Asia, Australia","ExxonMobil,Equity Companies","Oil, Natural Gas, Crude Bitumen","USA, Canada",,
Synthetic Oil,"Asia, Africa","Equity Companies, Consolidated Subsidiaries, ExxonMobil","Oil, Synthetic Oil","Asia, Africa",,
tankers,"Implied By Use For Transportation Of Oil And Gas Products, Various Shipping Routes",ExxonMobil,"Oil And Gas Products, Transportation Of Crude Oil And Refined Products",,,
Upstream Assets In The United Kingdom Central And Northern North Sea  (Physical Asset),,"ExxonMobil, Neo Energy","Oil, Natural Gas",,,
"Upstream Property, Plant And Equipment (PP&E)","USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola, Midland Basin ","ExxonMobil, Pioneer Natural Resources Company","Oil, Natural Gas, LNG, Refinery Products, Crude Oil","USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola 


Let me know when you have another location!  ðºï¸",,
Wellbores,,ExxonMobil,Natural Gas Liquids,,,
exploration equipment,"Global,Canada,Guyana,Brazil,Europe,Cold Lake,USA,Middle East,Argentina,Asia,Permian Basin,United Kingdom,Canada/Other Americas,Kearl","ExxonMobil,Consolidated Subsidiaries,State-Owned Companies,Equity Companies,The Corporation","Crude oil, Natural Gas, Natural Gas Liquids, Synthetic Oil, Petroleum Products, Petrochemicals, Fuels, Aromatics, Catalysts And Licensing, Olefins, Polyolefins, Intermediates, Finished Lubricants, Basestocks And Waxes, Synthetics, Elastomers And Resins","Canada, Guyana, Brazil, USA, United Kingdom, Argentina, Middle East, Asia",,
Refineries,Global,ExxonMobil,Crude Oil,,,
Operations,Countries Where ExxonMobil Operates,ExxonMobil,"Oil, Gas",,,
Exploration Concessions,"Europe, Germany",Government,,Germany,,
Area,Mozambique,Government Of The Republic Of Mozambique Ministry Of Mineral Resources And Energy,Crude Oil,Mozambique,,
"Block A5-B, Block Z5-C, Block Z5-D ",Mozambique,Government Of The Republic Of Mozambique Ministry Of Mineral Resources And Energy,Crude Oil,Mozambique,,
Refinery Equipment,"Canada, Guyana, Brazil, Europe, Cold Lake, USA, Middle East, Argentina, Asia, Permian Basin, United Kingdom, Canada","ExxonMobil,Consolidated Subsidiaries,State-Owned Companies,Equity Companies,The Corporation,ExxonMobil Oil Corporation (EMOC)","Oil, Natural Gas, Natural Gas Liquids, Synthetic Oils, Hydrocarbon-based Energy Products, Crude Oil, Petroleum Products, Petrochemicals, Specialty Products, Carbon Capture, Hydrogen, Biofuels","Canada, Guyana, Brazil, USA, Argentina, United Kingdom , Middle East, Asia",,
Chemical Process Equipment,,"Exxonmobil, The Corporation","Chemicals,Natural Gas,Oil",,,
Lubricant Basestock Manufacturing Equipment,,ExxonMobil,"Oil, Natural Gas, Lubricants",,,
Service Station Buildings,,ExxonMobil,"Gasoline, Diesel, Oil",,,
Fixed Improvements,,ExxonMobil  Corporation,"Oil,Natural Gas",,,
Platform ,Africa,ExxonMobil,"Crude Oil, Natural Gas",,,
Moveable Equipment,"Canada, Guyana, Brazil, Europe, Cold Lake, USA, Middle East, Argentina, Asia, Permian Basin, United Kingdom, Canada  ","ExxonMobil,Consolidated Subsidiaries,State-Owned Companies,Equity Companies,The Corporation","Natural Gas, Natural Gas Liquids, Synthetic Oil, Oil, Hydrocarbon-Based Energy Products, Petroleum Products, Petrochemicals, Specialty Products, Carbon Capture, Hydrogen, Biofuels, Crude Oil","Canada, Guyana, Brazil, USA, Argentina, United Kingdom, Europe, Middle East, Asia",,
Manufacturing Plants,"USA, Global",ExxonMobil,"Petroleum Products, Petrochemicals, Specialty Products",USA,,
retail outlets,"USA, Most Other Countries Of The World",ExxonMobil,Petroleum Products,USA,,
Oil Reserves ,"USA, Africa","Exxonmobil, Subsidiaries, Equity Companies","Crude oil, Oil, Natural Gas, Petroleum Products, Petrochemicals, Specialty Products, Carbon Capture, Hydrogen, Biofuels",USA,,
Development Wells,"Kazakhstan, USA, Canada, Europe, Africa, Asia, Australia","ExxonMobil,Equity Companies","Crude oil, Natural Gas","Kazakhstan, USA, Canada",,
Qatar North Field East,Qatar,ExxonMobil,"Natural Gas, LNG",Qatar,,
South Floating LNG ,Mozambique,ExxonMobil,"Natural Gas, LNG",Mozambique,,
Papua New Guinea Expansion,Papua New Guinea,ExxonMobil,"Natural Gas, LNG",Papua New Guinea,,
Golden Pass LNG,USA Gulf Coast,ExxonMobil,"Natural Gas, LNG",USA,,
Dry Gas Assets,Africa,ExxonMobil,"Natural Gas, LNG",,,
"Refinery expansion in Beaumont, Texas","Beaumont, Texas",ExxonMobil,"Clean Fuels, Inputs To Atmospheric Distillation Units",USA,,Texas
"Chemical Complex 
",China,ExxonMobil,Chemicals,China,,
Productive Wells,"USA, Canada, Other Americas, Europe, Africa, Asia, Australia/Oceania, Guyana, Brazil, Kearl, Cold Lake","The Corporation, ExxonMobil, Equity Companies","Oil, Natural Gas, Crude Bitumen","USA, Canada, Guyana, Brazil",,
Exploratory Wells,"Angola, USA, Canada, Europe, Africa, Asia, Australia 
","ExxonMobil, Equity Companies","Oil, Natural Gas, Crude Bitumen","Angola, USA, Canada",,
Mobil Producing Nigeria Unlimited ,Nigeria,ExxonMobil,"Oil, Gas",Nigeria,,
Exploration Permits,"Commonwealth Waters, Australia",Australian Government,"Oil, Gas",Australia,,
Retention Leases ,"Commonwealth Waters, Australia",Australian Government,"Oil, Gas",Australia,,
Petroleum Prospecting Licenses,Papua New Guinea,,"Oil,Gas",Papua New Guinea,,
Laffan Refinery Process Unit,"Laffan Refinery, Qatar",ExxonMobil,,Qatar,,
Atmospheric Distillation Units,Gravenchon,ExxonMobil,,France,,
Operated Assets,"Permian Basin, Africa",ExxonMobil,"Oil, Natural Gas, Petroleum, Petrochemical Products, LNG",,,
"CO2 Pipelines
","USA Gulf Coast, Kazakhstan and Russia to the Black Sea","Denbury Inc., Caspian Pipeline Consortium (CPC)","Carbon Capture And Storage, Oil","USA, Kazakhstan, Russia",,
Industrial Complexes,USA Gulf Coast,Third-Party Customers,"Oil, Natural Gas, Petroleum, Petrochemical Products, Electricity",USA,,
Petrochemical Complex,"Dayawan Petrochemical Industrial Park, Huizhou, Guangdong Province, China",ExxonMobil,"Polyethylene,Polypropylene",China,,
joliet,Illinois,ExxonMobil,"fuels, lubricants and other products and feedstocks",USA,,Illinois
baton rouge,Louisiana,ExxonMobil,"fuels, lubricants and other products and feedstocks",USA,,Louisiana
billings,Montana,ExxonMobil,"fuels, lubricants and other products and feedstocks",USA,,Montana
baytown,Texas,ExxonMobil,"fuels, lubricants and other products and feedstocks",USA,,Texas
beaumont,Texas,ExxonMobil,"fuels, lubricants and other products and feedstocks",USA,,Texas
strathcona,Alberta,ExxonMobil,"fuels, lubricants and other products and feedstocks",Canada,,
nanticoke,Ontario,ExxonMobil,"fuels, lubricants and other products and feedstocks",Canada,,
sarnia,Ontario,ExxonMobil,"fuels, lubricants and other products and feedstocks",Canada,,
antwerp,Belgium,ExxonMobil,"fuels, lubricants and other products and feedstocks",Belgium,,
fos-sur-mer,France,ExxonMobil,"fuels, lubricants and other products and feedstocks",France,,
gravenchon,France,ExxonMobil,"fuels, lubricants and other products and feedstocks",France,,
karlsruhe,Germany,ExxonMobil,"fuels, lubricants and other products and feedstocks",Germany,,
trecate,Italy,ExxonMobil,"fuels, lubricants and other products and feedstocks",Italy,,
rotterdam,Netherlands,ExxonMobil,"fuels, lubricants and other products and feedstocks",Netherlands,,
fawley,United Kingdom,ExxonMobil,"fuels, lubricants and other products and feedstocks",United Kingdom,,
fujian,China,ExxonMobil,"fuels, lubricants and other products and feedstocks",China,,
jurong/pac,Singapore,ExxonMobil,"fuels, lubricants and other products and feedstocks",Singapore,,
yanbu,Saudi Arabia,ExxonMobil,"fuels, lubricants and other products and feedstocks",Saudi Arabia,,
