physical asset,location,ownership,commodity,Countries,status,USA states
Operated Assets,"Permian Basin,Africa",ExxonMobil,"Crude Oil,Natural Gas,Petroleum,Petrochemical Products,LNG",,,
CO2 Pipelines,"USA Gulf Coast,Kazakhstan and Russia to the Black Sea","Denbury Inc.,Caspian Pipeline Consortium (CPC)",Crude Oil,"USA,Kazakhstan,Russia",,
Industrial Complexes,USA Gulf Coast,,"Crude Oil,Natural Gas,Petroleum,Petrochemical Products,Electricity",USA,,
Petrochemical Complex,"Dayawan Petrochemical Industrial Park,Huizhou,Guangdong Province,China",ExxonMobil,"Polyethylene,Polypropylene",China,,
joliet refinery,Illinois,ExxonMobil,"Fuels,Lubricants,Feedstocks",USA,,Illinois
baton rouge refinery,Louisiana,ExxonMobil,"Fuels,Lubricants,Feedstocks",USA,,Louisiana
billings refinery,Montana,ExxonMobil,"Fuels,Lubricants,Feedstocks",USA,,Montana
baytown refinery,Texas,ExxonMobil,"Fuels,Lubricants,Feedstocks",USA,,Texas
beaumont refinery,Texas,ExxonMobil,"Fuels,Lubricants,Feedstocks",USA,,Texas
strathcona refinery,Alberta,ExxonMobil,"Fuels,Lubricants,Feedstocks",Canada,,
nanticoke refinery,Ontario,ExxonMobil,"Fuels,Lubricants,Feedstocks",Canada,,
sarnia refinery,Ontario,ExxonMobil,"Fuels,Lubricants,Feedstocks",Canada,,
antwerp refinery,Belgium,ExxonMobil,"Fuels,Lubricants,Feedstocks",Belgium,,
fos-sur-mer refinery,France,ExxonMobil,"Fuels,Lubricants,Feedstocks",France,,
gravenchon refinery,France,ExxonMobil,"Fuels,Lubricants,Feedstocks",France,,
karlsruhe refinery,Germany,ExxonMobil,"Fuels,Lubricants,Feedstocks",Germany,,
trecate refinery,Italy,ExxonMobil,"Fuels,Lubricants,Feedstocks",Italy,,
rotterdam refinery,Netherlands,ExxonMobil,"Fuels,Lubricants,Feedstocks",Netherlands,,
fawley refinery,United Kingdom,ExxonMobil,"Fuels,Lubricants,Feedstocks",United Kingdom,,
fujian refinery,China,ExxonMobil,"Fuels,Lubricants,Feedstocks",China,,
jurong/pac refinery,Singapore,ExxonMobil,"Fuels,Lubricants,Feedstocks",Singapore,,
yanbu refinery,Saudi Arabia,ExxonMobil,"Fuels,Lubricants,Feedstocks",Saudi Arabia,,
