Name,Asset Type,Location,Commodity,Operating Company,Status
Balancing item Australia Bauxite Mine,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Various,Normal Operation
Boffa,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Aluminium Corp of China Ltd,Normal Operation
Boke,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Compagnie des Bauxites de Guinee,Normal Operation
Balancing item France Bauxite Mine,Bauxite Mine (Aluminium),France,Aluminium / Primary Aluminium,Various,Normal Operation
Xuchang,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Mapai,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Guangxi Huayin Aluminum Co Ltd,Normal Operation
Balancing item Malaysia Bauxite Mine,Bauxite Mine (Aluminium),Malaysia,Aluminium / Primary Aluminium,Various,Normal Operation
Shanxi Other,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Pocos de Caldas,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Alcoa Corp,Normal Operation
Sredni Timan,Bauxite Mine (Aluminium),Russia,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Gongyi,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Indonesia Bauxite Mine,Bauxite Mine (Aluminium),Indonesia,Aluminium / Primary Aluminium,Various,Normal Operation
Somalu,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Anglo African Minerals Ltd,Feasibility
Juruti,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Alcoa Corp,Normal Operation
Balancing item Colombia Bauxite Mine,Bauxite Mine (Aluminium),Colombia,Aluminium / Primary Aluminium,Various,Normal Operation
Mortas/Dogankuzu,Bauxite Mine (Aluminium),Turkey,Aluminium / Primary Aluminium,Eti Holding AS,Normal Operation
Brazil Alumina,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,South32 Ltd,Normal Operation
Various Bauxite Mine,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Various,Normal Operation
Bel Air Phase II expansion,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Alufer Mining Ltd,Normal Operation
Toubal,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Anglo African Minerals Ltd,Normal Operation
Balancing item Tanzania Bauxite Mine,Bauxite Mine (Aluminium),Tanzania,Aluminium / Primary Aluminium,Various,Normal Operation
Khibinsky,Bauxite Mine (Aluminium),Russia,Aluminium / Primary Aluminium,Apatit Mining,Normal Operation
Adamawa,Bauxite Mine (Aluminium),Cameroon,Aluminium / Primary Aluminium,Cameroon Alumina Limited,Unknown
Jharkhand,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Hindalco Industries Ltd,Unknown
Awaso,Bauxite Mine (Aluminium),Ghana,Aluminium / Primary Aluminium,GHANA BAUXITE COMPANY LIMITED,Normal Operation
Malogorsk,Bauxite Mine (Aluminium),Russia,Aluminium / Primary Aluminium,Nadvoitsy,Unknown
Zunyi,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Tan Rai,Bauxite Mine (Aluminium),Vietnam,Aluminium / Primary Aluminium,Vinacomin,Normal Operation
Balancing item Ghana Bauxite Mine,Bauxite Mine (Aluminium),Ghana,Aluminium / Primary Aluminium,Various,Normal Operation
Balancing item Venezuela Bauxite Mine,Bauxite Mine (Aluminium),Venezuela,Aluminium / Primary Aluminium,Various,Normal Operation
Az Zabirah,Bauxite Mine (Aluminium),Saudi Arabia,Aluminium / Primary Aluminium,Saudi Arabian Mining Company SJSC,Normal Operation
Bauxite Hills stage II expansion,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Metro Mining Ltd,Normal Operation
Delphes & Distomo,Bauxite Mine (Aluminium),Greece,Aluminium / Primary Aluminium,Aluminium of Greece SA,Normal Operation
Balancing item Unites States of America,Bauxite Mine (Aluminium),United States,Aluminium / Primary Aluminium,Various,Normal Operation
Kwakwani,Bauxite Mine (Aluminium),Guyana,Aluminium / Primary Aluminium,Bauxite Co Of Guyana Inc,Unknown
Niksic,Bauxite Mine (Aluminium),Serbia,Aluminium / Primary Aluminium,Rudnik Boksita Niksic,Unknown
Balancing item Russia Bauxite Mine,Bauxite Mine (Aluminium),Russia,Aluminium / Primary Aluminium,Various,Normal Operation
Al Ba’itha,Bauxite Mine (Aluminium),Saudi Arabia,Aluminium / Primary Aluminium,Saudi Arabian Mining Company SJSC,Normal Operation
Panchpatmali,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,NALCO,Normal Operation
Balancing item Mozambique Bauxite Mine,Bauxite Mine (Aluminium),Mozambique,Aluminium / Primary Aluminium,Various,Normal Operation
Forward Africa Resources (FAR),Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Anglo African Minerals Ltd,Normal Operation
Zeylik,Bauxite Mine (Aluminium),Azerbaijan,Aluminium / Primary Aluminium,Azeralyuminy,Unknown
Minim Martap,Bauxite Mine (Aluminium),Cameroon,Aluminium / Primary Aluminium,Camalco SA,Normal Operation
Weipa,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Rio Tinto PLC,Normal Operation
Friguia,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Alpart,Bauxite Mine (Aluminium),Jamaica,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Jajarm,Bauxite Mine (Aluminium),Iran,Aluminium / Primary Aluminium,Iranian Aluminium Co,Unknown
Balancing item Saudi Arabia Bauxite Mine,Bauxite Mine (Aluminium),Saudi Arabia,Aluminium / Primary Aluminium,Various,Normal Operation
Olmedo,Bauxite Mine (Aluminium),Italy,Aluminium / Primary Aluminium,Sardabauxiti SpA,Unknown
Huaxing,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Trombetas,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Mineracao Rio do Norte SA,Normal Operation
Lohardaga,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Hindalco Industries Ltd,Unknown
Balancing item Solomon Islands Bauxite Mine,Bauxite Mine (Aluminium),Solomon Islands,Aluminium / Primary Aluminium,Various,Normal Operation
Willowdale,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Alcoa World Alumina LLC,Normal Operation
Balancing item China Bauxite Mine,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Various,Normal Operation
Kindia,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Mokanji,Bauxite Mine (Aluminium),Sierra Leone,Aluminium / Primary Aluminium,Vimetco NV,Normal Operation
Xinmi,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Hungary Bauxite Mine,Bauxite Mine (Aluminium),Hungary,Aluminium / Primary Aluminium,Various,Normal Operation
Luoyang,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Iran Bauxite Mine,Bauxite Mine (Aluminium),Iran,Aluminium / Primary Aluminium,Various,Normal Operation
Tambang Bauksit,Bauxite Mine (Aluminium),Indonesia,Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Krasnoctyabrsky,Bauxite Mine (Aluminium),Kazakhstan,Aluminium / Primary Aluminium,Alyuminiy Kazakhstana AO,Normal Operation
Bauxite Hills,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Metro Mining Ltd,Normal Operation
North Urals,Bauxite Mine (Aluminium),Russia,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Bonasika,Bauxite Mine (Aluminium),Guyana,Aluminium / Primary Aluminium,First Bauxite Corp,Normal Operation
Dian Dian,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Compagnie des Bauxites de Dian-Dian,Normal Operation
Balancing item Kazakhstan Bauxite Mine,Bauxite Mine (Aluminium),Kazakhstan,Aluminium / Primary Aluminium,Various,Normal Operation
Los Pijiguaos,Bauxite Mine (Aluminium),Venezuela,Aluminium / Primary Aluminium,CVG Bauxilum CA,Unknown
Balancing item Greece Bauxite Mine,Bauxite Mine (Aluminium),Greece,Aluminium / Primary Aluminium,Various,Normal Operation
Xiaoguan,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Sanmenxia,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item India Bauxite Mine,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Various,Normal Operation
PT KALMIN,Bauxite Mine (Aluminium),Indonesia,Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Care and Maintenance
Balancing item Pakistan Bauxite Mine,Bauxite Mine (Aluminium),Pakistan,Aluminium / Primary Aluminium,Various,Normal Operation
Linden,Bauxite Mine (Aluminium),Guyana,Aluminium / Primary Aluminium,Omai Bauxite Mining Inc,Unknown
Bakonyi,Bauxite Mine (Aluminium),Hungary,Aluminium / Primary Aluminium,Bakonyi Bauxitbanya Kft,Normal Operation
Labe,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Alufer Mining Ltd,Conceptual project
Bauxite De Guyana,Bauxite Mine (Aluminium),Guyana,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Chhattisgarh,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Hindalco Industries Ltd,Unknown
Turgay,Bauxite Mine (Aluminium),Kazakhstan,Aluminium / Primary Aluminium,Alyuminiy Kazakhstana AO,Normal Operation
Sangaredi,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Rio Tinto PLC,Normal Operation
Pocos de Caldas/Cataguases,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Companhia Brasileira de Aluminio,Normal Operation
Balancing item Vietnam Bauxite Mine,Bauxite Mine (Aluminium),Vietnam,Aluminium / Primary Aluminium,Various,Normal Operation
Balancing item Guinea Bauxite Mine,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Various,Normal Operation
Various Bauxite Mine,Bauxite Mine (Aluminium),Malaysia,Aluminium / Primary Aluminium,Various,Normal Operation
Balancing item Bosnia and Herzegovina,Bauxite Mine (Aluminium),Bosnia and Herzegovina,Aluminium / Primary Aluminium,Various,Normal Operation
Chandgad and Durgmanwadi,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Hindalco Industries Ltd,Unknown
Balancing item Montenegro Bauxite Mine,Bauxite Mine (Aluminium),Montenegro,Aluminium / Primary Aluminium,Various,Normal Operation
Dian-Dian expansion Stage II,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Pitinga,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Paranapanema SA,Unknown
Guizhou,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Suriname Bauxite Mine,Bauxite Mine (Aluminium),Suriname,Aluminium / Primary Aluminium,Various,Normal Operation
Aurukun,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Unknown
Paragominas,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Norsk Hydro ASA,Normal Operation
Balancing item Guyana Bauxite Mine,Bauxite Mine (Aluminium),Guyana,Aluminium / Primary Aluminium,Various,Normal Operation
Discovery Bay,Bauxite Mine (Aluminium),Jamaica,Aluminium / Primary Aluminium,Noranda Bauxite Ltd,Unknown
Balancing item Jamaica Bauxite Mine,Bauxite Mine (Aluminium),Jamaica,Aluminium / Primary Aluminium,Various,Normal Operation
Black Thunder Coal Mine,Coal Mine,United States,Coal,Arch Resources Inc,Normal Operation
North Antelope Rochelle Coal Mine,Coal Mine,United States,Coal,Peabody Energy Corp,Normal Operation
China Stone Coal Deposit,Coal Mine,Australia,Coal,Macmines Austasia Pty Ltd,Prefeasibility
Carmichael Coal Deposit,Coal Mine,Australia,Coal,Adani Enterprises Ltd,Prefeasibility
Bogatyr Coal Mine,Coal Mine,Kazakhstan,Coal,Bogatyr Komyr Ltd Liability Partnership,Normal Operation
Cordero Rojo Coal Mine,Coal Mine,United States,Coal,Cloud Peak Energy Inc,Normal Operation
Coal Creek (WY) Coal Mine,Coal Mine,United States,Coal,Thunder Basin Coal Co,Normal Operation
Hambach No 1 Coal Mine,Coal Mine,Germany,Coal,RWE Power,Normal Operation
Tutupan Coal Mine,Coal Mine,Indonesia,Coal,Adaro Indonesia PT,Normal Operation
Secunda Coal Mines,Coal Mine,South Africa,Coal,Sasol Mining Pty Ltd,Normal Operation
China First (Galilee) Coal Deposit,Coal Mine,Australia,Coal,Waratah Coal Inc,Conceptual project
Jacobs Ranch Coal Mine,Coal Mine,United States,Coal,Black Thunder Coal Mine,Normal Operation
Antelope Coal Mine,Coal Mine,United States,Coal,Cloud Peak Energy Inc,Normal Operation
School Creek Coal Deposit,Coal Mine,United States,Coal,Powder River Coal Co,Conceptual project
Garzweiler No 2 Coal Mine,Coal Mine,Germany,Coal,RWE Power,Normal Operation
Alpha (Hancock) Coal Deposit,Coal Mine,Australia,Coal,Hancock Prospecting Pty Ltd,Feasibility
Loy Yang Coal Mine,Coal Mine,Australia,Coal,Loy Yang Power Ltd,Normal Operation
Cerrejon Coal Mine,Coal Mine,Colombia,Coal,Cerrejon Coal Co,Normal Operation
Haerwusu Coal Mine,Coal Mine,China (Mainland),Coal,Haerwusu Branch (Shenhua),Normal Operation
East Kutai Coal Deposit,Coal Mine,Indonesia,Coal,Churchill Mining PLC,Feasibility
Shengli Coal Mine,Coal Mine,China (Mainland),Coal,Datang International Power Generation Co Ltd,Normal Operation
Kevin's Corner Coal Deposit,Coal Mine,Australia,Coal,Hancock Prospecting Pty Ltd,Feasibility
Caballo Coal Mine,Coal Mine,United States,Coal,Peabody Energy Corp,Normal Operation
Gevra Coal Mine,Coal Mine,India,Coal,South Eastern Coalfields Ltd,Normal Operation
Maikuben West Coal Mine,Coal Mine,Kazakhstan,Coal,Kazakhmys Corporation LLC,Normal Operation
San Juan Coal Deposit,Coal Mine,Colombia,Coal,MPX Energia SA,Prefeasibility
Mount Arthur Coal Mine,Coal Mine,Australia,Coal,Mount Arthur Coal Pty Ltd,Normal Operation
Eagle Butte Coal Mine,Coal Mine,United States,Coal,"Alpha Coal West, Inc",Normal Operation
Antaibao Open Pit Coal Mine,Coal Mine,China (Mainland),Coal,China Coal Pingshuo Coal Co Ltd,Normal Operation
Borodinsky Open-Pit Coal Mine,Coal Mine,Russia,Coal,SUEK,Normal Operation
Spring Creek (USA) Coal Mine,Coal Mine,United States,Coal,Cloud Peak Energy Inc,Normal Operation
Rawhide Coal Mine,Coal Mine,United States,Coal,Peabody Energy Corp,Normal Operation
La Loma (Pribbenow) Coal Mine,Coal Mine,Colombia,Coal,"Drummond Company, Inc",Normal Operation
Bulianta Coal Mine,Coal Mine,China (Mainland),Coal,Shendong Coal Branch Of Shenua,Normal Operation
Anjialing Underground Coal Mine,Coal Mine,China (Mainland),Coal,China Coal Pingshuo Coal Co Ltd,Normal Operation
Hazelwood Coal Mine,Coal Mine,Australia,Coal,International Power (Australia) Pty Ltd,Normal Operation
Mount Arthur OP Coal Mine,Coal Mine,Australia,Coal,Mount Arthur Coal Mine,Normal Operation
Bhubaneswari Coal Deposit,Coal Mine,India,Coal,Mahanadi Coalfields Ltd,Feasibility
Shengli Opencast Coal Mine,Coal Mine,China (Mainland),Coal,Shenhua Beidian Shengli Energy Co Ltd,Normal Operation
Waterberg Coal Deposit,Coal Mine,South Africa,Coal,Sekoko Resources (Pty) Ltd,Feasibility
Sasan Coal Mines,Coal Mine,India,Coal,Reliance Power Limited,Normal Operation
Anjialing Open Pit Coal Mine,Coal Mine,China (Mainland),Coal,China Coal Pingshuo Coal Co Ltd,Normal Operation
Mulia Coal Mine,Coal Mine,Indonesia,Coal,Arutmin Indonesia PT,Normal Operation
Magadh Coal Mine,Coal Mine,India,Coal,Central Coalfields Ltd,Under Construction
Welzow Sud Coal Mine,Coal Mine,Germany,Coal,Vattenfall Europe AG,Normal Operation
Jingdong Open Pit Coal Mine,Coal Mine,China (Mainland),Coal,Tibet Paige Media Co Ltd,Normal Operation
Dipka Coal Mine,Coal Mine,India,Coal,South Eastern Coalfields Ltd,Normal Operation
Bu'ertai Coal Mine,Coal Mine,China (Mainland),Coal,Wanli No1 Coal Mine,Normal Operation
Vostochny (Kaz) Coal Mine,Coal Mine,Kazakhstan,Coal,Eurasian Energy Co Jsc,Normal Operation
Talabira Coal Mines JV,Coal Mine,India,Coal,Mahanadi Coalfields Ltd,Normal Operation
Blackwater Coal Mine,Coal Mine,Australia,Coal,BHP Billiton Mitsubishi Alliance,Normal Operation
Goonyella/Riverside Coal Mine,Coal Mine,Australia,Coal,BHP Billiton Mitsubishi Alliance,Normal Operation
Pasir (Roto) Coal Mine,Coal Mine,Indonesia,Coal,PT Kideco Jaya Agung,Normal Operation
Grootegeluk Coal Mine,Coal Mine,South Africa,Coal,Exxaro Resources Ltd,Normal Operation
Douglas/Middelburg Coal Mine,Coal Mine,South Africa,Coal,BHP Billiton Energy Coal South Africa Ltd,Normal Operation
Nochten Reichwalde Coal Mine,Coal Mine,Germany,Coal,Vattenfall Europe AG,Normal Operation
Yallourn Coal Mine,Coal Mine,Australia,Coal,CLP Power Asia Ltd,Normal Operation
Synfuel Coal Mine,Coal Mine,United States,Coal,Synfuel Inc,Conceptual project
New Vaal Coal Mine,Coal Mine,South Africa,Coal,Anglo Coal South Africa,Normal Operation
Belle Ayr Coal Mine,Coal Mine,United States,Coal,"Alpha Coal West, Inc",Normal Operation
Optimum Coal Mine,Coal Mine,South Africa,Coal,Optimum Coal Holdings Ltd,Normal Operation
Middelburg Coal Mine,Coal Mine,South Africa,Coal,Douglas/Middelburg Coal Mine,Normal Operation
Moolarben Coal Mine,Coal Mine,Australia,Coal,Yancoal Australia Ltd,Normal Operation
Peak Downs Coal Mine,Coal Mine,Australia,Coal,BHP Billiton Mitsubishi Alliance,Normal Operation
Grootegeluk Thermal Coal Mine,Coal Mine,South Africa,Coal,Exxaro Resources Ltd,Normal Operation
South Galilee Coal Deposit,Coal Mine,Australia,Coal,AMCI (Alpha) Pty Ltd,Prefeasibility
Arckaringa Coal Deposit,Coal Mine,Australia,Coal,China National Offshore Oil Corporation,Feasibility
Mine-II Coal Mine,Coal Mine,India,Coal,Neyveli Lignite Corporation Ltd,Normal Operation
Wilpinjong Coal Mine,Coal Mine,Australia,Coal,Peabody Energy Corp,Normal Operation
New Largo Coal Deposit,Coal Mine,South Africa,Coal,Anglo Inyosi Coal (Pty) Ltd,Feasibility
Freedom (ND) Coal Mine,Coal Mine,United States,Coal,The Coteau Properties Co,Normal Operation
Pakri Barwadih Block Coal Mine,Coal Mine,India,Coal,National Thermal Power Corporation Limited,Under Construction
Ukhaa Khudag (UHG) Coal Mine,Coal Mine,Mongolia,Coal,Energy Resources LLC (MMC),Normal Operation
Elegestskoye Coal Mine,Coal Mine,Russia,Coal,Tuva Energy Industrial Corporation,Under Construction
Hunter Valley Coal Mine,Coal Mine,Australia,Coal,Glencore PLC,Normal Operation
Khutala UG Coal Mine,Coal Mine,South Africa,Coal,Khutala Coal Mine,Normal Operation
Phulbari Coal Deposit,Coal Mine,Bangladesh,Coal,Asia Energy Corp (Bangladesh) Pty Ltd,Feasibility
Megalopolis Coal Complex,Coal Mine,Greece,Coal,Public Power Corp SA,Normal Operation
Tashan Coal Mine,Coal Mine,China (Mainland),Coal,Datong Coal Industry Co Ltd,Normal Operation
Matla Coal Mine,Coal Mine,South Africa,Coal,Exxaro Resources Ltd,Normal Operation
Tavan Tolgoi Coal Mine,Coal Mine,Mongolia,Coal,Mongolia (Government),Under Construction
Nigahi Coal Mine,Coal Mine,India,Coal,Northern Coalfields Ltd,Normal Operation
Youngs Creek Coal Deposit,Coal Mine,United States,Coal,Youngs Creek Mining Co Ltd Jv,Feasibility
Khutala OP Coal Mine,Coal Mine,South Africa,Coal,Khutala Coal Mine,Normal Operation
Blackwater Metallurgical Coal Mine,Coal Mine,Australia,Coal,Blackwater Coal Mine,Normal Operation
Decker Coal Mine,Coal Mine,United States,Coal,Decker Coal Co,Normal Operation
Jayamkondam Coal Mine,Coal Mine,India,Coal,Neyveli Lignite Corporation Ltd,Prefeasibility
Berezovskaya Coal Mine,Coal Mine,Russia,Coal,Northern Kuzbass Coal Company,Normal Operation
Highvale Coal Mine,Coal Mine,Canada,Coal,Transalta Utilities Corp,Normal Operation
Moolarben OP Coal Mine,Coal Mine,Australia,Coal,Yancoal Australia Ltd,Normal Operation
Elders Coal Deposit,Coal Mine,South Africa,Coal,Anglo Inyosi Coal (Pty) Ltd,Conceptual project
Makhado Coal Deposit,Coal Mine,South Africa,Coal,MC Mining Ltd,Feasibility
Maules Creek Coal Deposit,Coal Mine,Australia,Coal,Whitehaven Coal Ltd,Normal Operation
Clermont Coal Mine,Coal Mine,Australia,Coal,Clermont Coal Operations Pty Ltd,Normal Operation
Elga Coal Mine,Coal Mine,Russia,Coal,Elgaugol Jcs,Normal Operation
Pokrovskoye Coal Mine,Coal Mine,Ukraine,Coal,Pokrovskoye Mining Department,Normal Operation
Amrapali Coal Mine,Coal Mine,India,Coal,Central Coalfields Ltd,Feasibility
Ananta Coal Mine,Coal Mine,India,Coal,Narmada Coalfields Ltd,Normal Operation
Twentymile Coal Mine,Coal Mine,United States,Coal,Peabody Energy Corp,Normal Operation
Blair Athol Coal Mine,Coal Mine,Australia,Coal,Terracom Ltd,Normal Operation
Changtan Coal Mine,Coal Mine,China (Mainland),Coal,Inner Mongolian Huineng Coal Energy Group Ltd,Prefeasibility
Hunter Valley Thermal Coal Mine,Coal Mine,Australia,Coal,Glencore PLC,Normal Operation
Shangwan Coal Mine,Coal Mine,China (Mainland),Coal,Shendong Coal Branch Of Shenua,Normal Operation
Moranbah South Coal Deposit,Coal Mine,Australia,Coal,Anglo Coal Australia Pty Ltd,Feasibility
Rosebud Coal Mine,Coal Mine,United States,Coal,Western Energy Co,Normal Operation
