physical asset,location,ownership,commodity,status,Countries,USA states
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Refined Products,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Natural Gas,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Natural Gas Liquids,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Light Products,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Heavy Crude Oils,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Renewable Diesel,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Renewable Fuels,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Chemicals,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Higher Value Products,['Operational'],USA,"['California', 'North Dakota']"
Barges,"['Refineries', 'Midstream Facilities']",Marathon Petroleum Corporation,,['Under Construction'],,
Canton Refinery,['Ohio'],Marathon Petroleum Corporation,Crude Oil,,USA,['Ohio']
Crowley Ocean Partners Llc And Its Four Subsidiaries,['Bakken Basin'],MPLX LP,Crude Oil,['Operational'],USA,
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Crude Oil,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Refined Products,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Gasoline,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Distillates,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Natural Gas,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Natural Gas Liquids,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Other Hydrocarbon-Based Products,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",MPLX LP,Renewables,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Crude Oil,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Refined Products,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Gasoline,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Distillates,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Natural Gas,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Natural Gas Liquids,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Other Hydrocarbon-Based Products,"['Operational', 'Impaired']",USA,['North Dakota']
Crude Oil Infrastructure,"['Lake Oahe', 'North Dakota', 'USA']",Marathon Petroleum Corporation,Renewables,"['Operational', 'Impaired']",USA,['North Dakota']
Dakota Access Pipeline,"['Dickinson', 'North Dakota']",Marathon Petroleum Corporation,Corn Crude Oil,['Operational'],USA,['North Dakota']
Dakota Access Pipeline,"['Dickinson', 'North Dakota']",Marathon Petroleum Corporation,Soybean Crude Oil,['Operational'],USA,['North Dakota']
Dakota Access Pipeline,"['Dickinson', 'North Dakota']",Marathon Petroleum Corporation,Fats And Greases,['Operational'],USA,['North Dakota']
Detroit Refinery,['Detroit'],Marathon Petroleum Corporation,Crude Oil,,USA,
Dickinson,"['Galveston Bay', 'Madison', 'Wisconsin']",Marathon Petroleum Corporation,Biobased Feedstocks,"['Under Construction', 'Operational']",USA,['Wisconsin']
North Dakota (Renewable Fuels Facility),"['Galveston Bay', 'Madison', 'Wisconsin']",Marathon Petroleum Corporation,Biobased Feedstocks,"['Under Construction', 'Operational']",USA,['Wisconsin']
Distillate Hydrotreater Project,['Gallup'],Marathon Petroleum Corporation,Crude Oil,['Operational'],,
Distillate Hydrotreater Project,['Gallup'],Marathon Petroleum Corporation,Refined Products,['Operational'],,
Distribution System,['Martinez Refinery'],Marathon Petroleum Corporation,Fuel,"['Operational', 'Under Construction', 'End-Of-Life']",,
Distribution System,['Martinez Refinery'],Marathon Petroleum Corporation,Natural Gas,"['Operational', 'Under Construction', 'End-Of-Life']",,
Distribution System,['Martinez Refinery'],Marathon Petroleum Corporation,Renewable Diesel,"['Operational', 'Under Construction', 'End-Of-Life']",,
Distribution System,['Martinez Refinery'],MPLX LP,Fuel,"['Operational', 'Under Construction', 'End-Of-Life']",,
Distribution System,['Martinez Refinery'],MPLX LP,Natural Gas,"['Operational', 'Under Construction', 'End-Of-Life']",,
Distribution System,['Martinez Refinery'],MPLX LP,Renewable Diesel,"['Operational', 'Under Construction', 'End-Of-Life']",,
El Paso Refinery,['Texas'],Marathon Petroleum Corporation,Crude Oil,,USA,['Texas']
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",Marathon Petroleum Corporation,Refined Products,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",Marathon Petroleum Corporation,Crude Oil,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",Marathon Petroleum Corporation,Natural Gas Liquids,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",Marathon Petroleum Corporation,Renewable Feedstocks,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",Marathon Petroleum Corporation,Petroleum-Based Transportation Fuels,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",Marathon Petroleum Corporation,Feedstocks,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",Marathon Petroleum Corporation,Renewable Fuels,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",MPLX LP,Refined Products,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",MPLX LP,Crude Oil,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",MPLX LP,Natural Gas Liquids,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",MPLX LP,Renewable Feedstocks,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",MPLX LP,Petroleum-Based Transportation Fuels,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",MPLX LP,Feedstocks,['Operational'],,
Emission Controls,"['Refineries', 'Pipelines', 'Processing Facilities', 'Fractionation Facilities', 'Treating Facilities']",MPLX LP,Renewable Fuels,['Operational'],,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",Marathon Petroleum Corporation,Refined Products,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",Marathon Petroleum Corporation,Natural Gas Liquids,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",Marathon Petroleum Corporation,Renewable Feedstocks,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",Marathon Petroleum Corporation,Fuel,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",MPLX LP,Crude Oil,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",MPLX LP,Refined Products,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",MPLX LP,Natural Gas Liquids,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",MPLX LP,Renewable Feedstocks,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",MPLX LP,Fuel,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",USA Army Corps of Engineers,Crude Oil,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",USA Army Corps of Engineers,Refined Products,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",USA Army Corps of Engineers,Natural Gas Liquids,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",USA Army Corps of Engineers,Renewable Feedstocks,['Operational'],USA,
Equipment,"['Coastal States', 'Federal Lands', 'Native American Tribal Lands', 'Production Areas', 'Regulated Facilities', 'USA']",USA Army Corps of Engineers,Fuel,['Operational'],USA,
Facilities,"['Various Locations', 'District Of Columbia']",Marathon Petroleum Corporation,Petroleum Products,['Operational'],USA,
Facilities,"['Various Locations', 'District Of Columbia']",Marathon Petroleum Corporation,Refined Products,['Operational'],USA,
Facilities,"['Various Locations', 'District Of Columbia']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,
Facilities,"['Various Locations', 'District Of Columbia']",MPLX LP,Petroleum Products,['Operational'],USA,
Facilities,"['Various Locations', 'District Of Columbia']",MPLX LP,Refined Products,['Operational'],USA,
Facilities,"['Various Locations', 'District Of Columbia']",MPLX LP,Crude Oil,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",MPLX LP,Crude Oil,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",MPLX LP,Refined Products,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",MPLX LP,Natural Gas,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",MPLX LP,Renewable Diesel,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",MPLX LP,Natural Gas Liquids,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",MPLX LP,Feedstocks,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",Marathon Petroleum Corporation,Refined Products,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",Marathon Petroleum Corporation,Natural Gas,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",Marathon Petroleum Corporation,Renewable Diesel,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",Marathon Petroleum Corporation,Natural Gas Liquids,['Operational'],USA,
Four Product Tankers,"['Galveston Bay', 'USA']",Marathon Petroleum Corporation,Feedstocks,['Operational'],USA,
Galveston Bay Refinery,"['Marcellus Basin', 'Permian Basin']",MPLX LP,Natural Gas,['Operational'],USA,
Galveston Bay Refinery,"['Marcellus Basin', 'Permian Basin']",MPLX LP,Crude Oil,['Operational'],USA,
Galveston Bay Refinery,"['Marcellus Basin', 'Permian Basin']",MPLX LP,Refined Petroleum Products,['Operational'],USA,
Gas Processing Plants,['Washington'],,Crude Oil,['Under Construction'],USA,['Washington']
Gas Processing Plants,['Washington'],,Natural Gas,['Under Construction'],USA,['Washington']
Gas Processing Plants,['Washington'],,Natural Gas Liquids,['Under Construction'],USA,['Washington']
Gathering And Processing Facilities,"['Findlay', 'Ohio', 'USA']",MPLX LP,Crude Oil,['Operational'],USA,['Ohio']
Gathering And Processing Facilities,"['Findlay', 'Ohio', 'USA']",MPLX LP,Natural Gas,['Operational'],USA,['Ohio']
Gathering And Processing Facilities,"['Findlay', 'Ohio', 'USA']",MPLX LP,Refined Products,['Operational'],USA,['Ohio']
Gathering And Processing Facilities,"['Findlay', 'Ohio', 'USA']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,['Ohio']
Gathering And Processing Facilities,"['Findlay', 'Ohio', 'USA']",Marathon Petroleum Corporation,Natural Gas,['Operational'],USA,['Ohio']
Gathering And Processing Facilities,"['Findlay', 'Ohio', 'USA']",Marathon Petroleum Corporation,Refined Products,['Operational'],USA,['Ohio']
Information Technology Systems,,Marathon Petroleum Corporation,Refined Products,['Operational'],,
Information Technology Systems,,Marathon Petroleum Corporation,Crude Oil,['Operational'],,
Information Technology Systems,,Marathon Petroleum Corporation,Natural Gas,['Operational'],,
Information Technology Systems,,Marathon Petroleum Corporation,Natural Gas Liquids,['Operational'],,
Information Technology Systems,,Marathon Petroleum Corporation,Renewable Feedstocks,['Operational'],,
Information Technology Systems,,MPLX LP,Refined Products,['Operational'],,
Information Technology Systems,,MPLX LP,Crude Oil,['Operational'],,
Information Technology Systems,,MPLX LP,Natural Gas,['Operational'],,
Information Technology Systems,,MPLX LP,Natural Gas Liquids,['Operational'],,
Information Technology Systems,,MPLX LP,Renewable Feedstocks,['Operational'],,
Inventory,"['Kenai Peninsula', 'Alaska']",Marathon Petroleum Corporation,Domestic Crude,['Operational'],USA,['Alaska']
Inventory,"['Kenai Peninsula', 'Alaska']",Marathon Petroleum Corporation,International Crudes,['Operational'],USA,['Alaska']
Kenai Refinery,['Alaska'],Marathon Petroleum Corporation,Renewable Diesel,"['Operational', 'Decommissioned', 'Under Construction', 'Decommissioning']",USA,['Alaska']
Land,,Marathon Petroleum Corporation,,,,
LF Bioenergy,,Marathon Petroleum Corporation,,"['Operational', 'Under Construction', 'End-Of-Life']",,
Long-Lived Assets,"['Los Angeles', 'California']",Marathon Petroleum Corporation,Heavy Crude,['Operational'],USA,['California']
Los Angeles Refinery,['USA'],Marathon Petroleum Corporation,Refined Products,['Operational'],USA,
Los Angeles Refinery,['USA'],Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,
Los Angeles Refinery,['USA'],Marathon Petroleum Corporation,Gasoline,['Operational'],USA,
Los Angeles Refinery,['USA'],Marathon Petroleum Corporation,Distillates,['Operational'],USA,
Los Angeles Refinery,['USA'],Marathon Petroleum Corporation,Natural Gas,['Operational'],USA,
Los Angeles Refinery,['USA'],Marathon Petroleum Corporation,Natural Gas Liquids,['Operational'],USA,
Los Angeles Refinery,['USA'],Marathon Petroleum Corporation,Other Hydrocarbon-Based Products,['Operational'],USA,
Machinery,['Market Areas'],MPLX LP,Crude Oil,['Operational'],,
Machinery,['Market Areas'],MPLX LP,Feedstocks,['Operational'],,
Machinery,['Market Areas'],MPLX LP,Refined Products,['Operational'],,
Machinery,['Market Areas'],MPLX LP,Natural Gas,['Operational'],,
Machinery,['Market Areas'],Third Parties,Crude Oil,['Operational'],,
Machinery,['Market Areas'],Third Parties,Feedstocks,['Operational'],,
Machinery,['Market Areas'],Third Parties,Refined Products,['Operational'],,
Machinery,['Market Areas'],Third Parties,Natural Gas,['Operational'],,
Mandan Refinery,"['North Dakota', 'USA']",Marathon Petroleum Corporation,Crude Oil,,USA,['North Dakota']
Marine Fleets,['Various Locations'],,Crude Oil,['Operational'],,
Marine Fleets,['Various Locations'],,Refined Products,['Operational'],,
Marine Vessels,"['Martinez', 'California', 'USA']",Marathon Petroleum Corporation,Crude Oil,"['Under Construction', 'Operational']",USA,['California']
Marine Vessels,"['Martinez', 'California', 'USA']",Marathon Petroleum Corporation,Natural Gas,"['Under Construction', 'Operational']",USA,['California']
Marine Vessels,"['Martinez', 'California', 'USA']",Marathon Petroleum Corporation,Natural Gas Liquids,"['Under Construction', 'Operational']",USA,['California']
Marine Vessels,"['Martinez', 'California', 'USA']",Marathon Petroleum Corporation,Refined Products,"['Under Construction', 'Operational']",USA,['California']
Martinez Facility,"['California', 'Martinez']",Marathon Petroleum Corporation,Petroleum,"['Operational', 'Under Construction', 'Strategically Repositioned']",USA,['California']
Martinez Facility,"['California', 'Martinez']",Marathon Petroleum Corporation,Refined Products,"['Operational', 'Under Construction', 'Strategically Repositioned']",USA,['California']
Martinez Facility,"['California', 'Martinez']",Marathon Petroleum Corporation,Renewable Diesel,"['Operational', 'Under Construction', 'Strategically Repositioned']",USA,['California']
California Refinery,"['USA Coastal and Great Lakes States', 'States Bordering Inland Waterways On Which We Operate', 'International Jurisdictions In Which We Operate']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,
California Refinery,"['USA Coastal and Great Lakes States', 'States Bordering Inland Waterways On Which We Operate', 'International Jurisdictions In Which We Operate']",Marathon Petroleum Corporation,Natural Gas,['Operational'],USA,
California Refinery,"['USA Coastal and Great Lakes States', 'States Bordering Inland Waterways On Which We Operate', 'International Jurisdictions In Which We Operate']",Marathon Petroleum Corporation,Natural Gas Liquids,['Operational'],USA,
