physical asset,location,ownership,commodity,Countries,USA states
Electric Distribution Infrastructure,"District Of Columbia, Maryland, New Jersey, Delaware, Pennsylvania, Commonwealth Edison Company's Service Area, Central Maryland (Including The City Of Baltimore), Portions Of New Castle County, Delaware, City Of Chicago, Seneca, Il, Salem, Portions Of Delaware And Maryland","Commonwealth Edison Company, Pepco Holdings LLC, Atlantic City Electric Company, PECO Energy Company, Baltimore Gas And Electric Company, Delmarva Power & Light Company, Exelon Corporation","Electricity, Natural Gas",USA,"Delaware, Maryland, New Jersey, Pennsylvania"
electric Exelon Exelon Corporationplants,,Exelon Corporation,"Electricity, Clean Energy",,
Electric Grid,"Disadvantaged Communities, Service Territory","Pepco Holdings LLC, Commonwealth Edison Company, Exelon Corporation, Utility Registrants",Electricity,,
Electricity Exelon Exelon CorporationFacilities,"PJM, MISO, NYISO, ERCOT, ISO-NE, FRCC, WECC, CAISO, AESO, OIESO, Canada, Mid-Atlantic, Midwest, New York","Exelon Corporation LLC, Constellation Energy","Electricity, Natural Gas, Renewable Energy","Canada, USA",New York
electricity transmission infrastructure,"Delaware, Maryland, Illinois, New Jersey","Delmarva Power & Light Company, Atlantic City Electric Company, Baltimore Gas And Electric Company, Delmarva Power & Light Company, Commonwealth Edison Company, Exelon Corporation, PECO Energy Company","Electricity, Natural Gas",USA,"Delaware, Illinois, Maryland, New Jersey"
equipment,"Southeastern Pennsylvania, Portions of Delaware and Maryland, PJM Operated Markets, Byron, IL, Delaware, District of Columbia, Peach Bottom, Montgomery and Prince George's Counties, Maryland, Midwest and Mid-Atlantic of the USA","Atlantic City Electric Company, Commonwealth Edison Company, Baltimore Gas And Electric Company, Constellation Energy, Delmarva Power & Light Company, Exelon Corporation, Pepco Holdings LLC, PECO Energy Company","Natural Gas, Electricity",USA,"Delaware, Maryland, Pennsylvania"
Facilities (Physical Asset),,"Maryland Economic Development Corporation, The Pollution Control Financing Authority of Salem County, Atlantic City Electric Company, Delmarva Power & Light Company",,,
Gas Facilities,"Midwest and East Coast of the USA, Illinois, Maryland, New Jersey, Pennsylvania, District of Columbia","The Delaware Economic Development Authority, PECO Energy Company, Commonwealth Edison Company, Pepco Holdings LLC, Atlantic City Electric Company, Exelon Corporation, Baltimore Gas And Electric Company, Delmarva Power & Light Company, Utility Registrants","Electricity, Natural Gas",USA,"Illinois, Maryland, New Jersey, Pennsylvania"
Generating Assets (Power Exelon Corporation),,"Constellation Energy, Commonwealth Edison Company, PECO Energy Company, Baltimore Gas And Electric Company, Exelon Corporation","Electricity, Power, Natural Gas",,
Exelon Exelon Corporationfacility,"Mid-Atlantic, Midwest, New York, ERCOT, Other Power Regions","Utility Registrants, Constellation Energy, Exelon Corporation","Electricity, Natural Gas, Renewable Energy",USA,New York
"Exelon Corporation's Five Reportable Segments (Mid-Atlantic, Midwest, New York, Ercot, And Other Power Regions)","Mid-Atlantic, Midwest, New York, Ercot, And Other Power Regions",Exelon Corporation,,USA,New York
Inventories (Raw Materials),,Utility Registrants,,,
Mining And Processing Sites (mgp sites),Various Locations,"Commonwealth Edison Company, PECO Energy Company, Baltimore Gas And Electric Company, Delmarva Power & Light Company",,,
Motor Vehicles (Used for transportation),,"Exelon Corporation, Utility Registrants",,,
Muddy Run Pumped Storage Facility Project,Muddy Run,Exelon Corporation,Electricity,,
MWs of New Solar Exelon Exelon Corporation(Solar Power Plant),"Maryland, District Of Columbia, Delaware",Exelon Corporation,"Solar Energy, Wind Energy",USA,"Delaware, Maryland"
Nine Mile Point (Power Plant),Nine Mile Point,"Exelon Corporation, EDF",Electricity,,
Nuclear Fuel (Commodity: Nuclear fuel),,Exelon Corporation,,,
Personal Protective Equipment (PPE),,,,,
Plant,"Illinois, Pennsylvania","Commonwealth Edison Company, Baltimore Gas And Electric Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company, Exelon Corporation",Electricity,USA,"Illinois, Pennsylvania"
Power Plants,"Midwest, ERCOT, Other Power Regions",Exelon Corporation,"Electricity, Nuclear Power",USA,
"Properties  



Let me know when you're ready for the next cell!",,Utility Registrants,,,
Smart Meters,"Customer Premises, New Jersey, Service Territory","Atlantic City Electric Company,Utility Registrants  ","Electricity, Natural Gas",USA,New Jersey
Solar Business (Facility),,Exelon Corporation,,,
Steam Plant Building,Buzzard Point Facility,"Exelon Corporation, Pepco Holdings LLC",Electricity,USA,
Substation,"Buzzard Point Facility, New Jersey And Delaware","Exelon Corporation,Pepco Holdings LLC,Delmarva Power & Light Company,Atlantic City Electric Company",Electricity,USA,"Delaware, New Jersey"
Transmission Tower (Physical Asset used for Communication),,"Pepco Holdings LLC,Delmarva Power & Light Company,Atlantic City Electric Company",,,
underground vaults,District Wide System,Pepco Holdings LLC,,,
Utility Plant Assets,,"Commonwealth Edison Company,Exelon Corporation",Electricity,,
Wind Project,,Exelon Corporation,"Wind Energy, Electricity",,
Wires,City Of Chicago,Commonwealth Edison Company,Electricity,USA,
TMI Three Mile Island Nuclear Facility,,Pepco Holdings LLC,,,
Storage Pools,USA,Exelon Corporation,Nuclear Power,USA,
Dry Cask Storage Facilities,USA,Exelon Corporation,Nuclear Power,USA,
Disposal Facilities,"Midwest And East Coast Of The Usa, Illinois, Maryland, New Jersey, Pennsylvania, Delaware","PECO Energy Company, Commonwealth Edison Company, Pepco Holdings LLC, Atlantic City Electric Company, Exelon Corporation, Baltimore Gas And Electric Company, Delmarva Power & Light Company, Utility Registrants","Electricity, Natural Gas",USA,"Delaware, Illinois, Maryland, New Jersey, Pennsylvania"
Fossil And Renewable Generating Stations,USA,Exelon Corporation,"Electricity, Nuclear Power",USA,
Smart Grids,,Exelon Corporation,Electricity,,
Peaking Units  (Power Exelon Corporation),,Exelon Corporation,Electricity,,
Gas Turbines,,Exelon Corporation,Electricity,,
Nuclear Stations,"Calvert Cliffs, Ginna",Exelon Corporation,"Electricity, Nuclear Power",USA,
Wind And Solar Facilities,,Exelon Corporation,Electricity,,
Electric Substations,,"Commonwealth Edison Company, PECO Energy Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",Electricity,,
High Voltage Electric Transmission Lines,,"Commonwealth Edison Company, PECO Energy Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",Electricity,,
Overhead And Underground Lines,,"Commonwealth Edison Company, PECO Energy Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company, Baltimore Gas And Electric Company",Electricity,,
Natural Gas Transmission Mains,Delaware,"Delmarva Power & Light Company,PECO Energy Company,Baltimore Gas And Electric Company",Natural Gas,USA,Delaware
LNG Facility,"West Conshohocken, Pennsylvania",PECO Energy Company,Natural Gas,USA,Pennsylvania
Propane Air Plant,"Chester, Pennsylvania",PECO Energy Company,Propane,USA,Pennsylvania
City Gate Stations,,"PECO Energy Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company",Natural Gas,,
"Direct Pipeline, Customer Delivery Points",,"PECO Energy Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company",Natural Gas,,
Electric System,"District Of Columbia, Maryland, New Jersey, Delaware, Pennsylvania","Exelon Corporation,Pepco Holdings LLC,Atlantic City Electric Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company,Commonwealth Edison Company","Electricity, Natural Gas",USA,"Delaware, Maryland, New Jersey, Pennsylvania"
Communications Facilities,"Midwest and East Coast of the USA, Illinois, Maryland, Pennsylvania, Delaware,  Braidwood, IL, Quad Cities, Nine Mile Point Unit NJ/DE","Atlantic City Electric Company, PECO Energy Company, Commonwealth Edison Company, Exelon Corporation, Baltimore Gas And Electric Company, Pepco Holdings LLC, Delmarva Power & Light Company, PSEG","Electricity, Natural Gas",USA,"Delaware, Illinois, Maryland, Pennsylvania"
Natural Gas Pipelines,Delaware,"Baltimore Gas And Electric Company,Delmarva Power & Light Company,Exelon Corporation,PECO Energy Company",Natural Gas,USA,Delaware
Wells,,,Natural Gas,,
Gas Transportation And Distribution Lines,New Jersey/Delaware,"Exelon Corporation,PECO Energy Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company,Utility Registrants","Natural Gas, Electricity",USA,"Delaware, New Jersey"
Equipment And Buildings (potentially contaminated with asbestos and PCBs),,"Commonwealth Edison Company, PECO Energy Company, Baltimore Gas And Electric Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",,,
Storage Tanks,,Exelon Corporation,,,
Leased Land,,Exelon Corporation,,,
Antelope Valley Solar Ranch,,Exelon Corporation,"Renewable Energy, Electricity",,
Sacramento PV Energy ,,Exelon Corporation,Renewable Energy,,
Constellation Solar Horizons,,Exelon Corporation,Renewable Energy,,
West Lake Landfill,Missouri,Exelon Corporation,,USA,Missouri
Latty Avenue Facility,"St. Louis, Missouri","Cotter Corporation,USA Army Corps of Engineers","Uranium Ores, Metals",USA,Missouri
Vehicle Fleet,"Service Territories 


Let me know when you're ready for the next cell!",Exelon Corporation,,,
Electric Transportation,New Jersey/Delaware,Exelon Corporation,Electricity,USA,"Delaware, New Jersey"
Advanced Metering Infrastructure,New Jersey,Atlantic City Electric Company,,USA,New Jersey
Switching Substation,New Jersey,Atlantic City Electric Company,Electricity,USA,New Jersey
Electric Generating Facility,Benning Road Site,Pepco Holdings LLC,Electricity,,
Transmission And Distribution Service Center,Benning Road Site,Pepco Holdings LLC,Electricity,,
Gas Purification Sites,,"Commonwealth Edison Company, PECO Energy Company, Baltimore Gas And Electric Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",,,
Operations (Physical Asset),Near The Registrant's Operations,"Utility Registrants,Exelon Corporation",Electricity,,
Middle Mile Broadband Infrastructure,Underserved Communities,"Commonwealth Edison Company,Baltimore Gas And Electric Company",,,
Advanced Distribution Management Systems (ADMS),Disadvantaged Communities,"Commonwealth Edison Company, Pepco Holdings LLC",,,
Grid-Edged Technologies,Disadvantaged Communities,"Commonwealth Edison Company,Pepco Holdings LLC",Clean Energy,,
Solar Panels,Disadvantaged Communities,Commonwealth Edison Company,Clean Energy,,
Microgrid Technologies,Disadvantaged Communities,"Commonwealth Edison Company,Pepco Holdings LLC",Clean Energy,,
500kV Line (Over Delaware River),Delaware River,"PECO Energy Company, Delmarva Power & Light Company, Atlantic City Electric Company",Electricity,USA,Delaware
