physical asset,location,ownership,commodity,status,Countries
underground vaults,District Wide System,Pepco Holdings LLC,,,
Utility Plant Assets,,"Commonwealth Edison Company,Exelon Corporation",Electricity,"Operational, Under Construction",
Wind Project,,Exelon Corporation,"Wind Energy, Electricity",Operational,
Wires,City Of Chicago,Commonwealth Edison Company,Electricity,,USA
TMI Three Mile Island Nuclear Facility,,Pepco Holdings LLC,,,
Storage Pools,USA,Exelon Corporation,Nuclear Power,Operational,USA
Dry Cask Storage Facilities,USA,Exelon Corporation,Nuclear Power,Operational,USA
Disposal Facilities,"Midwest And East Coast Of The Usa, Illinois, Maryland, New Jersey, Pennsylvania, Delaware","PECO Energy Company, Commonwealth Edison Company, Pepco Holdings LLC, Atlantic City Electric Company, Exelon Corporation, Baltimore Gas And Electric Company, Delmarva Power & Light Company, Utility Registrants","Electricity, Natural Gas","Operational,Not Specified,Under Construction",USA
Fossil And Renewable Generating Stations,USA,Exelon Corporation,"Electricity, Nuclear Power","Operational, Some Under Construction",USA
Smart Grids,,Exelon Corporation,Electricity,Operational,
Peaking Units  (Power Exelon Corporation),,Exelon Corporation,Electricity,Operational,
Gas Turbines,,Exelon Corporation,Electricity,Operational,
Nuclear Stations,"Calvert Cliffs, Ginna",Exelon Corporation,"Electricity, Nuclear Power","Operational, Some Under Construction",USA
Wind And Solar Facilities,,Exelon Corporation,Electricity,Operational,
Electric Substations,,"Commonwealth Edison Company, PECO Energy Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",Electricity,Operational,
High Voltage Electric Transmission Lines,,"Commonwealth Edison Company, PECO Energy Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",Electricity,Operational,
Overhead And Underground Lines,,"Commonwealth Edison Company, PECO Energy Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company, Baltimore Gas And Electric Company",Electricity,Operational,
Natural Gas Transmission Mains,Delaware,"Delmarva Power & Light Company,PECO Energy Company,Baltimore Gas And Electric Company",Natural Gas,Operational,USA
LNG Facility,"West Conshohocken, Pennsylvania",PECO Energy Company,Natural Gas,Operational,USA
Propane Air Plant,"Chester, Pennsylvania",PECO Energy Company,Propane,Operational,USA
City Gate Stations,,"PECO Energy Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company",Natural Gas,Operational,
"Direct Pipeline, Customer Delivery Points",,"PECO Energy Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company",Natural Gas,Operational,
Electric System,"District Of Columbia, Maryland, New Jersey, Delaware, Pennsylvania","Exelon Corporation,Pepco Holdings LLC,Atlantic City Electric Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company,Commonwealth Edison Company","Electricity, Natural Gas","Operational, Under Construction",USA
Communications Facilities,"Midwest and East Coast of the USA, Illinois, Maryland, Pennsylvania, Delaware,  Braidwood, IL, Quad Cities, Nine Mile Point Unit NJ/DE","Atlantic City Electric Company, PECO Energy Company, Commonwealth Edison Company, Exelon Corporation, Baltimore Gas And Electric Company, Pepco Holdings LLC, Delmarva Power & Light Company, PSEG","Electricity, Natural Gas","Under Construction, Operational,",USA
Natural Gas Pipelines,Delaware,"Baltimore Gas And Electric Company,Delmarva Power & Light Company,Exelon Corporation,PECO Energy Company",Natural Gas,Operational,USA
Wells,,,Natural Gas,Operational,
Gas Transportation And Distribution Lines,New Jersey/Delaware,"Exelon Corporation,PECO Energy Company,Baltimore Gas And Electric Company,Delmarva Power & Light Company,Utility Registrants","Natural Gas, Electricity",Operational,USA
Equipment And Buildings (potentially contaminated with asbestos and PCBs),,"Commonwealth Edison Company, PECO Energy Company, Baltimore Gas And Electric Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",,End Of Life,
Storage Tanks,,Exelon Corporation,,End Of Life,
Leased Land,,Exelon Corporation,,EndOfLife,
Antelope Valley Solar Ranch,,Exelon Corporation,"Renewable Energy, Electricity",Operational,
Sacramento PV Energy ,,Exelon Corporation,Renewable Energy,Operational,
Constellation Solar Horizons,,Exelon Corporation,Renewable Energy,Operational,
West Lake Landfill,Missouri,Exelon Corporation,,Contaminated,USA
Latty Avenue Facility,"St. Louis, Missouri","Cotter Corporation,USA Army Corps of Engineers","Uranium Ores, Metals",Remediated,USA
Vehicle Fleet,"Service Territories 


Let me know when you're ready for the next cell!",Exelon Corporation,,Operational,
Electric Transportation,New Jersey/Delaware,Exelon Corporation,Electricity,"Under Construction, Operational",USA
Advanced Metering Infrastructure,New Jersey,Atlantic City Electric Company,,Under Construction,USA
Switching Substation,New Jersey,Atlantic City Electric Company,Electricity,In Service,USA
Electric Generating Facility,Benning Road Site,Pepco Holdings LLC,Electricity,Deactivated,
Transmission And Distribution Service Center,Benning Road Site,Pepco Holdings LLC,Electricity,In Operation,
Gas Purification Sites,,"Commonwealth Edison Company, PECO Energy Company, Baltimore Gas And Electric Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company",,Operational,
Operations (Physical Asset),Near The Registrant's Operations,"Utility Registrants,Exelon Corporation",Electricity,Operational,
Middle Mile Broadband Infrastructure,Underserved Communities,"Commonwealth Edison Company,Baltimore Gas And Electric Company",,Under Construction,
Advanced Distribution Management Systems (ADMS),Disadvantaged Communities,"Commonwealth Edison Company, Pepco Holdings LLC",,Under Construction,
Grid-Edged Technologies,Disadvantaged Communities,"Commonwealth Edison Company,Pepco Holdings LLC",Clean Energy,Under Construction,
Solar Panels,Disadvantaged Communities,Commonwealth Edison Company,Clean Energy,Operational,
Microgrid Technologies,Disadvantaged Communities,"Commonwealth Edison Company,Pepco Holdings LLC",Clean Energy,Under Construction,
500kV Line (Over Delaware River),Delaware River,"PECO Energy Company, Delmarva Power & Light Company, Atlantic City Electric Company",Electricity,Operational,USA
