physical asset,location,ownership,commodity,status,Countries
Pipeline Integrity Management Infrastructure,"North Carolina, South Carolina, Virginia, Ohio, Connecticut, California","PSNC, DESC, Dominion Energy","Natural Gas, Electricity",Operational,USA
Plant,"Central, Southern And Southwestern Portions Of South Carolina And North Carolina, Usa","Dominion Energy, Virginia Power","Electricity, Natural Gas","Operational, Under Construction, Net, End-Of-Life",USA
Plant Construction And Other Property Additions,"Central, Southern, Southwestern Portions Of South Carolina, North Carolina, Cayce, Usa",Dominion Energy; Virginia Power,"Electricity Generation, Transmission, Distribution, Natural Gas Distribution, Electricity Generation","Under Construction, Operational, Net, End-Of-Life",USA
pollution control equipment,Virginia Power's Generating Facilities,Dominion Energy,,Operational,USA
Q-Pipe Group ,Dominion Energy's Service Area,"Dominion Energy, Southwest Gas",Natural Gas,"Sold,Operational",
Real Estate,South Carolina,"Dominion Energy, DESC",,"Operational, Under Construction",USA
simple cycle combustion turbines,"Virginia, Marine Environment","Virginia Power, Dominion Energy","Electricity,Steel","Under Consideration, Operational, Under Construction",USA
Solar Facilities,"Virginia, Mid-Atlantic, Southeast, Midwest, Louisa, North Anna, Surry, Coastal Virginia, East Ohio, Ohio, North Carolina, South Carolina, Pennsylvania, West Virginia, Utah, Idaho, Wyoming","Dominion Energy, Virginia Power, Terra Nova Renewable Partners, Clearway, Questar Gas, Hope, SCANA, DESC, PSNC, Third Parties ","Electricity, Renewable Energy, Natural Gas, Coal, Carbon Credits, Ancillary Services, Oil,Gas, LNG Import/Export, Energy Production (Natural Gas Operations), GHG Emissions Control, Nuclear Power Generation,  Electric Transmission,  Electric Distribution And Generation Operations","Operational, Under Construction, Held For Sale, Abandoned, End-Of-Life, Impaired",USA
Substations,"Virginia, North Carolina","Dominion Energy, Virginia Power",Electricity,Operational,USA
Supply Header Project ,,Dominion Energy,Natural Gas,"Probable Abandonment, Under Construction",
Turbine Technology,,Dominion Energy,,Under Construction,
Utility Property,South Carolina,"Dominion Energy, DESC",Electricity,"Sold, Operational",USA
Utility-Scale Solar Generation Projects,"Surry County, Virginia; Contracted Energy, North Carolina; South Carolina; Ohio","Virginia Power, Dominion Energy","Solar Energy, Renewable Energy Production, Electricity  

","Planned, Under Construction, Impaired, Operational",USA
Vehicles,,Dominion Energy,Transportation,Operational,
Wastewater Treatment Systems,Williams Facility,"Dominion Energy,Virginia Power,DESC","Electricity Generation,Water Treatment","Operational, Under Construction",USA
Nuclear Development Project ,"Jenkinsville, South Carolina","DESC, Santee Cooper",Electricity Generation,Under Construction,USA
Generation Capacity (Regulated Electric Utility And Its Related Energy Supply),Virginia,Dominion Energy,Electricity,Operational,USA
Data Centers,"Loudon County, Virginia",,,Operational,USA
transmission projects,"West Virginia, South Carolina, North Carolina, Virginia, Loudoun County, Ohio","Virginia Power, PSNC, Dominion Energy","Electricity, Gas  

","Under Construction, Operational",USA
Nuclear Reactors,Surry And North Anna,Virginia Power,Electricity,Operational,USA
Solar Panels,South Carolina,DESC,Electricity,Operational,USA
coal facilities,"Eastern Kentucky, Tennessee, Virginia, West Virginia",DESC,,Operational,USA
Nuclear Reactor,South Carolina,"DESC, Santee Cooper, Dominion Energy, Virginia Power","Electricity, Energy Production","Operational, Decommissioning",USA
Well Construction Activities,,Dominion Energy,"Gas, Oil",,
Infrastructure Improvements,"South Carolina, East Ohio, North Carolina, Texas, Virginia, Utah, Wyoming, Idaho, Ohio","Dominion Energy, Virginia Power, SCANA, DESC, East Ohio, Questar Gas, Wexpro, PSNC","Electricity, Natural Gas, Renewable Energy, Carbon Credits, Solar Operations, Ancillary Services, Energy Transmission, Electric Utilities","Operational, Under Construction",USA
Smaller Electric Generation (Power Plant),"Implied By Dominion Energy's Service Area, Populated Areas 


Let me know if you have more cells to process!",Dominion Energy,Electricity,Operational,USA
Natural Gas Compressor Stations,Dominion Energy Service Area,Dominion Energy,Natural Gas,Operational,"The Dominion Energy Service Area encompasses parts of several states within the USA.  

Therefore, the answer is **USA**."
Coal-Fired Generation Operations,Virginia,"Dominion Energy, Virginia Power",Electricity Generation,Operational,USA
Other Infrastructure Projects,"South Carolina, East Ohio,  North Carolina, Texas, Utah, Wyoming, Idaho, Ohio, Virginia, West Virginia 


Let me know if you'd like me to process another cell! ð","Dominion Energy, Virginia Power, SCANA, DESC, East Ohio, Wrangler, Questar Gas, Wexpro, PSNC","Renewable Energy, Gas Distribution, Electricity, Natural Gas, Carbon Credits, Solar Operations,  Energy Transmission,","Under Construction, Operational",USA
Electric Utility Service Territories ,"Eastern Portions Of South Carolina, North Carolina And Virginia",Dominion Energy,Electricity,Operational,USA
"transmission, gathering and storage pipeline","Ohio, North Carolina, Utah, Southwestern Wyoming, Southeastern Idaho, Buncombe County, North Carolina","Dominion Energy, PSNC","Natural Gas, Fuel","Operational, Under Construction",USA
distribution mains,"Ohio, North Carolina, Utah, Southwestern Wyoming, Southeastern Idaho",,Natural Gas,Operational,USA
Integrated Underground Storage Facilities,Various Locations,,Natural Gas,Operational,
LNG Terminalling Services,,Dominion Energy,Natural Gas,Stand-Ready Service Contracts,
Ash Pond,Virginia,Virginia Power,,Operational,USA
Landfill,Virginia,Virginia Power,,Operational,USA
Once-Through Cooling Systems,,"Dominion Energy, Virginia Power",Electricity Generation,Operational,
Intake Structure Modifications,,"Dominion Energy, Virginia Power, DESCO","Electricity Generation, Cooling Water For Electricity Generation","Under Construction, Operational",
Nuclear Power Station,"North Anna, Jenkinsville, South Carolina, Virginia","Dominion Energy, Virginia Power, DESCO, Santee Cooper, Eversource Energy, The United Illuminating Company",Electricity Generation,Operational,USA
Dominion Energy Questar Pipeline,,Dominion Energy,,,
Eagle Solar  ,,Dominion Energy,,,
"MountainWest Pipeline, LLC",,Dominion Energy,,,
"Granite Mountain Holdings, LLC",,Dominion Energy,,,
Green Mountain Power Corporation,,Dominion Energy,,,
Greensville County Power Station,"Greensville County, Virginia",Dominion Energy,Electricity Generation,Operational,USA
Renewable Generation Facilities,Virginia,"Dominion Energy, Virginia Power, Vanguard Renewables","Electricity, Renewable Natural Gas","Under Construction, Early Retirement, Operational, Planned Early Retirement, End Of Life, Retired Early, Under Development, Impaired",USA
Rooftop Solar,Distributed Energy Resources,Virginia Power,Electricity,"Operational, Retired",
new utility-scale renewable generation and storage,,"Dominion Energy, Virginia Power","Electricity, Energy Storage","Under Construction, Planned",
Biomass Supply,Virginia,Virginia Power,Electricity Generation,Operational,USA
Utility Generation Assets,"DESC's Service Territory In South Carolina, Virginia","DESC, Dominion Energy","Electricity, Electricity Generation","Operational, Impaired",USA
Gas Combustion Turbine Facilities,Williams and Parr facilities,DESC,Natural Gas,"End-Of-Life, Under Construction",N/A
Smart Meters,DESC's Service Territory In South Carolina,DESC,Electricity,Under Construction,USA
Operating Facilities,,Dominion Energy,"Oil, Gas",Operational,
Carbon-Free Baseload Nuclear Generation  [Nuclear Power Plant],Multiple Locations,Dominion Energy,Electricity,Operational,
Vessel,Offshore,Dominion Energy,,Under Construction,
Solar Farm,Madison,Dominion Energy,Solar Power,Partially Impaired,USA
Dominion Energy Virginia Power Non-Jurisdictional [Including Plant Under Construction],,"Dominion Energy, Virginia Power","Various  




Please provide me with the next column name and cell value so I can continue cleaning the data.",Under Construction,
Bath County Pumped Storage Station,,"Virginia Power, Dominion Energy ",HydroElectricity Generation,Operational,
Substation,"Jasper County, South Carolina",,Electricity Transmission,Under Construction,USA
"A MW Baseload Carbon-Capture Compatible Clean Coal Powered Electric Generation Facility In Wise County, Virginia","Wise County, Virginia",Virginia Power,Electricity,,USA
"Proposed Electric Interconnection And Transmission Facilities [in And Around Virginia Beach, Virginia]","Virginia Beach, Virginia",Virginia Power,Electricity,,USA
"A MW Utility-Scale Solar Power Station [In Louisa County, Virginia]","Louisa County, Virginia, Surry County, Isle of Wight County","Dominion Energy, Virginia Power","Electricity, Solar Power",,USA
facilities under development,"Mid-Atlantic, Southeast, Midwest",Dominion Energy,Electricity,Under Construction,USA
Kewaunee Unit,"Wisconsin, Kewaunee, USA","Dominion Energy, Virginia Power, Dominion Energy Nuclear Connecticut Inc., Massachusetts Municipal, Green Mountain","Nuclear Power Generation, Electricity Generation","Permanently Ceased Operations, End-Of-Life, Held For Sale, Operational",USA
Pumped Hydroelectricity Generation And Storage Facilities,Virginia,Virginia Power,Electric Energy,Operational,USA
energy storage resources,"Virginia, USA","Virginia Power, Dominion Energy","Electric Energy,Energy Production And Delivery,Electricity","Operational, Under Development, Under Construction",USA
jointly-owned power stations,"Bath County, North Anna, Clover, Millstone, Summer",Dominion Energy,Electricity Generation,In Service,USA
Natural Gas Gathering Systems,"Colorado, Utah, Wyoming","Wexpro, Dominion Energy",Natural gas,Operational,USA
Solar Or Wind Generation Facilities,"Nine States Including Virginia, USA","Virginia Power, Dominion Energy","Electricity, Energy Production","Operational, End-Of-Life, Under Development, Impaired",USA
Grassfield Solar ,,Virginia Power,Electricity,Under Construction,
Norway Solar Farm,,Virginia Power,Electricity,Under Construction,
Sycamore Solar  ,,Virginia Power,Electricity,Under Construction,
Virginia Facilities,"Virginia, Coastal Virginia, East Ohio, Utah, Idaho, West Virginia, South Carolina, Pennsylvania, Cove Point, Wyoming, Ohio, North Carolina, Dominion Energy Virginia, Richmond,  PJM","Virginia Power, Dominion Energy, Questar Gas, Hope, SCANA, DESC, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits, Ancillary Services, None","Under Construction, Operational, Held For Sale, Abandoned, End-Of-Life",USA
Steam Cycle ,,,Electricity Generation,"Operational 


Let me know when you're ready for the next cell!",
Sites,SCANA Headquarters,Dominion Energy,,Following State-Approved Groundwater Monitoring Programs,USA
