physical asset,location,ownership,commodity,Countries,USA states
Pipeline Integrity Management Infrastructure,"North Carolina, South Carolina, Virginia, Ohio, Connecticut, California","PSNC, DESC, Dominion Energy","Natural Gas, Electricity",USA,"California, Connecticut, North Carolina, Ohio, South Carolina, Virginia"
Plant,"Central, Southern And Southwestern Portions Of South Carolina And North Carolina, Usa","Dominion Energy, Virginia Power","Electricity, Natural Gas",USA,"North Carolina, South Carolina"
Plant Construction And Other Property Additions,"Central, Southern, Southwestern Portions Of South Carolina, North Carolina, Cayce, Usa",Dominion Energy; Virginia Power,"Electricity Generation, Transmission, Distribution, Natural Gas Distribution, Electricity Generation",USA,"North Carolina, South Carolina"
pollution control equipment,Virginia Power's Generating Facilities,Dominion Energy,,USA,Virginia
Q-Pipe Group ,Dominion Energy's Service Area,"Dominion Energy, Southwest Gas",Natural Gas,,
Real Estate,South Carolina,"Dominion Energy, DESC",,USA,South Carolina
simple cycle combustion turbines,"Virginia, Marine Environment","Virginia Power, Dominion Energy","Electricity,Steel",USA,Virginia
Solar Facilities,"Virginia, Mid-Atlantic, Southeast, Midwest, Louisa, North Anna, Surry, Coastal Virginia, East Ohio, Ohio, North Carolina, South Carolina, Pennsylvania, West Virginia, Utah, Idaho, Wyoming","Dominion Energy, Virginia Power, Terra Nova Renewable Partners, Clearway, Questar Gas, Hope, SCANA, DESC, PSNC, Third Parties ","Electricity, Renewable Energy, Natural Gas, Coal, Carbon Credits, Ancillary Services, Oil,Gas, LNG Import/Export, Energy Production (Natural Gas Operations), GHG Emissions Control, Nuclear Power Generation,  Electric Transmission,  Electric Distribution And Generation Operations",USA,"Idaho, North Carolina, Ohio, Pennsylvania, South Carolina, Utah, Virginia, West Virginia, Wyoming"
Substations,"Virginia, North Carolina","Dominion Energy, Virginia Power",Electricity,USA,"North Carolina, Virginia"
Supply Header Project ,,Dominion Energy,Natural Gas,,
Turbine Technology,,Dominion Energy,,,
Utility Property,South Carolina,"Dominion Energy, DESC",Electricity,USA,South Carolina
Utility-Scale Solar Generation Projects,"Surry County, Virginia; Contracted Energy, North Carolina; South Carolina; Ohio","Virginia Power, Dominion Energy","Solar Energy, Renewable Energy Production, Electricity  

",USA,"North Carolina, Ohio, South Carolina, Virginia"
Vehicles,,Dominion Energy,Transportation,,
Wastewater Treatment Systems,Williams Facility,"Dominion Energy,Virginia Power,DESC","Electricity Generation,Water Treatment",USA,
Nuclear Development Project ,"Jenkinsville, South Carolina","DESC, Santee Cooper",Electricity Generation,USA,South Carolina
Generation Capacity (Regulated Electric Utility And Its Related Energy Supply),Virginia,Dominion Energy,Electricity,USA,Virginia
Data Centers,"Loudon County, Virginia",,,USA,Virginia
transmission projects,"West Virginia, South Carolina, North Carolina, Virginia, Loudoun County, Ohio","Virginia Power, PSNC, Dominion Energy","Electricity, Gas  

",USA,"North Carolina, Ohio, South Carolina, Virginia, West Virginia"
Nuclear Reactors,Surry And North Anna,Virginia Power,Electricity,USA,
Solar Panels,South Carolina,DESC,Electricity,USA,South Carolina
coal facilities,"Eastern Kentucky, Tennessee, Virginia, West Virginia",DESC,,USA,"Kentucky, Tennessee, Virginia, West Virginia"
Nuclear Reactor,South Carolina,"DESC, Santee Cooper, Dominion Energy, Virginia Power","Electricity, Energy Production",USA,South Carolina
Well Construction Activities,,Dominion Energy,"Gas, Oil",,
Infrastructure Improvements,"South Carolina, East Ohio, North Carolina, Texas, Virginia, Utah, Wyoming, Idaho, Ohio","Dominion Energy, Virginia Power, SCANA, DESC, East Ohio, Questar Gas, Wexpro, PSNC","Electricity, Natural Gas, Renewable Energy, Carbon Credits, Solar Operations, Ancillary Services, Energy Transmission, Electric Utilities",USA,"Idaho, North Carolina, Ohio, South Carolina, Texas, Utah, Virginia, Wyoming"
Smaller Electric Generation (Power Plant),"Implied By Dominion Energy's Service Area, Populated Areas 


Let me know if you have more cells to process!",Dominion Energy,Electricity,USA,
Natural Gas Compressor Stations,Dominion Energy Service Area,Dominion Energy,Natural Gas,"The Dominion Energy Service Area encompasses parts of several states within the USA.  

Therefore, the answer is **USA**.",
Coal-Fired Generation Operations,Virginia,"Dominion Energy, Virginia Power",Electricity Generation,USA,Virginia
Other Infrastructure Projects,"South Carolina, East Ohio,  North Carolina, Texas, Utah, Wyoming, Idaho, Ohio, Virginia, West Virginia 


Let me know if you'd like me to process another cell! Ã°ÂÂÂ","Dominion Energy, Virginia Power, SCANA, DESC, East Ohio, Wrangler, Questar Gas, Wexpro, PSNC","Renewable Energy, Gas Distribution, Electricity, Natural Gas, Carbon Credits, Solar Operations,  Energy Transmission,",USA,"Idaho, North Carolina, Ohio, South Carolina, Texas, Utah, Virginia, West Virginia, Wyoming"
Electric Utility Service Territories ,"Eastern Portions Of South Carolina, North Carolina And Virginia",Dominion Energy,Electricity,USA,"North Carolina, South Carolina, Virginia"
"transmission, gathering and storage pipeline","Ohio, North Carolina, Utah, Southwestern Wyoming, Southeastern Idaho, Buncombe County, North Carolina","Dominion Energy, PSNC","Natural Gas, Fuel",USA,"Idaho, North Carolina, Ohio, Utah, Wyoming"
distribution mains,"Ohio, North Carolina, Utah, Southwestern Wyoming, Southeastern Idaho",,Natural Gas,USA,"Idaho, North Carolina, Ohio, Utah, Wyoming"
Integrated Underground Storage Facilities,Various Locations,,Natural Gas,,
LNG Terminalling Services,,Dominion Energy,Natural Gas,,
Ash Pond,Virginia,Virginia Power,,USA,Virginia
Landfill,Virginia,Virginia Power,,USA,Virginia
Once-Through Cooling Systems,,"Dominion Energy, Virginia Power",Electricity Generation,,
Intake Structure Modifications,,"Dominion Energy, Virginia Power, DESCO","Electricity Generation, Cooling Water For Electricity Generation",,
Nuclear Power Station,"North Anna, Jenkinsville, South Carolina, Virginia","Dominion Energy, Virginia Power, DESCO, Santee Cooper, Eversource Energy, The United Illuminating Company",Electricity Generation,USA,"South Carolina, Virginia"
Dominion Energy Questar Pipeline,,Dominion Energy,,,
Eagle Solar  ,,Dominion Energy,,,
"MountainWest Pipeline, LLC",,Dominion Energy,,,
"Granite Mountain Holdings, LLC",,Dominion Energy,,,
Green Mountain Power Corporation,,Dominion Energy,,,
Greensville County Power Station,"Greensville County, Virginia",Dominion Energy,Electricity Generation,USA,Virginia
Renewable Generation Facilities,Virginia,"Dominion Energy, Virginia Power, Vanguard Renewables","Electricity, Renewable Natural Gas",USA,Virginia
Rooftop Solar,Distributed Energy Resources,Virginia Power,Electricity,,
new utility-scale renewable generation and storage,,"Dominion Energy, Virginia Power","Electricity, Energy Storage",,
Biomass Supply,Virginia,Virginia Power,Electricity Generation,USA,Virginia
Utility Generation Assets,"DESC's Service Territory In South Carolina, Virginia","DESC, Dominion Energy","Electricity, Electricity Generation",USA,"South Carolina, Virginia"
Gas Combustion Turbine Facilities,Williams and Parr facilities,DESC,Natural Gas,,
Smart Meters,DESC's Service Territory In South Carolina,DESC,Electricity,USA,South Carolina
Operating Facilities,,Dominion Energy,"Oil, Gas",,
Carbon-Free Baseload Nuclear Generation  [Nuclear Power Plant],Multiple Locations,Dominion Energy,Electricity,,
Vessel,Offshore,Dominion Energy,,,
Solar Farm,Madison,Dominion Energy,Solar Power,USA,
Dominion Energy Virginia Power Non-Jurisdictional [Including Plant Under Construction],,"Dominion Energy, Virginia Power","Various  




Please provide me with the next column name and cell value so I can continue cleaning the data.",,
Bath County Pumped Storage Station,,"Virginia Power, Dominion Energy ",HydroElectricity Generation,,
Substation,"Jasper County, South Carolina",,Electricity Transmission,USA,South Carolina
"A MW Baseload Carbon-Capture Compatible Clean Coal Powered Electric Generation Facility In Wise County, Virginia","Wise County, Virginia",Virginia Power,Electricity,USA,Virginia
"Proposed Electric Interconnection And Transmission Facilities [in And Around Virginia Beach, Virginia]","Virginia Beach, Virginia",Virginia Power,Electricity,USA,Virginia
"A MW Utility-Scale Solar Power Station [In Louisa County, Virginia]","Louisa County, Virginia, Surry County, Isle of Wight County","Dominion Energy, Virginia Power","Electricity, Solar Power",USA,Virginia
facilities under development,"Mid-Atlantic, Southeast, Midwest",Dominion Energy,Electricity,USA,
Kewaunee Unit,"Wisconsin, Kewaunee, USA","Dominion Energy, Virginia Power, Dominion Energy Nuclear Connecticut Inc., Massachusetts Municipal, Green Mountain","Nuclear Power Generation, Electricity Generation",USA,Wisconsin
Pumped Hydroelectricity Generation And Storage Facilities,Virginia,Virginia Power,Electric Energy,USA,Virginia
energy storage resources,"Virginia, USA","Virginia Power, Dominion Energy","Electric Energy,Energy Production And Delivery,Electricity",USA,Virginia
jointly-owned power stations,"Bath County, North Anna, Clover, Millstone, Summer",Dominion Energy,Electricity Generation,USA,
Natural Gas Gathering Systems,"Colorado, Utah, Wyoming","Wexpro, Dominion Energy",Natural gas,USA,"Colorado, Utah, Wyoming"
Solar Or Wind Generation Facilities,"Nine States Including Virginia, USA","Virginia Power, Dominion Energy","Electricity, Energy Production",USA,Virginia
Grassfield Solar ,,Virginia Power,Electricity,,
Norway Solar Farm,,Virginia Power,Electricity,,
Sycamore Solar  ,,Virginia Power,Electricity,,
Virginia Facilities,"Virginia, Coastal Virginia, East Ohio, Utah, Idaho, West Virginia, South Carolina, Pennsylvania, Cove Point, Wyoming, Ohio, North Carolina, Dominion Energy Virginia, Richmond,  PJM","Virginia Power, Dominion Energy, Questar Gas, Hope, SCANA, DESC, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits, Ancillary Services, None",USA,"Idaho, North Carolina, Ohio, Pennsylvania, South Carolina, Utah, Virginia, West Virginia, Wyoming"
Steam Cycle ,,,Electricity Generation,,
Sites,SCANA Headquarters,Dominion Energy,,USA,
