Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Barrels),Region PADD,Primary Shareholders
Nghi Son Refinery (Nghi Son Refining and Petrochemical Limited Liability Company),Oil Refinery,Vietnam,Oil / Oil Products,Nghi Son Refining and Petrochemical Limited Liability Company,Normal Operation,"400,000.00",,Idemitsu Kosan Co Ltd
Rabigh (Rabigh Refining and Petrochemical Company SJSC),Oil Refinery,Saudi Arabia,Oil / Oil Products,Rabigh Refining and Petrochemical Company SJSC,Normal Operation,"400,000.00",,Saudi Aramco
Yanbu SAMREF Refinery (Saudi Aramco Mobil Refinery Ltd),Oil Refinery,Saudi Arabia,Oil / Oil Products,Saudi Aramco Mobil Refinery Ltd,Normal Operation,"400,000.00",,Saudi Aramco
Negishi (ENEOS Corporation),Oil Refinery,Japan,Oil / Oil Products,ENEOS Corporation,Normal Operation,"395,000.00",,Eneos Corp
Fawley (Esso Petroleum Company Ltd),Oil Refinery,United Kingdom,Oil / Oil Products,Esso Petroleum Company Ltd,Normal Operation,"390,000.00",,Exxon Mobil Corp
Strathcona Refinery (Imperial Oil Ltd),Oil Refinery,Canada,Oil / Oil Products,Imperial Oil Ltd,Normal Operation,"391,000.00",,Imperial Oil Ltd
Angarsk Refinery (Rosneft NK PAO),Oil Refinery,Siberian Federal District,Oil / Oil Products,Rosneft NK PAO,Normal Operation,"387,000.00",,NK Rosneft' PAO
Mangalore (Mangalore Refinery & Petrochemicals Limited),Oil Refinery,India,Oil / Oil Products,Mangalore Refinery & Petrochemicals Limited,Normal Operation,"375,000.00",,Oil and Natural Gas Corporation Ltd
Pascagoula (Chevron Corporation),Oil Refinery,Mississippi,Oil / Oil Products,Chevron Corporation,Normal Operation,"375,000.00",Gulf Coast (PADD III),Chevron Corp
Volgograd Refinery (LUKOIL-Volgogradneftepererabotka LLC),Oil Refinery,Southern Federal District,Oil / Oil Products,LUKOIL-Volgogradneftepererabotka LLC,Normal Operation,"372,000.00",,Lukoil
Kremenchug (Ukrtatnafta),Oil Refinery,Ukraine,Oil / Oil Products,Ukrtatnafta,Mothballed,"372,000.00",,Ukrtatnafta
Beijing Refinery (SINOPEC Beijing Yanshan Petrochemical Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,SINOPEC Beijing Yanshan Petrochemical Ltd,Normal Operation,"370,000.00",,Sinopec Corp
Gonfreville Refinery (Normandie) (Total Refining & Chemicals Saudi Arabia Sas),Oil Refinery,Northern France,Oil / Oil Products,Total Refining & Chemicals Saudi Arabia Sas,Normal Operation,"364,500.00",,Total
Antwerpen (TotalEnergies SE),Oil Refinery,Belgium,Oil / Oil Products,TotalEnergies SE,Normal Operation,"362,000.00",,Total SA
Corpus Christi Refinery - West (Flint Hills Resources LLC),Oil Refinery,Texas,Oil / Oil Products,Flint Hills Resources LLC,Normal Operation,"363,000.00",Gulf Coast (PADD III),Flint Hills Resources
Nizhegorodnefteorgsintez Refinery (Lukoil-Nizhegorodnefteorgsintez OAO),Oil Refinery,Volga Federal District,Oil / Oil Products,Lukoil-Nizhegorodnefteorgsintez OAO,Normal Operation,"359,200.00",,Lukoil
Mumbai (Bharat Petroleum Corporation Limited),Oil Refinery,India,Oil / Oil Products,Bharat Petroleum Corporation Limited,Normal Operation,"360,000.00",,Bharat Petroleum Corp Ltd
Pine Bend Refinery (Flint Hills Resources LLC),Oil Refinery,Minnesota,Oil / Oil Products,Flint Hills Resources LLC,Normal Operation,"355,000.00",Midwest (PADD II),Flint Hills Resources
RU VI - Balongan Refinery (PT Pertamina Persero),Oil Refinery,Indonesia,Oil / Oil Products,PT Pertamina Persero,Normal Operation,"350,000.00",,Pertamina (Persero) PT
Barrancabermeja Refinery (Ecopetrol),Oil Refinery,Colombia,Oil / Oil Products,Ecopetrol,Normal Operation,"350,000.00",,Ecopetrol
RU IV - Cilacap Refinery (PT Pertamina Persero),Oil Refinery,Indonesia,Oil / Oil Products,PT Pertamina Persero,Normal Operation,"348,000.00",,Pertamina (Persero) PT
Visakhapatnam (Hindustan Petroleum Corporation Limited),Oil Refinery,India,Oil / Oil Products,Hindustan Petroleum Corporation Limited,Normal Operation,"346,000.00",,Hindustan Petroleum Corp Ltd
Richmond (Chevron Corporation),Oil Refinery,California,Oil / Oil Products,Chevron Corporation,Normal Operation,"340,000.00",West Coast (PADD V),Chevron Corp
Deer Park (Deer Park Refining LP),Oil Refinery,Texas,Oil / Oil Products,Deer Park Refining LP,Normal Operation,"340,000.00",Gulf Coast (PADD III),Pemex
Bandar Abbas (National Iranian Oil Refining And Distribution),Oil Refinery,Iran,Oil / Oil Products,National Iranian Oil Refining And Distribution,Normal Operation,"340,000.00",,National Iranian Oil Co
Antwerp (Total Polymers Antwerp NV),Oil Refinery,Belgium,Oil / Oil Products,Total Polymers Antwerp NV,Normal Operation,"338,000.00",,Total
Refineria Lazaro Cardenas (Minatitlan) (Pemex Transformacion Industrial),Oil Refinery,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Normal Operation,"335,000.00",,Pemex
Tuapse Refinery (NK Rosneft' PAO),Oil Refinery,Southern Federal District,Oil / Oil Products,NK Rosneft' PAO,Normal Operation,"330,000.00",,NK Rosneft' PAO
Shanghai Refinery (Sinopec Shanghai Petrochemical Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Shanghai Petrochemical Co Ltd,Normal Operation,"330,000.00",,KPC
Huludao Refinery (Petrochina Jinxi Petrochemical Design House),Oil Refinery,North-East China,Oil / Oil Products,Petrochina Jinxi Petrochemical Design House,Normal Operation,"330,000.00",,China National Petroleum Corporation
Moscow Refinery (Gazprom Neft PAO),Oil Refinery,Central Federal District,Oil / Oil Products,Gazprom Neft PAO,Normal Operation,"331,000.00",,Gazprom Neft
Skikda (Sonatrach),Oil Refinery,Algeria,Oil / Oil Products,Sonatrach,Normal Operation,"330,000.00",,Sonatrach
Refineria Ingeniero Antonio Dovali Jaime (Salina Cruz) (Pemex Transformacion Industrial),Oil Refinery,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Normal Operation,"325,000.00",,Pemex
Port Arthur (Valero Refining Company-California),Oil Refinery,Texas,Oil / Oil Products,Valero Refining Company-California,Normal Operation,"325,000.00",Gulf Coast (PADD III),Valero Energy Corp
Salavat Refinery (Gazprom Neft PAO),Oil Refinery,Volga Federal District,Oil / Oil Products,Gazprom Neft PAO,Normal Operation,"318,500.00",,Gazprom Neft
Ruwais Refinery 1 (East) (ADNOC Refining),Oil Refinery,Abu Dhabi,Oil / Oil Products,ADNOC Refining,Normal Operation,"320,000.00",,Abu Dhabi National Oil Company
MiRO Refinery Karlsruhe (Mineraloelraffinerie Oberrhein GmbH & Co KG),Oil Refinery,Germany,Oil / Oil Products,Mineraloelraffinerie Oberrhein GmbH & Co KG,Normal Operation,"318,400.00",,Dea Mineraloel AG
RU II - Dumai Refinery (PT Pertamina Persero),Oil Refinery,Indonesia,Oil / Oil Products,PT Pertamina Persero,Normal Operation,"320,000.00",,Pertamina (Persero) PT
Dushanzi (PetroChina Dushanzi Petrochemical Company),Oil Refinery,China (Mainland),Oil / Oil Products,PetroChina Dushanzi Petrochemical Company,Normal Operation,"320,000.00",,PetroChina
Nanjing Refinery (SINOPEC Yangzi Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,SINOPEC Yangzi Petrochemical Company Limited,Normal Operation,"320,000.00",,Sinopec Corp
Lanzhou (CNPC Lanzhou Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,CNPC Lanzhou Petrochemical Company Limited,Normal Operation,"320,000.00",,PetroChina
Stanlow (Essar Oil UK),Oil Refinery,United Kingdom,Oil / Oil Products,Essar Oil UK,Normal Operation,"320,000.00",,Nayara Energy Ltd
Refineria Miguel Hidalgo (Tula De Allende) (Pemex Transformacion Industrial),Oil Refinery,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Normal Operation,"315,000.00",,Pemex
Refinaria de Mataripe (ex RLAM) (Petroleo Brasileiro SA Petrobras),Oil Refinery,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Normal Operation,"314,500.00",,Petrobras
Gaslub Refinery (Petrobras),Oil Refinery,Brazil,Oil / Oil Products,Petrobras,Cancelled,"315,000.00",,Petroleo Brasileiro SA
Kawasaki (ENEOS Corporation),Oil Refinery,Japan,Oil / Oil Products,ENEOS Corporation,Normal Operation,"314,000.00",,Exxon Mobil Corp
Ufaneftekhim Refinery (ANK Bashneft' PAO),Oil Refinery,Volga Federal District,Oil / Oil Products,ANK Bashneft' PAO,Normal Operation,"310,000.00",,Bashneft
Tianjin (SINOPEC Tianjin Co),Oil Refinery,China (Mainland),Oil / Oil Products,SINOPEC Tianjin Co,Normal Operation,"310,000.00",,
Tianjin (Tianjin Linxian Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Tianjin Linxian Petrochemical Company Limited,Cancelled,"310,000.00",,Sinopec Corp
Guangzhou (China Petroleum & Chemical Corporation),Oil Refinery,China (Mainland),Oil / Oil Products,China Petroleum & Chemical Corporation,Normal Operation,"310,000.00",,Sinopec Corp
Houston (Houston Refining LP),Oil Refinery,Texas,Oil / Oil Products,Houston Refining LP,Normal Operation,"308,000.00",Gulf Coast (PADD III),LyondellBasell Industries N.V.
TANECO Refinery (Tatneft' PAO),Oil Refinery,Volga Federal District,Oil / Oil Products,Tatneft' PAO,Normal Operation,"303,000.00",,TAIF
Refineria Francisco I Madero (Ciudad Madero) (Pemex Transformacion Industrial),Oil Refinery,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Normal Operation,"300,000.00",,Pemex
Jurong Refinery (Mainland) (ExxonMobil Asia Pacific Pte Ltd),Oil Refinery,Singapore,Oil / Oil Products,ExxonMobil Asia Pacific Pte Ltd,Normal Operation,"300,000.00",,Exxon Mobil Corp
Caspian Refinery (National Iranian Oil Refining And Distribution),Oil Refinery,Iran,Oil / Oil Products,National Iranian Oil Refining And Distribution,Cancelled,"300,000.00",,National Iranian Oil Refining & Distribution Company
Pengerang Petrochemical Complex (RAPID) (Petroliam Nasional Bhd (Petronas)- Petrochemicals Business),Oil Refinery,Malaysia,Oil / Oil Products,Petroliam Nasional Bhd (Petronas)- Petrochemicals Business,Not Applicable,"300,000.00",,
Parepare (PT Kilang Minyak Intan Nusantara Rempang),Oil Refinery,Indonesia,Oil / Oil Products,PT Kilang Minyak Intan Nusantara Rempang,Cancelled,"300,000.00",,Kilang Minyak Intan Nusantara Rempang PT
Mazeikiai Refinery (Orlen Lietuva AB),Oil Refinery,Lithuania,Oil / Oil Products,Orlen Lietuva AB,Normal Operation,"300,000.00",,PKN Orlen
Saras Refinery (Saras Raffinerie Sarde SpA),Oil Refinery,Italy,Oil / Oil Products,Saras Raffinerie Sarde SpA,Normal Operation,"300,000.00",,Saras SpA
An Nasiriyah Refinery Two (South Refineries Company),Oil Refinery,Iraq,Oil / Oil Products,South Refineries Company,Planned,"300,000.00",,South Refineries Company
Little Aden Refinery (Aden Refinery Co),Oil Refinery,Yemen,Oil / Oil Products,Aden Refinery Co,Mothballed,"300,000.00",,Aden Refinery Company
Hi-Tech-Cosmopolitan Refinery (Cosmopolitan Oil Refinery Management Ltd),Oil Refinery,Bangladesh,Oil / Oil Products,Cosmopolitan Oil Refinery Management Ltd,Not Applicable,"300,000.00",,
Cuddalore (Nagarjuna Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Nagarjuna Oil Corporation Ltd,Not Applicable,"300,000.00",,
Lianyungang Refinery (China Petroleum & Chemical Corporation),Oil Refinery,China (Mainland),Oil / Oil Products,China Petroleum & Chemical Corporation,Cancelled,"300,000.00",,China Petroleum & Chemical Corporation
Bandar Abbas Refinery (Essar Global Fund Limited),Oil Refinery,Iran,Oil / Oil Products,Essar Global Fund Limited,Cancelled,"300,000.00",,
Chang Hwa (Chinese Petroleum Corporation (CPC)),Oil Refinery,Taiwan,Oil / Oil Products,Chinese Petroleum Corporation (CPC),Not Applicable,"300,000.00",,CPC Corp
Shanghai Refinery (Sinopec Shanghai Gaoqiao Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Shanghai Gaoqiao Petrochemical Company Limited,Normal Operation,"300,000.00",,Sinopec Corp
Barauni (Indian Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Ltd,Normal Operation,"300,000.00",,Indian Oil Corp
Yaroslavl Refinery (JSC Slavneft-YANOS) (Slavneftekhim IP ZAO),Oil Refinery,Central Federal District,Oil / Oil Products,Slavneftekhim IP ZAO,Normal Operation,"300,000.00",,NK Rosneft' PAO
Saint John Refinery (Irving Oil Limited),Oil Refinery,Canada,Oil / Oil Products,Irving Oil Limited,Normal Operation,"300,000.00",,Irving Oil
Barmer (Oil and Natural Gas Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Oil and Natural Gas Corporation Ltd,Cancelled,"300,000.00",,Oil and Natural Gas Corporation Ltd
SASREF Al Jubail Refinery (Saudi Aramco Shell Refinery Co),Oil Refinery,Saudi Arabia,Oil / Oil Products,Saudi Aramco Shell Refinery Co,Normal Operation,"300,000.00",,Shell
Jurong Island (PAC) Refinery (ExxonMobil Asia Pacific Pte Ltd),Oil Refinery,Singapore,Oil / Oil Products,ExxonMobil Asia Pacific Pte Ltd,Normal Operation,"300,000.00",,Exxon Mobil Corp
Cardon Refinery (Petroleos de Venezuela SA),Oil Refinery,Venezuela,Oil / Oil Products,Petroleos de Venezuela SA,Normal Operation,"295,000.00",,PDVSA
Sweeny (Phillips 66),Oil Refinery,Texas,Oil / Oil Products,Phillips 66,Normal Operation,"286,000.00",Gulf Coast (PADD III),Phillips 66
Jurong Island Refinery (Singapore Refining Company Pte Ltd),Oil Refinery,Singapore,Oil / Oil Products,Singapore Refining Company Pte Ltd,Normal Operation,"285,000.00",,Spc
Hainan (Sinopec Hainan Refining & Chemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Hainan Refining & Chemical Company Limited,Normal Operation,"284,000.00",,Sinopec Corp
Ningbo (Daxie) Refinery (CNOOC Ningbo Daxie Petrochemical Limited),Oil Refinery,China (Mainland),Oil / Oil Products,CNOOC Ningbo Daxie Petrochemical Limited,Normal Operation,"280,000.00",,China National Offshore Oil Corp (CNOOC)
Kuibyshev refinery (Kuibyshev Refinery OJSC),Oil Refinery,Volga Federal District,Oil / Oil Products,Kuibyshev Refinery OJSC,Normal Operation,"280,000.00",,NK Rosneft' PAO
Fushun (China National Petroleum Corporation),Oil Refinery,China (Mainland),Oil / Oil Products,China National Petroleum Corporation,Normal Operation,"280,000.00",,PetroChina
Shanghai refinery (Sinopec Shanghai Petrochemical Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Shanghai Petrochemical Co Ltd,Not Applicable,"280,000.00",,China Petroleum & Chemical Corporation
Cangzhou Refinery (Hebei Xinhai Chemical Group Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Hebei Xinhai Chemical Group Company Limited,Normal Operation,"280,000.00",,
El Palito (PDVSA Refinacion),Oil Refinery,Venezuela,Oil / Oil Products,PDVSA Refinacion,Normal Operation,"280,000.00",,PDVSA
Basra Refinery (South Refineries Company),Oil Refinery,Iraq,Oil / Oil Products,South Refineries Company,Normal Operation,"280,000.00",,Iraq National Oil Co (Inoc)
Plock (PKN Orlen SA),Oil Refinery,Poland,Oil / Oil Products,PKN Orlen SA,Normal Operation,"277,808.00",,PKN Orlen
Incheon (SK Incheon Petrochem Co Ltd),Oil Refinery,South Korea,Oil / Oil Products,SK Incheon Petrochem Co Ltd,Normal Operation,"275,000.00",,SK Networks Resources Australia Pty Ltd
Bina (Bharat Oman Refineries Bina),Oil Refinery,India,Oil / Oil Products,Bharat Oman Refineries Bina,Normal Operation,"276,000.00",,Bharat Petroleum Corporation Ltd
Perm Refinery (LUKOIL-Permnefteorgsintez LLC),Oil Refinery,Volga Federal District,Oil / Oil Products,LUKOIL-Permnefteorgsintez LLC,Normal Operation,"275,600.00",,Lukoil
Daurah (Midland Refineries Company),Oil Refinery,Iraq,Oil / Oil Products,Midland Refineries Company,Normal Operation,"275,000.00",,Iraq National Oil Co (Inoc)
Refineria Ingeniero Hector R Lara Sosa (Cadereyta) (Pemex Transformacion Industrial),Oil Refinery,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Normal Operation,"270,000.00",,Pemex
Antwerp (ESSO BELGIUM(EXXON CORP)),Oil Refinery,Belgium,Oil / Oil Products,ESSO BELGIUM(EXXON CORP),Normal Operation,"270,000.00",,ExxonMobil Corp
Jean Gaulin (Valero Energy Corporation),Oil Refinery,Canada,Oil / Oil Products,Valero Energy Corporation,Normal Operation,"265,000.00",,Valero Energy Corp
San Nicolas (Refineria di Aruba N.V.),Oil Refinery,Aruba,Oil / Oil Products,Refineria di Aruba N.V.,Mothballed,"265,000.00",,CITGO Petroleum Corp
Ingolstadt (Bayernoil Raffineriegesellschaft mbH),Oil Refinery,Germany,Oil / Oil Products,Bayernoil Raffineriegesellschaft mbH,Not Applicable,"262,000.00",,OMV
El Segundo (Chevron Corporation),Oil Refinery,California,Oil / Oil Products,Chevron Corporation,Normal Operation,"260,000.00",West Coast (PADD V),Chevron Corp
Lake Charles Refinery (Phillips 66),Oil Refinery,Louisiana,Oil / Oil Products,Phillips 66,Normal Operation,"260,000.00",Gulf Coast (PADD III),Phillips 66
RU V - Balikpapan Refinery (PT Pertamina Persero),Oil Refinery,Indonesia,Oil / Oil Products,PT Pertamina Persero,Normal Operation,"260,000.00",,Pertamina (Persero) PT
Yueyang Refinery (SINOPEC Changling Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,SINOPEC Changling Company Limited,Normal Operation,"260,000.00",,China Petroleum & Chemical Corporation
Wilhelmshaven (HES Wilhelmshaven Tank Terminal GmbH),Oil Refinery,Germany,Oil / Oil Products,HES Wilhelmshaven Tank Terminal GmbH,Normal Operation,"260,000.00",,Conoco
Kunming Anning Refinery (PetroChina Yunnan Petrochemical Company),Oil Refinery,China (Mainland),Oil / Oil Products,PetroChina Yunnan Petrochemical Company,Normal Operation,"260,000.00",,China National Petroleum Corporation
