physical asset,location,ownership,commodity,status,Countries,USA states
Distribution Facilities,"Florida,USA  Canada",NextEra Energy,Renewable Energy,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",NextEra Energy,Renewable Energy,"Operational,Unavailable,Damaged",Canada,Florida
Distribution Facilities,"Florida,USA  Canada",Gulf Power Company,Electricity,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",Gulf Power Company,Electricity,"Operational,Unavailable,Damaged",Canada,Florida
Distribution Facilities,"Florida,USA  Canada",Gulf Power Company,Fuel,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",Gulf Power Company,Fuel,"Operational,Unavailable,Damaged",Canada,Florida
Distribution Facilities,"Florida,USA  Canada",Gulf Power Company,Renewable Energy,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",Gulf Power Company,Renewable Energy,"Operational,Unavailable,Damaged",Canada,Florida
Duane Arnold Energy Center,USA,NextEra Energy,Electricity,Operational,USA,
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",Florida Power & Light Company,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",Florida Power & Light Company,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",Florida Power & Light Company,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",Florida Power & Light Company,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy Resources,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy Resources,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy Resources,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Electric Generation And Transmission Facilities,"Florida,USA,Canada.",NextEra Energy Resources,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Electric Plant,,NextEra Energy,Electricity,In Service  Operational,nan,
Electric Plant,,Florida Power & Light Company,Electricity,In Service  Operational,nan,
Electric Power And Energy Infrastructure,,NextEra Energy,Electricity,,nan,
Electric Property,,NextEra Energy,Electricity,Operational,nan,
Electric Property,,NextEra Energy,Oil,Operational,nan,
Electric Property,,NextEra Energy,Natural Gas,Operational,nan,
Electric Property,,NextEra Energy,Nuclear Fuel,Operational,nan,
Electric Property,,Florida Power & Light Company,Electricity,Operational,nan,
Electric Property,,Florida Power & Light Company,Oil,Operational,nan,
Electric Property,,Florida Power & Light Company,Natural Gas,Operational,nan,
Electric Property,,Florida Power & Light Company,Nuclear Fuel,Operational,nan,
Electric Transmission Line,"Midwest,Nevada,USA,Canada",Florida Power & Light Company,Electricity,"Operational,Under Construction",USA,Nevada
Electric Transmission Line,"Midwest,Nevada,USA,Canada",Florida Power & Light Company,Electricity,"Operational,Under Construction",Canada,Nevada
Electric Transmission Line,"Midwest,Nevada,USA,Canada",GridLiance,Electricity,"Operational,Under Construction",USA,Nevada
Electric Transmission Line,"Midwest,Nevada,USA,Canada",GridLiance,Electricity,"Operational,Under Construction",Canada,Nevada
Electric Transmission Line,"Midwest,Nevada,USA,Canada",NextEra Energy Transmission,Electricity,"Operational,Under Construction",USA,Nevada
Electric Transmission Line,"Midwest,Nevada,USA,Canada",NextEra Energy Transmission,Electricity,"Operational,Under Construction",Canada,Nevada
Electric Transmission Line,"Midwest,Nevada,USA,Canada",NextEra Energy,Electricity,"Operational,Under Construction",USA,Nevada
Electric Transmission Line,"Midwest,Nevada,USA,Canada",NextEra Energy,Electricity,"Operational,Under Construction",Canada,Nevada
Electric Utility Plant,Florida,NextEra Energy,Electricity,Operational,USA,Florida
Electric Utility Plant,Florida,NextEra Energy,Oil,Operational,USA,Florida
Electric Utility Plant,Florida,NextEra Energy,Natural Gas,Operational,USA,Florida
Electric Utility Plant,Florida,NextEra Energy,Nuclear Fuel,Operational,USA,Florida
Electric Utility Plant,Florida,Florida Power & Light Company,Electricity,Operational,USA,Florida
Electric Utility Plant,Florida,Florida Power & Light Company,Oil,Operational,USA,Florida
Electric Utility Plant,Florida,Florida Power & Light Company,Natural Gas,Operational,USA,Florida
Electric Utility Plant,Florida,Florida Power & Light Company,Nuclear Fuel,Operational,USA,Florida
Equipment,Florida  and its Coastal Areas,NextEra Energy,Electricity,"Operational,Under Construction,End-Of-Life",USA,Florida
Equipment,Florida  and its Coastal Areas,NextEra Energy,Wind Energy,"Operational,Under Construction,End-Of-Life",USA,Florida
Equipment,Florida  and its Coastal Areas,Florida Power & Light Company,Electricity,"Operational,Under Construction,End-Of-Life",USA,Florida
Equipment,Florida  and its Coastal Areas,Florida Power & Light Company,Wind Energy,"Operational,Under Construction,End-Of-Life",USA,Florida
Equipment,Florida  and its Coastal Areas,Gulf Power Company,Electricity,"Operational,Under Construction,End-Of-Life",USA,Florida
Equipment,Florida  and its Coastal Areas,Gulf Power Company,Wind Energy,"Operational,Under Construction,End-Of-Life",USA,Florida
Equipment,Florida  and its Coastal Areas,NextEra Energy Resources,Electricity,"Operational,Under Construction,End-Of-Life",USA,Florida
Equipment,Florida  and its Coastal Areas,NextEra Energy Resources,Wind Energy,"Operational,Under Construction,End-Of-Life",USA,Florida
Florida Southeast Connection,Florida,NextEra Energy,Electricity,Operational,USA,Florida
Gas Infrastructure,"Florida,North America",NextEra Energy,Natural Gas,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",NextEra Energy,Oil,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",NextEra Energy,Electricity,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",NextEra Energy,Solar Energy,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",NextEra Energy,Fuel,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Florida Power & Light Company,Natural Gas,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Florida Power & Light Company,Oil,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Florida Power & Light Company,Electricity,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Florida Power & Light Company,Solar Energy,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Florida Power & Light Company,Fuel,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Gulf Power Company,Natural Gas,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Gulf Power Company,Oil,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Gulf Power Company,Electricity,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Gulf Power Company,Solar Energy,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Infrastructure,"Florida,North America",Gulf Power Company,Fuel,"Operational,Under Construction,End-Of-Life,Under Development,Damaged",USA,Florida
Gas Pipelines,"USA,Southern Florida,Southwestern Alabama,Central Florida,Southeastern Pennsylvania,Northeastern Pennsylvania,West Virginia,Virginia,Midwest,South",NextEra Energy,Natural Gas,Operational,USA,"Alabama,Florida,Pennsylvania,Virginia,West Virginia"
Gas Pipelines,"USA,Southern Florida,Southwestern Alabama,Central Florida,Southeastern Pennsylvania,Northeastern Pennsylvania,West Virginia,Virginia,Midwest,South",NextEra Energy,Oil,Operational,USA,"Alabama,Florida,Pennsylvania,Virginia,West Virginia"
Gas Pipelines,"USA,Southern Florida,Southwestern Alabama,Central Florida,Southeastern Pennsylvania,Northeastern Pennsylvania,West Virginia,Virginia,Midwest,South",Florida Power & Light Company,Natural Gas,Operational,USA,"Alabama,Florida,Pennsylvania,Virginia,West Virginia"
Gas Pipelines,"USA,Southern Florida,Southwestern Alabama,Central Florida,Southeastern Pennsylvania,Northeastern Pennsylvania,West Virginia,Virginia,Midwest,South",Florida Power & Light Company,Oil,Operational,USA,"Alabama,Florida,Pennsylvania,Virginia,West Virginia"
Generation Or Transmission Facility,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy,Electricity,"Operational,Under Construction",USA,Florida
Generation Or Transmission Facility,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",Florida Power & Light Company,Electricity,"Operational,Under Construction",USA,Florida
Generation Or Transmission Facility,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy Resources,Electricity,"Operational,Under Construction",USA,Florida
Generation Plants,"Turkey Point,St. Lucie,Duane Arnold,Seabrook",Florida Power & Light Company,Electricity,"Operational,Decommissioning,Under Construction",USA,
Generation Plants,"Turkey Point,St. Lucie,Duane Arnold,Seabrook",Florida Power & Light Company,Nuclear Energy,"Operational,Decommissioning,Under Construction",USA,
Generation Plants,"Turkey Point,St. Lucie,Duane Arnold,Seabrook",NextEra Energy,Electricity,"Operational,Decommissioning,Under Construction",USA,
Generation Plants,"Turkey Point,St. Lucie,Duane Arnold,Seabrook",NextEra Energy,Nuclear Energy,"Operational,Decommissioning,Under Construction",USA,
Kilovolt Equipment,"Texas,Florida,North America,Kansas,Oklahoma",Public Utility Commission of Texas,Electricity,In Service,USA,"Florida,Kansas,Oklahoma,Texas"
Kilovolt Equipment,"Texas,Florida,North America,Kansas,Oklahoma",NextEra Energy,Electricity,In Service,USA,"Florida,Kansas,Oklahoma,Texas"
Kilovolt Equipment,"Texas,Florida,North America,Kansas,Oklahoma",Florida Power & Light Company,Electricity,In Service,USA,"Florida,Kansas,Oklahoma,Texas"
Kilovolt Equipment,"Texas,Florida,North America,Kansas,Oklahoma",Southwest Power Pool,Electricity,In Service,USA,"Florida,Kansas,Oklahoma,Texas"
Kilovolt Equipment,"Texas,Florida,North America,Kansas,Oklahoma",ERCOT,Electricity,In Service,USA,"Florida,Kansas,Oklahoma,Texas"
Mountain Valley Pipeline,,NextEra Energy Resources,Renewable Energy,"End Of Life,Under Construction,Operational",nan,
Mountain Valley Pipeline,,NextEra Energy,Renewable Energy,"End Of Life,Under Construction,Operational",nan,
Natural Gas And Oil Electric Generation Facility,USA,NextEra Energy,Electricity,Operational,USA,
Natural Gas And Oil Electric Generation Facility,USA,NextEra Energy,Natural Gas,Operational,USA,
Natural Gas And Oil Electric Generation Facility,USA,NextEra Energy,Oil,Operational,USA,
Natural Gas And Oil Electric Generation Facility,USA,Florida Power & Light Company,Electricity,Operational,USA,
Natural Gas And Oil Electric Generation Facility,USA,Florida Power & Light Company,Natural Gas,Operational,USA,
Natural Gas And Oil Electric Generation Facility,USA,Florida Power & Light Company,Oil,Operational,USA,
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Florida Power & Light Company,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Florida Power & Light Company,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Florida Power & Light Company,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Florida Power & Light Company,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Florida Power & Light Company,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Florida Power & Light Company,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Gulf Power Company,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Gulf Power Company,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Gulf Power Company,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Gulf Power Company,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Gulf Power Company,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",Gulf Power Company,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy Resources,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy Resources,Natural Gas,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy Resources,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy Resources,Electricity,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy Resources,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",USA,Florida
Natural Gas Facilities,"Florida,USA,Ontario,North America",NextEra Energy Resources,Renewable Energy,"Operational,Unavailable,Under Construction,Under Development,Impaired,Damaged",Canada,Florida
Natural Gas,,NextEra Energy,Natural Gas,Operational,nan,
Natural Gas,,NextEra Energy,Oil,Operational,nan,
Natural Gas,,Florida Power & Light Company,Natural Gas,Operational,nan,
Natural Gas,,Florida Power & Light Company,Oil,Operational,nan,
Oil and Other Fuel Transportation,,NextEra Energy,Natural Gas,Operational,nan,
Oil and Other Fuel Transportation,,NextEra Energy,Oil,Operational,nan,
Oil and Other Fuel Transportation,,Florida Power & Light Company,Natural Gas,Operational,nan,
Oil and Other Fuel Transportation,,Florida Power & Light Company,Oil,Operational,nan,
Processing and Storage Facilities,,NextEra Energy,Natural Gas,Operational,nan,
Processing and Storage Facilities,,NextEra Energy,Oil,Operational,nan,
Processing and Storage Facilities,,Florida Power & Light Company,Natural Gas,Operational,nan,
Processing and Storage Facilities,,Florida Power & Light Company,Oil,Operational,nan,
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",NextEra Energy,Electricity,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",USA,Florida
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",NextEra Energy,Electricity,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",Spain,Florida
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",NextEra Energy,Renewable Energy,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",USA,Florida
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",NextEra Energy,Renewable Energy,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",Spain,Florida
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",Florida Power & Light Company,Electricity,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",USA,Florida
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",Florida Power & Light Company,Electricity,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",Spain,Florida
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",Florida Power & Light Company,Renewable Energy,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",USA,Florida
Nuclear Generation Facilities,"Florida,USA,Europe,North America,Spain",Florida Power & Light Company,Renewable Energy,"Operational,Under Construction,End-Of-Life,Potential For Development,Unavailable,Damaged",Spain,Florida
Nuclear Units,"Florida,Turkey Point",NextEra Energy Resources,Electricity,"Operational,Decommissioning,In Service,Under Construction,End Of Life",USA,Florida
Nuclear Units,"Florida,Turkey Point",Florida Power & Light Company,Electricity,"Operational,Decommissioning,In Service,Under Construction,End Of Life",USA,Florida
Other Commodity Transportation Facilities,,NextEra Energy,nan,Operational,nan,
Other Commodity Transportation Facilities,,Florida Power & Light Company,nan,Operational,nan,
Physical Inventory,,nan,nan,,nan,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy,Natural Gas,"Operational,Impaired",USA,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy,Natural Gas,"Operational,Impaired",Canada,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy,Oil,"Operational,Impaired",USA,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy,Oil,"Operational,Impaired",Canada,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",Florida Power & Light Company,Natural Gas,"Operational,Impaired",USA,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",Florida Power & Light Company,Natural Gas,"Operational,Impaired",Canada,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",Florida Power & Light Company,Oil,"Operational,Impaired",USA,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",Florida Power & Light Company,Oil,"Operational,Impaired",Canada,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy Resources,Natural Gas,"Operational,Impaired",USA,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy Resources,Natural Gas,"Operational,Impaired",Canada,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy Resources,Oil,"Operational,Impaired",USA,
Pipeline,"Land Under Easement,Rights-Of-Way Or Leased From Owners Of Private Property Or Governmental Entities,USA And Canada",NextEra Energy Resources,Oil,"Operational,Impaired",Canada,
Plant Operations,,Florida Power & Light Company,Electricity,,nan,
Point Beach Nuclear Power Plant,USA,NextEra Energy,Electricity,Operational,USA,
Point Beach Nuclear Power Plant,USA,Florida Power & Light Company,Electricity,Operational,USA,
Power Transmission Infrastructure,"Florida,North America",NextEra Energy,Electricity,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",NextEra Energy,Natural Gas,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",NextEra Energy,Solar Energy,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",Florida Power & Light Company,Electricity,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",Florida Power & Light Company,Natural Gas,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",Florida Power & Light Company,Solar Energy,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",Gulf Power Company,Electricity,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",Gulf Power Company,Natural Gas,"Operational,Damaged",USA,Florida
Power Transmission Infrastructure,"Florida,North America",Gulf Power Company,Solar Energy,"Operational,Damaged",USA,Florida
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,NextEra Energy,Wind Energy,"Under Development,Operational",nan,
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,NextEra Energy,Solar Energy,"Under Development,Operational",nan,
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,NextEra Energy,Electricity,"Under Development,Operational",nan,
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,NextEra Energy,Renewable Fuels,"Under Development,Operational",nan,
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,Florida Power & Light Company,Wind Energy,"Under Development,Operational",nan,
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,Florida Power & Light Company,Solar Energy,"Under Development,Operational",nan,
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,Florida Power & Light Company,Electricity,"Under Development,Operational",nan,
Renewable Energy Projects,Regions In Which NextEra Energy Resources Operates Or Plans To Develop And Operate Renewable Energy Facilities,Florida Power & Light Company,Renewable Fuels,"Under Development,Operational",nan,
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Wind Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Wind Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Solar Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Solar Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
