physical asset,location,ownership,commodity,status,Countries
Distributed Generation Group,"Regions Where Duke Energy Operates, North Carolina","Duke Energy, ArcLight affiliates, Duke Energy Carolinas",Electricity,"In End-Of-Life, Operational",USA
Distribution Network,"Indiana, North Carolina",Duke Energy,Electricity,Operational,USA
Distribution Networks,Indiana,Duke Energy ,Electricity,Operational,USA
dual-fuel generating facilities,"Carolinas, Florida, Indiana, Ohio, EU & IS Service Area, Kentucky, North Carolina, South Carolina","Duke Energy Carolinas, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, EU&I, Duke Energy Progress, Duke Energy",Electricity,Operational,USA
Duke Energy Carolinas Facilities,"North Carolina, South Carolina, Florida, Ohio, Tennessee, Indiana, Kentucky","Duke Energy Carolinas, Duke Energy, Duke Energy Progress"," Electricity, Electricity Distribution",Operational,USA
"Duke Energy Indiana Holdco, LLC",Indiana,"Duke Energy, Duke Energy Indiana",Electricity,"Under Construction, Operational",USA
"Kentucky Electric Power Plant
",Kentucky,Duke Energy,,Operational,USA
Electric Transmission Infrastructure Investments,Ohio,"Duke Energy, Duke Energy Carolinas, Duke Energy Ohio",Electricity ,Operational,USA
 Regulated Electric Utilities,"Carolinas, Florida, Midwest","Duke Energy, Duke Energy Progress",Electricity,Operational,USA
 Natural Gas Local Distribution Companies (in Ohio and Kentucky)  ,"Ohio,Kentucky",Duke Energy,Natural Gas,,USA
"Natural Gas Storage, Midstream Pipeline, and Renewable Natural Gas Investments","Carolinas, North Carolina, South Carolina, Tennessee, Ohio, Kentucky","Duke Energy Piedmont, Duke Energy Ohio, Duke Energy Kentucky","Natural Gas, Electricity",Operational,USA
Electric Distribution,"Carolinas, Ohio","Duke Energy, Duke Energy Ohio",Electricity,Operational,USA
"Electric Gas, Total Utilities And Infrastructure",,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy, Duke Energy Ohio","Electricity, Natural Gas",Operational,
Electric Generation,"North Carolina, Florida","Duke Energy, Duke Energy Progress, Duke Energy Florida","Electricity, Natural Gas",Operational,USA
Electric Grid,North Carolina,Duke Energy,"Electricity, Natural Gas","Modernizing, Operational, Modernized",USA
Electric Transmission Projects,"Southeast Regions Of The Usa, Central California, North Carolina, South Carolina, Tennessee, Ohio, Kentucky","Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, American Transmission Company, GIC, Duke Energy","Electricity, Natural Gas","Operational, Under Construction",USA
Energy Storage,,"Duke Energy Progress, Duke Energy","Energy, Natural Gas, Electricity","Operational,Unspecified,Under Construction",
equipment,"South Carolina, Tennessee, Florida, Kentucky, Ohio, Southeast And Midwest Regions Of The USA, Northern Appalachia, Illinois Basin, Portions Of Ohio And Kentucky","Duke Energy, Duke Energy Progress, Duke Energy Florida, Duke Energy Ohio, Duke Energy Indiana, Duke Energy Carolinas, Electric Utilities and Infrastructure, GIC,Duke Energy Kentucky, Progress Energy Inc LLC, Piedmont Natural Gas Company, Duke Energy ","Electricity, Natural Gas, Coal, Nuclear Fuel Materials And Services, Energy","Operational, Impaired, Under Construction, End-Of-Life, Held For Sale",USA
Facilities,"North Carolina, Ohio, Kentucky, Florida, Tennessee, Illinois Basin, Central Appalachia, Carolinas, Southeast and Midwest regions of the USA","Duke Energy, Duke Energy Ohio, Duke Energy Indiana, Duke Energy Carolinas, Duke Energy Piedmont, Duke Energy Progress, Duke Energy Florida","Electricity, Natural Gas, Coal, Nuclear Fuel, Fossil Fuels, Energy Storage ","Operational, Retired, Unspecified",USA
Fixtures,,Duke Energy,,Impaired,
Generation Facilities [Nuclear Plants],"North Carolina, Florida, South Carolina, Indiana","Duke Energy, Duke Energy Progress, Duke Energy Florida, Duke Energy Carolinas","Electricity, Natural Gas","Operational, Modernized, Under Construction",USA
Generation Portfolio,,Duke Energy,Electricity,,
infrastructure,"Florida, Indiana, North Carolina, Ohio, Kentucky, Tennessee,  Midwest, Southeast","Duke Energy, Duke Energy Florida, Duke Energy Ohio, Duke Energy Indiana, Duke Energy Kentucky, Duke Energy Progress, Duke Energy Carolinas, Piedmont, GIC","Electricity, Natural Gas, Propane, Clean Energy","Operational, Under Construction",USA
interstate pipelines,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky",Duke Energy,Natural Gas,Operational,USA
Land,,Duke Energy,,Operational,
Liquefied Natural Gas Inventories,,Duke Energy,Fuel,Operational,
Maintenance [Physical Asset],,Duke Energy,,,
Midstream Pipeline,"Ohio, Kentucky",Duke Energy,Natural Gas,,USA
Natural Gas And Electric Assets,,Duke Energy,Natural Gas,Operational,
Natural Gas Distribution And Transmission Activities ,"Portions of North Carolina, South Carolina, Tennessee, Ohio, Northern Kentucky","Duke Energy, Duke Energy Ohio, Duke Energy Kentucky, Duke Energy Florida","Natural Gas, Electricity","Operational, Under Construction",USA
Natural Gas Pipelines,"Ohio, Kentucky, North Carolina, South Carolina, Tennessee"," Duke Energy Ohio, Duke Energy, Interstate Pipeline Companies, ","Natural Gas, Electricity","Under Construction,Operational",USA
Natural Gas-Fired Power Plants,"North Carolina, South Carolina, Indiana, Florida, Ohio","Duke Energy, Duke Energy Carolinas, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, Duke Energy Progress",Electricity,"Operational, Retired, Under Construction",USA
"Net Property, Plant And Equipment",,"Duke Energy Progress, Progress Energy Inc., Duke Energy Ohio, Duke Energy Indiana, LLC, Piedmont Natural Gas Company, Duke Energy, Duke Energy Carolinas, Duke Energy Florida, Duke Energy ","Regulated Natural Gas, Nonregulated Natural Gas, Electric Generation","Operational, Under Construction, End-Of-Life, Impaired, Held For Sale",
Nuclear Fuel ,,Duke Energy,Electric Generation,In Use,
Nuclear Reactors,"Carolinas, Florida, Indiana, Ohio, EU & Is Service Area",Duke Energy,,Operational,USA
Nuclear Stations,"Duke Energy Carolinas, Duke Energy Progress, Florida, Oconee","Duke Energy Carolinas, Duke Energy Progress, Florida Power & Light",Electricity,Operational,USA
Oconee Nuclear Station,"South Carolina, Oconee, North Carolina",Duke Energy Carolinas,"Energy Production, Electricity",Operational,USA
Offshore Wind Farm ,Atlantic Ocean  east of Wilmington,,"Wind Energy, Electricity",Under Development,
Ovec's Power Plants,"Duke Energy Carolinas Service Territories, North Carolina, South Carolina, Indiana","Duke Energy Ohio, OVEC, Duke Energy, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida",Electricity,"Operational, Under Construction",USA
pipeline projects,"Ohio, Kentucky, North Carolina, South Carolina, Tennessee","Duke Energy, KO Transmission",Natural Gas,"Operational, Under Construction",USA
Pipeline Transportation Capacity,"Ohio, Kentucky","Dominion, Duke Energy, KO Transmission (Wholly Owned Subsidiary of Duke Energy Ohio), Duke Energy Ohio",Natural Gas,Operational,USA
Plant In Service,,Duke Energy,Electricity,Operational,
Production Facilities,"Jubail, Saudi Arabia",NMC,"Petrochemicals, Plastics 

",Operational,Saudi Arabia
Propane Peaking Facilities,,Duke Energy Ohio,,"Retired, Decommissioned",
Properties,,Duke Energy,,Abandoned,
Real Estate,,Duke Energy Carolinas,Electricity  ,Operational,
Recently Completed Plants,,Duke Energy,Electricity,Operational,
regulated generation fleet,Service Territories,Duke Energy,"Electricity, Energy Generation","Operational, Retiring",
regulated plants ,,Duke Energy,Electricity,Under Construction,
Renewable Energy Certificates,,Duke Energy,"Renewable Energy, Electricity",Operational,
Renewable Operating And Development Projects,,Duke Energy,"Renewable Energy, Electricity","Operational, Under Construction",
Renewables,"North Carolina, South Carolina, Indiana","Duke Energy, Duke Energy Progress, Duke Energy Carolinas","Electricity, Energy Generation","Under Construction, Retiring",USA
Retired Generating Plants,"Indiana, EU & IS Service Area",Duke Energy Indiana,Electricity,"End Of Life, Operational",USA
Substations,"Moore County, North Carolina",Duke Energy,Electricity,"Under Construction, Operational",USA
Surface Impoundments,"North Carolina Sites, South Carolina",Duke Energy,"Coal, Ash ","Operational, Under Construction",USA
Targeted Underground Infrastructure,North Carolina,Duke Energy,Electricity,Modernizing,USA
Transmission And Distribution Investments,Ohio,"Duke Energy Progress, Duke Energy, Duke Energy Florida, Duke Energy Ohio","Energy, Electricity, Natural Gas Transmission And Distribution, Electricity Supply","Operational, Under Construction, Not Specified",USA
transmission systems and lines,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky, Indiana",Duke Energy,"Natural Gas, Electricity",Operational,USA
Transportation Systems (Pipelines),,Duke Energy,Fuel Sources,,
two-unit AP1000 Nuclear Power Plant,,"Duke Energy Florida, Westinghouse Electric Company LLC, Stone & Webster Inc., Duke Energy",,Under Construction,
Wastewater Treatment Systems,,Duke Energy,"Electricity, Natural Gas",Operational,
Wind Or Solar Facilities,Texas,Duke Energy,Electricity,"Operational, Under Construction",USA
Operating and offshore Pipelines & transmission facilities,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky","Duke Energy, Duke Energy Ohio, Duke Energy Kentucky, Interstate Pipeline Companies","Natural Gas, Electricity",Operational,USA
Physical Plant Security,,Duke Energy,Electricity,,
"Electric Generation Plants (Including Coal, Nuclear And Renewables)",Various States,Duke Energy,Electricity,"Operational, Under Construction, End-Of-Life",
"Property, Plant And Equipment Related To Renewable Energy Plants","Texas, PJM West Market","Duke Energy, Progress Energy Inc., Duke Energy Ohio, Duke Energy Indiana, Piedmont Natural Gas Company, Duke Energy Progress, Duke Energy Carolinas, Duke Energy Florida, Duke Energy ","Electricity, Solar, Wind, Natural Gas","Operational, Under Construction, End-Of-Life, Impaired, Held For Sale",USA
Coal Units ,"Crystal River, North Carolina, South Carolina, Indiana 


Let me know if you have another cell value you'd like me to clean!","Duke Energy Progress, Duke Energy Carolinas, Duke Energy","Electric Generation, Electricity","End-Of-Life,Operational",USA
Hydropower Plants,"North Carolina, South Carolina, Indiana",Duke Energy,Electricity,Operational,USA
Coal Ash Impoundments (physical assets used for Energy Generation),"Indiana, North Carolina, South Carolina, Various Sites Across Duke Energy Operations","Duke Energy Indiana, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy Ohio, Duke Energy","Coal,Ash","Operational, Retired",USA
Utility-Scale Wind And Solar Generation Assets,"Throughout the USA, Texas","Duke Energy, Duke Energy Progress, Brookfield Affiliates","Energy, Electricity",Operational,"USA,  Texas"
Lee Nuclear Project,South Carolina,Duke Energy Carolinas,Electricity,Operational,USA
Propane Caverns,Ohio,Duke Energy Ohio,Propane,"Operational, End-Of-Life",USA
Infrastructure Upgrade Investments,"Tennessee, North Carolina",Duke Energy Piedmont,Electricity,Under Construction,USA
Plant Additions,"Tennessee, North Carolina",Duke Energy Piedmont,Electricity,Under Construction,USA
Robeson County LNG Facility,Robeson County,Duke Energy Piedmont,Natural Gas,Operational,USA
Pender Onslow County Expansion Project,Pender Onslow County,Duke Energy Piedmont,Natural Gas,Under Construction,USA
McGuire Unit,North Carolina,Duke Energy Carolinas,Electricity,Operational,USA
Brunswick Unit,,Duke Energy Progress,Electricity,Operational,
"Natural gas and fuel oil supply, transportation and storage infrastructure","EU Service Area, Ohio, Northern Kentucky","Duke Energy Piedmont, Duke Energy Ohio, Duke Energy Kentucky","Natural Gas, Fuel Oil",Operational,USA
"Duke Energy Ohio [Electric Generation Facility] 


Let me know if you'd like me to process another cell!  I'm ready for your next instruction.",Ohio,Duke Energy,,Operational,USA
CCR Materials,Off-Site Locations,Duke Energy,Electricity,In End-Of-Life,
Coal Plants,"Carolinas, Florida, Indiana, Ohio, North Carolina, South Carolina","Duke Energy, Duke Energy Carolinas, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, Duke Energy Progress","Electricity, Power Generation","End-Of-Life, Operational, Retired",USA
Riverbend Plant,North Carolina,"Duke Energy Carolinas, Duke Energy Progress",Electricity,EndOfLife,USA
"Catwba Unit, Oconee Unit, Robinson Unit",,"Duke Energy Carolinas, Duke Energy Progress",Electricity,Operational,
Hydrogen-Capable Natural Gas Generation,,,Electricity,Under Construction,
key transmission facilities,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky",Duke Energy,"Electricity, Natural Gas",Operational,USA
Pumped Hydro Storage,,Utilities,Electricity,Under Development,
replacement generating units,"North Carolina, South Carolina, Indiana","Duke Energy Carolinas, Duke Energy Progress, Duke Energy",Electricity,"Under Construction, Operational",USA
Associated Transmission Infrastructure,,Duke Energy,Electricity,Under Construction,
Edwardsport Integrated Gasification Combined Cycle (IGCC) Plant,Indiana,Duke Energy Indiana,Electricity,Operational,USA
Commercial Nuclear Power Plants,"North Carolina, South Carolina, Indiana","NEIL, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy","Electricity, Energy Production","Operational, End-Of-Life, Under Construction",USA
Sabal Trail (Pipeline),Florida,Duke Energy,Natural Gas,Operational,USA
ACP Pipeline  ,"Ohio,Kentucky",Duke Energy,Natural Gas,Under Construction,USA
Wind Group,Texas,Brookfield Affiliates,Electricity,Operational,USA
generating plant,"North Carolina, South Carolina, Florida, Ohio, Kentucky, Indiana, Portions Of North Carolina And South Carolina, Portions Of Indiana, Eu & Is Service Area","Duke Energy Carolinas, Duke Energy Florida, Duke Energy Progress, Duke Energy, Duke Energy Ohio, Duke Energy Indiana",Electricity,Operational,USA
Engineered Off-Site Or On-Site Lined Landfills,,Duke Energy,Coal,Operational,
Spent Fuel Pools,,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida",Spent Nuclear Fuel  Storage,Operational,
dry cask storage facilities,,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida",Nuclear Fuel Storage,Operational,
W.S. Lee Steam Station Site In South Carolina,South Carolina,Duke Energy,"Electricity, Coal",Under Construction,USA
Computer Systems,,Duke Energy,Operation of Nuclear Power Plants,,
Communication Systems,,Duke Energy,Operation Of Nuclear Power Plants,,
Catawba Nuclear Plant  ,South Carolina,Duke Energy Carolinas,,,USA
Belevws Creek Fossil,North Carolina,Duke Energy Carolinas,,,USA
Lincoln Combustion Turbine,North Carolina,Duke Energy Carolinas,,,USA
Mill Creek CT,South Carolina,Duke Energy Carolinas,,,USA
W.S. Lee Combined Cycle,South Carolina,Duke Energy Carolinas,,,USA
Bad Creek Hydro,South Carolina,Duke Energy Carolinas,,,USA
Jocassee Hydro [Hydroelectric Dam],South Carolina,Duke Energy Carolinas,,,USA
Cowans Ford Hydroelectric Plant,North Carolina,Duke Energy Carolinas,,,USA
Keowee Hydro,South Carolina,Duke Energy Carolinas,,,USA
Distribution Mains,,Duke Energy,Natural Gas,Operational,
Bulk Electric System,"Carolinas, Service Territories",Duke Energy,Electricity,Operational,USA
Coal Ash Basin Sites,"Impacted Regions, South Carolina",Duke Energy ,Electricity,"Impacted By Ccr Rule, Operational",USA
