physical asset,location,ownership,commodity,Countries,status
Natural Gas Distribution And Transmission Activities ,"Portions of North Carolina, South Carolina, Tennessee, Ohio, Northern Kentucky","Duke Energy, Duke Energy Ohio, Duke Energy Kentucky, Duke Energy Florida","Natural Gas, Electricity",USA,
Natural Gas Pipelines,"Ohio, Kentucky, North Carolina, South Carolina, Tennessee"," Duke Energy Ohio, Duke Energy, Interstate Pipeline Companies, ","Natural Gas, Electricity",USA,
Natural Gas-Fired Power Plants,"North Carolina, South Carolina, Indiana, Florida, Ohio","Duke Energy, Duke Energy Carolinas, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, Duke Energy Progress",Electricity,USA,
"Net Property, Plant And Equipment",,"Duke Energy Progress, Progress Energy Inc., Duke Energy Ohio, Duke Energy Indiana, LLC, Piedmont Natural Gas Company, Duke Energy, Duke Energy Carolinas, Duke Energy Florida, Duke Energy ","Regulated Natural Gas, Nonregulated Natural Gas, Electric Generation",,
Nuclear Fuel ,,Duke Energy,Electric Generation,,
Nuclear Reactors,"Carolinas, Florida, Indiana, Ohio, EU & Is Service Area",Duke Energy,,USA,
Nuclear Stations,"Duke Energy Carolinas, Duke Energy Progress, Florida, Oconee","Duke Energy Carolinas, Duke Energy Progress, Florida Power & Light",Electricity,USA,
Oconee Nuclear Station,"South Carolina, Oconee, North Carolina",Duke Energy Carolinas,"Energy Production, Electricity",USA,
Offshore Wind Farm ,Atlantic Ocean  east of Wilmington,,"Wind Energy, Electricity",,
Ovec's Power Plants,"Duke Energy Carolinas Service Territories, North Carolina, South Carolina, Indiana","Duke Energy Ohio, OVEC, Duke Energy, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida",Electricity,USA,
pipeline projects,"Ohio, Kentucky, North Carolina, South Carolina, Tennessee","Duke Energy, KO Transmission",Natural Gas,USA,
Pipeline Transportation Capacity,"Ohio, Kentucky","Dominion, Duke Energy, KO Transmission (Wholly Owned Subsidiary of Duke Energy Ohio), Duke Energy Ohio",Natural Gas,USA,
Plant In Service,,Duke Energy,Electricity,,
Production Facilities,"Jubail, Saudi Arabia",NMC,"Petrochemicals, Plastics 

",Saudi Arabia,
Propane Peaking Facilities,,Duke Energy Ohio,,,
Properties,,Duke Energy,,,
Real Estate,,Duke Energy Carolinas,Electricity  ,,
Recently Completed Plants,,Duke Energy,Electricity,,
regulated generation fleet,Service Territories,Duke Energy,"Electricity, Energy Generation",,
regulated plants ,,Duke Energy,Electricity,,
Renewable Energy Certificates,,Duke Energy,"Renewable Energy, Electricity",,
Renewable Operating And Development Projects,,Duke Energy,"Renewable Energy, Electricity",,
Renewables,"North Carolina, South Carolina, Indiana","Duke Energy, Duke Energy Progress, Duke Energy Carolinas","Electricity, Energy Generation",USA,
Retired Generating Plants,"Indiana, EU & IS Service Area",Duke Energy Indiana,Electricity,USA,
Substations,"Moore County, North Carolina",Duke Energy,Electricity,USA,
Surface Impoundments,"North Carolina Sites, South Carolina",Duke Energy,"Coal, Ash ",USA,
Targeted Underground Infrastructure,North Carolina,Duke Energy,Electricity,USA,
Transmission And Distribution Investments,Ohio,"Duke Energy Progress, Duke Energy, Duke Energy Florida, Duke Energy Ohio","Energy, Electricity, Natural Gas Transmission And Distribution, Electricity Supply",USA,
transmission systems and lines,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky, Indiana",Duke Energy,"Natural Gas, Electricity",USA,
Transportation Systems (Pipelines),,Duke Energy,Fuel Sources,,
two-unit AP1000 Nuclear Power Plant,,"Duke Energy Florida, Westinghouse Electric Company LLC, Stone & Webster Inc., Duke Energy",,,
Wastewater Treatment Systems,,Duke Energy,"Electricity, Natural Gas",,
Wind Or Solar Facilities,Texas,Duke Energy,Electricity,USA,
Operating and offshore Pipelines & transmission facilities,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky","Duke Energy, Duke Energy Ohio, Duke Energy Kentucky, Interstate Pipeline Companies","Natural Gas, Electricity",USA,
Physical Plant Security,,Duke Energy,Electricity,,
"Electric Generation Plants (Including Coal, Nuclear And Renewables)",Various States,Duke Energy,Electricity,,
"Property, Plant And Equipment Related To Renewable Energy Plants","Texas, PJM West Market","Duke Energy, Progress Energy Inc., Duke Energy Ohio, Duke Energy Indiana, Piedmont Natural Gas Company, Duke Energy Progress, Duke Energy Carolinas, Duke Energy Florida, Duke Energy ","Electricity, Solar, Wind, Natural Gas",USA,
Coal Units ,"Crystal River, North Carolina, South Carolina, Indiana 


Let me know if you have another cell value you'd like me to clean!","Duke Energy Progress, Duke Energy Carolinas, Duke Energy","Electric Generation, Electricity",USA,
Hydropower Plants,"North Carolina, South Carolina, Indiana",Duke Energy,Electricity,USA,
Coal Ash Impoundments (physical assets used for Energy Generation),"Indiana, North Carolina, South Carolina, Various Sites Across Duke Energy Operations","Duke Energy Indiana, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy Ohio, Duke Energy","Coal,Ash",USA,
Utility-Scale Wind And Solar Generation Assets,"Throughout the USA, Texas","Duke Energy, Duke Energy Progress, Brookfield Affiliates","Energy, Electricity","USA,  Texas",
Lee Nuclear Project,South Carolina,Duke Energy Carolinas,Electricity,USA,
Propane Caverns,Ohio,Duke Energy Ohio,Propane,USA,
Infrastructure Upgrade Investments,"Tennessee, North Carolina",Duke Energy Piedmont,Electricity,USA,
Plant Additions,"Tennessee, North Carolina",Duke Energy Piedmont,Electricity,USA,
Robeson County LNG Facility,Robeson County,Duke Energy Piedmont,Natural Gas,USA,
Pender Onslow County Expansion Project,Pender Onslow County,Duke Energy Piedmont,Natural Gas,USA,
McGuire Unit,North Carolina,Duke Energy Carolinas,Electricity,USA,
Brunswick Unit,,Duke Energy Progress,Electricity,,
"Natural gas and fuel oil supply, transportation and storage infrastructure","EU Service Area, Ohio, Northern Kentucky","Duke Energy Piedmont, Duke Energy Ohio, Duke Energy Kentucky","Natural Gas, Fuel Oil",USA,
"Duke Energy Ohio [Electric Generation Facility] 


Let me know if you'd like me to process another cell!  I'm ready for your next instruction.",Ohio,Duke Energy,,USA,
CCR Materials,Off-Site Locations,Duke Energy,Electricity,,
Coal Plants,"Carolinas, Florida, Indiana, Ohio, North Carolina, South Carolina","Duke Energy, Duke Energy Carolinas, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, Duke Energy Progress","Electricity, Power Generation",USA,
Riverbend Plant,North Carolina,"Duke Energy Carolinas, Duke Energy Progress",Electricity,USA,
"Catwba Unit, Oconee Unit, Robinson Unit",,"Duke Energy Carolinas, Duke Energy Progress",Electricity,,
Hydrogen-Capable Natural Gas Generation,,,Electricity,,
key transmission facilities,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky",Duke Energy,"Electricity, Natural Gas",USA,
Pumped Hydro Storage,,Utilities,Electricity,,
replacement generating units,"North Carolina, South Carolina, Indiana","Duke Energy Carolinas, Duke Energy Progress, Duke Energy",Electricity,USA,
Associated Transmission Infrastructure,,Duke Energy,Electricity,,
Edwardsport Integrated Gasification Combined Cycle (IGCC) Plant,Indiana,Duke Energy Indiana,Electricity,USA,
Commercial Nuclear Power Plants,"North Carolina, South Carolina, Indiana","NEIL, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy","Electricity, Energy Production",USA,
Sabal Trail (Pipeline),Florida,Duke Energy,Natural Gas,USA,
ACP Pipeline  ,"Ohio,Kentucky",Duke Energy,Natural Gas,USA,
Wind Group,Texas,Brookfield Affiliates,Electricity,USA,
generating plant,"North Carolina, South Carolina, Florida, Ohio, Kentucky, Indiana, Portions Of North Carolina And South Carolina, Portions Of Indiana, Eu & Is Service Area","Duke Energy Carolinas, Duke Energy Florida, Duke Energy Progress, Duke Energy, Duke Energy Ohio, Duke Energy Indiana",Electricity,USA,
Engineered Off-Site Or On-Site Lined Landfills,,Duke Energy,Coal,,
Spent Fuel Pools,,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida",Spent Nuclear Fuel  Storage,,
dry cask storage facilities,,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida",Nuclear Fuel Storage,,
W.S. Lee Steam Station Site In South Carolina,South Carolina,Duke Energy,"Electricity, Coal",USA,
Catawba Nuclear Plant  ,South Carolina,Duke Energy Carolinas,,USA,
Belevws Creek Fossil,North Carolina,Duke Energy Carolinas,,USA,
Lincoln Combustion Turbine,North Carolina,Duke Energy Carolinas,,USA,
Mill Creek CT,South Carolina,Duke Energy Carolinas,,USA,
W.S. Lee Combined Cycle,South Carolina,Duke Energy Carolinas,,USA,
Bad Creek Hydro,South Carolina,Duke Energy Carolinas,,USA,
Jocassee Hydro [Hydroelectric Dam],South Carolina,Duke Energy Carolinas,,USA,
Cowans Ford Hydroelectric Plant,North Carolina,Duke Energy Carolinas,,USA,
Keowee Hydro,South Carolina,Duke Energy Carolinas,,USA,
Distribution Mains,,Duke Energy,Natural Gas,,
Bulk Electric System,"Carolinas, Service Territories",Duke Energy,Electricity,USA,
Coal Ash Basin Sites,"Impacted Regions, South Carolina",Duke Energy ,Electricity,USA,
broad river(a) energy station,CA, Duke Energy,electricity,USA,
caprock solar plant,NM, Duke Energy,electricity,USA,
commercial renewables solar,TX, Duke Energy,electricity,USA,
conetoe ii solar,CO, Duke Energy,electricity,USA,
creswell alligood solar,NC, Duke Energy,electricity,USA,
dogwood solar,NC, Duke Energy,electricity,USA,
highlander i & ii solar,CA, Duke Energy,electricity,USA,
holstein(a) solar,TX, Duke Energy,electricity,USA,
kelford solar,NC, Duke Energy,electricity,USA,
lapetus(a) solar,NC, Duke Energy,electricity,USA,
longboat solar,CA, Duke Energy,electricity,USA,
north rosamond(a) solar,TX, Duke Energy,electricity,USA,
other small solar(a),Various, Duke Energy,electricity,USA,
palmer(a) solar,NC, Duke Energy,electricity,USA,
pasquotank solar,NC, Duke Energy,electricity,USA,
pflugerville(a) solar,TX, Duke Energy,electricity,USA,
pumpjack solar,CA, Duke Energy,electricity,USA,
rambler solar,CA, Duke Energy,electricity,USA,
renewable|wind,"WY, WI", Duke Energy,electricity,USA,
rio bravo i & ii solar,CA, Duke Energy,electricity,USA,
seville i & ii,CA, Duke Energy,electricity,USA,
speedway(a),NC, Duke Energy,electricity,USA,
washington white post solar park,NC, Duke Energy,electricity,USA,
whitakers solar park,NC, Duke Energy,electricity,USA,
wildwood i & ii solar park,NC, Duke Energy,electricity,USA,
